Hex,Name,Red,Green,Blue,Family,Link,Source
#5d8aa8,Air Force blue,93,138,168,,https://www.colorhexa.com/5d8aa8,Color Hexa
#f0f8ff,Alice blue,240,248,255,,https://www.colorhexa.com/f0f8ff,Color Hexa
#e32636,Alizarin crimson,227,38,54,,https://www.colorhexa.com/e32636,Color Hexa
#efdecd,Almond,239,222,205,,https://www.colorhexa.com/efdecd,Color Hexa
#e52b50,Amaranth,229,43,80,,https://www.colorhexa.com/e52b50,Color Hexa
#ffbf00,Amber,255,191,0,,https://www.colorhexa.com/ffbf00,Color Hexa
#ff033e,American rose,255,3,62,,https://www.colorhexa.com/ff033e,Color Hexa
#9966cc,Amethyst,153,102,204,,https://www.colorhexa.com/9966cc,Color Hexa
#a4c639,Android Green,164,198,57,,https://www.colorhexa.com/a4c639,Color Hexa
#f2f3f4,Anti-flash white,242,243,244,,https://www.colorhexa.com/f2f3f4,Color Hexa
#cd9575,Antique brass,205,149,117,,https://www.colorhexa.com/cd9575,Color Hexa
#915c83,Antique fuchsia,145,92,131,,https://www.colorhexa.com/915c83,Color Hexa
#faebd7,Antique white,250,235,215,,https://www.colorhexa.com/faebd7,Color Hexa
#008000,Ao,0,128,0,,https://www.colorhexa.com/008000,Color Hexa
#8db600,Apple green,141,182,0,,https://www.colorhexa.com/8db600,Color Hexa
#fbceb1,Apricot,251,206,177,,https://www.colorhexa.com/fbceb1,Color Hexa
#00ffff,Aqua,0,255,255,,https://www.colorhexa.com/00ffff,Color Hexa
#7fffd4,Aquamarine,127,255,212,,https://www.colorhexa.com/7fffd4,Color Hexa
#4b5320,Army green,75,83,32,,https://www.colorhexa.com/4b5320,Color Hexa
#e9d66b,Arylide yellow,233,214,107,,https://www.colorhexa.com/e9d66b,Color Hexa
#b2beb5,Ash grey,178,190,181,,https://www.colorhexa.com/b2beb5,Color Hexa
#87a96b,Asparagus,135,169,107,,https://www.colorhexa.com/87a96b,Color Hexa
#ff9966,Atomic tangerine,255,153,102,,https://www.colorhexa.com/ff9966,Color Hexa
#a52a2a,Auburn,165,42,42,,https://www.colorhexa.com/a52a2a,Color Hexa
#fdee00,Aureolin,253,238,0,,https://www.colorhexa.com/fdee00,Color Hexa
#6e7f80,AuroMetalSaurus,110,127,128,,https://www.colorhexa.com/6e7f80,Color Hexa
#ff2052,Awesome,255,32,82,,https://www.colorhexa.com/ff2052,Color Hexa
#007fff,Azure,0,127,255,,https://www.colorhexa.com/007fff,Color Hexa
#f0ffff,Azure mist/web,240,255,255,,https://www.colorhexa.com/f0ffff,Color Hexa
#89cff0,Baby blue,137,207,240,,https://www.colorhexa.com/89cff0,Color Hexa
#a1caf1,Baby blue eyes,161,202,241,,https://www.colorhexa.com/a1caf1,Color Hexa
#f4c2c2,Baby pink,244,194,194,,https://www.colorhexa.com/f4c2c2,Color Hexa
#21abcd,Ball Blue,33,171,205,,https://www.colorhexa.com/21abcd,Color Hexa
#fae7b5,Banana Mania,250,231,181,,https://www.colorhexa.com/fae7b5,Color Hexa
#ffe135,Banana yellow,255,225,53,,https://www.colorhexa.com/ffe135,Color Hexa
#848482,Battleship grey,132,132,130,,https://www.colorhexa.com/848482,Color Hexa
#98777b,Bazaar,152,119,123,,https://www.colorhexa.com/98777b,Color Hexa
#bcd4e6,Beau blue,188,212,230,,https://www.colorhexa.com/bcd4e6,Color Hexa
#9f8170,Beaver,159,129,112,,https://www.colorhexa.com/9f8170,Color Hexa
#f5f5dc,Beige,245,245,220,,https://www.colorhexa.com/f5f5dc,Color Hexa
#ffe4c4,Bisque,255,228,196,,https://www.colorhexa.com/ffe4c4,Color Hexa
#3d2b1f,Bistre,61,43,31,,https://www.colorhexa.com/3d2b1f,Color Hexa
#fe6f5e,Bittersweet,254,111,94,,https://www.colorhexa.com/fe6f5e,Color Hexa
#000000,Black,0,0,0,,https://www.colorhexa.com/000000,Color Hexa
#ffebcd,Blanched Almond,255,235,205,,https://www.colorhexa.com/ffebcd,Color Hexa
