Hex,Name,Red,Green,Blue,Family,Link,Source
#7ba05b,Asparagus,123,160,91,64-Box,https://en.wikipedia.org/wiki/Asparagus,Crayola
#fe6f5e,Bittersweet,254,111,94,64-Box,https://en.wikipedia.org/wiki/Bittersweet_(color),Crayola
#7070cc,Celestial Blue,112,112,204,1903–circa 1910,https://en.wikipedia.org/wiki/Celestial%20Blue,Crayola
#8c90c8,Cobalt Blue,140,144,200,1903–1958,https://en.wikipedia.org/wiki/Cobalt%20Blue,Crayola
#63b76c,Fern,99,183,108,120-Box,https://en.wikipedia.org/wiki/Fern,Crayola
#5fa777,Forest Green,95,167,119,64-Box,https://en.wikipedia.org/wiki/Forest%20Green,Crayola
#d9dad2,Oatmeal,217,218,210,Colors of Kindness,https://en.wikipedia.org/wiki/Oatmeal,Crayola
#fc74fd,Pink Flamingo,252,116,253,120-Box,https://en.wikipedia.org/wiki/Pink%20Flamingo,Crayola
#652dc1,Purple Heart,101,45,193,120-Box,https://en.wikipedia.org/wiki/Purple%20Heart,Crayola
#33cc99,Shamrock,51,204,153,96-Box,https://en.wikipedia.org/wiki/Shamrock,Crayola
#fe4c40,Sunset Orange,254,76,64,120-Box,https://en.wikipedia.org/wiki/Sunset%20Orange,Crayola
#b33b24,Dark Venetian Red,179,59,36,1903–circa 1910,https://en.wikipedia.org/wiki/Venetian_red,Crayola
#e6735c,Light Venetian Red,230,115,92,1903–circa 1910,https://en.wikipedia.org/wiki/Venetian_red,Crayola
#f1e788,Green-Yellow,241,231,136,24-Box,https://en.wikipedia.org/wiki/Shades_of_chartreuse#Green-yellow,Crayola
#bee64b,Light Chrome Green,190,230,75,1903–1935,https://en.wikipedia.org/wiki/Shades_of_green,Crayola
#6ca67c,Medium Chrome Green,108,166,124,1903–1939,https://en.wikipedia.org/wiki/Shades_of_green,Crayola
#0095b7,Blue-Green,0,149,183,16-Box,https://en.wikipedia.org/wiki/Blue-green,Crayola
#2eb4e6,Blue (I),46,180,230,1903–1958,https://en.wikipedia.org/wiki/Shades_of_blue,Crayola
#0066ff,Blue (III),0,102,255,16-Box,https://en.wikipedia.org/wiki/Shades_of_blue,Crayola
#4570e6,Blue (II),69,112,230,1935–1958,https://en.wikipedia.org/wiki/Shades_of_blue,Crayola
#8359a3,Violet (II),131,89,163,16-Box,https://en.wikipedia.org/wiki/Shades_of_violet,Crayola
#8f47b3,Medium Violet,143,71,179,1949–1958,https://en.wikipedia.org/wiki/Medium_Violet_Red,Crayola
#bf8fcc,Lavender (I),191,143,204,1949–1958,https://en.wikipedia.org/wiki/Lavender_(color),Crayola
#d6aedd,Purple Mountains' Majesty,214,174,221,64-Box,https://en.wikipedia.org/wiki/Lavender_(color)#Lavender_purple_(purple_mountain_majesty),Crayola
#732e6c,Violet (I),115,46,108,1903–1930,https://en.wikipedia.org/wiki/Shades_of_violet,Crayola
#e667ce,Brilliant Rose,230,103,206,1949–1958,https://en.wikipedia.org/wiki/Shades_of_rose#Brilliant_rose,Crayola
#d96cbe,Medium Rose,217,108,190,1949–1958,https://en.wikipedia.org/wiki/Shades_of_rose,Crayola
#fbaed2,Lavender (II),251,174,210,64-Box,https://en.wikipedia.org/wiki/Lavender_(color),Crayola
#f7a38e,Pink Sherbert,247,163,142,120-Box,https://en.wikipedia.org/wiki/Pink_sherbert,Crayola
#e6bc5c,Raw Sienna (I),230,188,92,1903–circa 1910,https://en.wikipedia.org/wiki/Sienna#Raw_sienna,Crayola
#92926e,Gold (I),146,146,110,Metalic,https://en.wikipedia.org/wiki/Gold_(color),Crayola
#736a62,Charcoal Gray,115,106,98,1903–1910,https://en.wikipedia.org/wiki/Shades_of_gray#Charcoal,Crayola
#c8c8cd,Blue-Gray,200,200,205,1958–1990,https://en.wikipedia.org/wiki/Blue-gray,Crayola
#f1d651,Crayellow,241,214,81,Colors of Kindness,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors,Crayola
#ddebec,Cool Mint,221,235,236,Colors of Kindness,https://en.wikipedia.org/wiki/Spring_green#Mint,Crayola
#5F8A8B,Steel Teal,95,138,139,Silver Swirls,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors,Crayola
#C39953,Aztec Gold,195,153,83,Silver Swirls,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors,Crayola
#5FBED7,Aqua Pearl,95,190,215,Pearl Brite,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors,Crayola
#6ADA8E,Caribbean Green Pearl,106,218,142,Pearl Brite,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors,Crayola
#7a89b8,Wild Blue Yonder,122,137,184,96-Box,https://en.wikipedia.org/wiki/Air_Force_blue#Wild_blue_yonder,Crayola
#eed9c4,Almond,238,217,196,120-Box,https://en.wikipedia.org/wiki/Almond_(color),Crayola
#ff355e,Radical Red,255,53,94,Fluorescent,https://en.wikipedia.org/wiki/Amaranth_(color)#Radical_red_(bright_amaranth_pink),Crayola
#64609A,Amethyst,100,96,154,Gem Tones,https://en.wikipedia.org/wiki/Amethyst_(color),Crayola
#c88a65,Antique Brass,200,138,101,Metalic,https://en.wikipedia.org/wiki/Antique_brass,Crayola
#fdd5b1,Apricot,253,213,177,24-Box,https://en.wikipedia.org/wiki/Apricot_(color),Crayola
#95e0e8,Aquamarine,149,224,232,64-Box,https://en.wikipedia.org/wiki/Aquamarine_(color),Crayola
#000000,Black,0,0,0,Metalic,https://en.wikipedia.org/wiki/Black,Crayola
#778BA5,Shadow Blue,119,139,165,Silver Swirls,https://en.wikipedia.org/wiki/Blue-gray#Shadow_blue,Crayola
#2887c8,Green-Blue,40,135,200,1958–1990,https://en.wikipedia.org/wiki/Blue-green#Green-blue,Crayola
#af593e,Brown,175,89,62,16-Box,https://en.wikipedia.org/wiki/Brown,Crayola
#e97451,Burnt Sienna,233,116,81,64-Box,https://en.wikipedia.org/wiki/Burnt_sienna,Crayola
#805533,Burnt Umber,128,85,51,1903–1944,https://en.wikipedia.org/wiki/Burnt_umber,Crayola
#a9b2c3,Cadet Blue,169,178,195,48-Box,https://en.wikipedia.org/wiki/Cadet_grey#Cadet_blue,Crayola
#e62e6b,Carmine,230,46,107,1935–1958,https://en.wikipedia.org/wiki/Carmine_(color),Crayola
#fd5b78,Wild Watermelon,253,91,120,Fluorescent,https://en.wikipedia.org/wiki/Carmine_(color)#Wild_watermelon,Crayola
#ffa6c9,Carnation Pink,255,166,201,16-Box,https://en.wikipedia.org/wiki/Carnation_pink,Crayola
#da3287,Cerise,218,50,135,96-Box,https://en.wikipedia.org/wiki/Cerise_(color)#Deep_cerise,Crayola
#02a4d3,Cerulean,2,164,211,24-Box,https://en.wikipedia.org/wiki/Cerulean,Crayola
#339acc,Cerulean Blue,51,154,204,1949–1958,https://en.wikipedia.org/wiki/Cerulean#Cerulean_blue,Crayola
#6D9BC3,Cerulean Frost,109,155,195,Silver Swirls,https://en.wikipedia.org/wiki/Cerulean#Cerulean_frost,Crayola
#b94e48,Chestnut,185,78,72,48-Box,https://en.wikipedia.org/wiki/Chestnut_(color)#Deep_chestnut,Crayola
#933709,Citrine,147,55,9,Gem Tones,https://en.wikipedia.org/wiki/Citrine_(colour),Crayola
#AD6F69,Copper Penny,173,111,105,Silver Swirls,https://en.wikipedia.org/wiki/Copper_(color)#Copper_penny,Crayola
#da8a67,Copper,218,138,103,Metalic,https://en.wikipedia.org/wiki/Copper_(color)#Variations_of_copper,Crayola
#93ccea,Cornflower,147,204,234,64-Box,https://en.wikipedia.org/wiki/Cornflower_blue#Crayola,Crayola
#edc9af,Desert Sand,237,201,175,120-Box,https://en.wikipedia.org/wiki/Desert_sand_(color),Crayola
#614051,Eggplant,97,64,81,120-Box,https://en.wikipedia.org/wiki/Eggplant_(color),Crayola
#c154c1,Fuchsia,193,84,193,96-Box,https://en.wikipedia.org/wiki/Fuchsia_(color)#Deep_fuchsia,Crayola
#e6be8a,Gold (II),230,190,138,Metalic,https://en.wikipedia.org/wiki/Gold_(color)#Pale_gold,Crayola
#fcd667,Goldenrod,252,214,103,64-Box,https://en.wikipedia.org/wiki/Goldenrod_(color),Crayola
#01a638,Green,1,166,56,16-Box,https://en.wikipedia.org/wiki/Green,Crayola
#cc3336,Madder Lake,204,51,54,1903–1935,https://en.wikipedia.org/wiki/History_of_Crayola_crayons#1903:_the_original_Crayola_colors,Crayola
#ffff99,Canary,255,255,153,120-Box,https://en.wikipedia.org/wiki/History_of_Crayola_crayons#Crayola_No._64,Crayola
#e58e73,Middle Red,229,142,115,Munsell line,"https://en.wikipedia.org/wiki/History_of_Crayola_crayons#Munsell_Crayola,_1926–1944",Crayola
#ecac76,Middle Yellow Red,236,172,118,"1926–1944, 1949–1958","https://en.wikipedia.org/wiki/History_of_Crayola_crayons#Munsell_Crayola,_1926–1944",Crayola
#ffeb00,Middle Yellow,255,235,0,Munsell line,"https://en.wikipedia.org/wiki/History_of_Crayola_crayons#Munsell_Crayola,_1926–1944",Crayola
#acbf60,Middle Green Yellow,172,191,96,Munsell line,"https://en.wikipedia.org/wiki/History_of_Crayola_crayons#Munsell_Crayola,_1926–1944",Crayola
#4d8c57,Middle Green,77,140,87,Munsell line,"https://en.wikipedia.org/wiki/History_of_Crayola_crayons#Munsell_Crayola,_1926–1944",Crayola
#8dd9cc,Middle Blue Green,141,217,204,Munsell line,"https://en.wikipedia.org/wiki/History_of_Crayola_crayons#Munsell_Crayola,_1926–1944",Crayola
