Hex,Name,Red,Green,Blue,Family,Link,Source
#ffb5ba,Vivid Pink,255,181,186,Pink,,NBS-ISCC
#ea9399,Strong Pink,234,147,153,Pink,,NBS-ISCC
#e4717a,Deep Pink,228,113,122,Pink,,NBS-ISCC
#f9ccca,Light Pink,249,204,202,Pink,,NBS-ISCC
#dea5a4,Moderate Pink,222,165,164,Pink,,NBS-ISCC
#c08081,Dark Pink,192,128,129,Pink,,NBS-ISCC
#ead8d7,Pale Pink,234,216,215,Pink,,NBS-ISCC
#c4aead,Grayish Pink,196,174,173,Pink,,NBS-ISCC
#eae3e1,Pinkish White,234,227,225,Pink,,NBS-ISCC
#c1b6b3,Pinkish Gray,193,182,179,Pink,,NBS-ISCC
#be0032,Vivid Red,190,0,50,Red,,NBS-ISCC
#bc3f4a,Strong Red,188,63,74,Red,,NBS-ISCC
#841b2d,Deep Red,132,27,45,Red,,NBS-ISCC
#5c0923,Very Deep Red,92,9,35,Red,,NBS-ISCC
#ab4e52,Moderate Red,171,78,82,Red,,NBS-ISCC
#722f37,Dark Red,114,47,55,Red,,NBS-ISCC
#3f1728,Very Dark Red,63,23,40,Red,,NBS-ISCC
#ad8884,Light Grayish Red,173,136,132,Red,,NBS-ISCC
#905d5d,Grayish Red,144,93,93,Red,,NBS-ISCC
#543d3f,Dark Grayish Red,84,61,63,Red,,NBS-ISCC
#2e1d21,Blackish Red,46,29,33,Red,,NBS-ISCC
#8f817f,Reddish Gray,143,129,127,Red,,NBS-ISCC
#5c504f,Dark Reddish Gray,92,80,79,Red,,NBS-ISCC
#282022,Reddish Black,40,32,34,Red,,NBS-ISCC
#ffb7a5,Vivid Yellowish Pink,255,183,165,Yellowish Pink,,NBS-ISCC
#f99379,Strong Yellowish Pink,249,147,121,Yellowish Pink,,NBS-ISCC
#e66761,Deep Yellowish Pink,230,103,97,Yellowish Pink,,NBS-ISCC
#f4c2c2,Light Yellowish Pink,244,194,194,Yellowish Pink,,NBS-ISCC
#d9a6a9,Moderate Yellowish Pink,217,166,169,Yellowish Pink,,NBS-ISCC
#c48379,Dark Yellowish Pink,196,131,121,Yellowish Pink,,NBS-ISCC
#ecd5c5,Pale Yellowish Pink,236,213,197,Yellowish Pink,,NBS-ISCC
#c7ada3,Grayish Yellowish Pink,199,173,163,Yellowish Pink,,NBS-ISCC
#c2ac99,Brownish Pink,194,172,153,Brownish Pink,,NBS-ISCC
#e25822,Vivid Reddish Orange,226,88,34,Reddish Orange,,NBS-ISCC
#d9603b,Strong Reddish Orange,217,96,59,Reddish Orange,,NBS-ISCC
#aa381e,Deep Reddish Orange,170,56,30,Reddish Orange,,NBS-ISCC
#cb6d51,Moderate Reddish Orange,203,109,81,Reddish Orange,,NBS-ISCC
#9e4732,Dark Reddish Orange,158,71,50,Reddish Orange,,NBS-ISCC
#b4745e,Grayish Reddish Orange,180,116,94,Reddish Orange,,NBS-ISCC
#882d17,Strong Reddish Brown,136,45,23,Reddish Brown,,NBS-ISCC
#56070c,Deep Reddish Brown,86,7,12,Reddish Brown,,NBS-ISCC
#a87c6d,Light Reddish Brown,168,124,109,Reddish Brown,,NBS-ISCC
#79443b,Moderate Reddish Brown,121,68,59,Reddish Brown,,NBS-ISCC
#3e1d1e,Dark Reddish Brown,62,29,30,Reddish Brown,,NBS-ISCC
#977f73,Light Grayish Reddish Brown,151,127,115,Reddish Brown,,NBS-ISCC
#674c47,Grayish Reddish Brown,103,76,71,Reddish Brown,,NBS-ISCC
#43302e,Dark Grayish Reddish Brown,67,48,46,Reddish Brown,,NBS-ISCC
#f38400,Vivid Orange,243,132,0,Orange,,NBS-ISCC
#fd943f,Brilliant Orange,253,148,63,Orange,,NBS-ISCC
#ed872d,Strong Orange,237,135,45,Orange,,NBS-ISCC
#be6516,Deep Orange,190,101,22,Orange,,NBS-ISCC
#fab57f,Light Orange,250,181,127,Orange,,NBS-ISCC
#d99058,Moderate Orange,217,144,88,Orange,,NBS-ISCC
#ae6938,Brownish Orange,174,105,56,Brownish Orange,,NBS-ISCC
#80461b,Strong Brown,128,70,27,Brown,,NBS-ISCC
#593319,Deep Brown,89,51,25,Brown,,NBS-ISCC
#a67b5b,Light Brown,166,123,91,Brown,,NBS-ISCC
#6f4e37,Moderate Brown,111,78,55,Brown,,NBS-ISCC
#422518,Dark Brown,66,37,24,Brown,,NBS-ISCC
#958070,Light Grayish Brown,149,128,112,Brown,,NBS-ISCC
#635147,Grayish Brown,99,81,71,Brown,,NBS-ISCC
#3e322c,Dark Grayish Brown,62,50,44,Brown,,NBS-ISCC
#8e8279,Light Brownish Gray,142,130,121,Brown,,NBS-ISCC
#5b504f,Brownish Gray,91,80,79,Brown,,NBS-ISCC
#28201c,Brownish Black,40,32,28,Brown,,NBS-ISCC
#f6a600,Vivid Orange Yellow,246,166,0,Orange Yellow,,NBS-ISCC
#ffc14f,Brilliant Orange Yellow,255,193,79,Orange Yellow,,NBS-ISCC
#eaa221,Strong Orange Yellow,234,162,33,Orange Yellow,,NBS-ISCC
#c98500,Deep Orange Yellow,201,133,0,Orange Yellow,,NBS-ISCC
#fbc97f,Light Orange Yellow,251,201,127,Orange Yellow,,NBS-ISCC
#e3a857,Moderate Orange Yellow,227,168,87,Orange Yellow,,NBS-ISCC
#be8a3d,Dark Orange Yellow,190,138,61,Orange Yellow,,NBS-ISCC
#fad6a5,Pale Orange Yellow,250,214,165,Orange Yellow,,NBS-ISCC
#996515,Strong Yellowish Brown,153,101,21,Yellowish Brown,,NBS-ISCC
#654522,Deep Yellowish Brown,101,69,34,Yellowish Brown,,NBS-ISCC
#c19a6b,Light Yellowish Brown,193,154,107,Yellowish Brown,,NBS-ISCC
#826644,Moderate Yellowish Brown,130,102,68,Yellowish Brown,,NBS-ISCC
#4b3621,Dark Yellowish Brown,75,54,33,Yellowish Brown,,NBS-ISCC
#ae9b82,Light Grayish Yellowish Brown,174,155,130,Yellowish Brown,,NBS-ISCC
#7e6d5a,Grayish Yellowish Brown,126,109,90,Yellowish Brown,,NBS-ISCC
#483c32,Dark Grayish Yellowish Brown,72,60,50,Yellowish Brown,,NBS-ISCC
#f3c300,Vivid Yellow,243,195,0,Yellow,,NBS-ISCC
#fada5e,Brilliant Yellow,250,218,94,Yellow,,NBS-ISCC
#d4af37,Strong Yellow,212,175,55,Yellow,,NBS-ISCC
#af8d13,Deep Yellow,175,141,19,Yellow,,NBS-ISCC
#f8de7e,Light Yellow,248,222,126,Yellow,,NBS-ISCC
#c9ae5d,Moderate Yellow,201,174,93,Yellow,,NBS-ISCC
#ab9144,Dark Yellow,171,145,68,Yellow,,NBS-ISCC
#f3e5ab,Pale Yellow,243,229,171,Yellow,,NBS-ISCC
#c2b280,Grayish Yellow,194,178,128,Yellow,,NBS-ISCC
#a18f60,Dark Grayish Yellow,161,143,96,Yellow,,NBS-ISCC
#f0ead6,Yellowish White,240,234,214,Yellow,,NBS-ISCC
#bfb8a5,Yellowish Gray,191,184,165,Yellow,,NBS-ISCC
#967117,Light Olive Brown,150,113,23,Olive Brown,,NBS-ISCC
#6c541e,Moderate Olive Brown,108,84,30,Olive Brown,,NBS-ISCC
#3b3121,Dark Olive Brown,59,49,33,Olive Brown,,NBS-ISCC
#dcd300,Vivid Greenish Yellow,220,211,0,Greenish Yellow,,NBS-ISCC
#e9e450,Brilliant Greenish Yellow,233,228,80,Greenish Yellow,,NBS-ISCC
#beb72e,Strong Greenish Yellow,190,183,46,Greenish Yellow,,NBS-ISCC
#9b9400,Deep Greenish Yellow,155,148,0,Greenish Yellow,,NBS-ISCC
#eae679,Light Greenish Yellow,234,230,121,Greenish Yellow,,NBS-ISCC
#b9b459,Moderate Greenish Yellow,185,180,89,Greenish Yellow,,NBS-ISCC
#98943e,Dark Greenish Yellow,152,148,62,Greenish Yellow,,NBS-ISCC
#ebe8a4,Pale Greenish Yellow,235,232,164,Greenish Yellow,,NBS-ISCC
#b9b57d,Grayish Greenish Yellow,185,181,125,Greenish Yellow,,NBS-ISCC
#867e36,Light Olive,134,126,54,Olive,,NBS-ISCC
#665d1e,Moderate Olive,102,93,30,Olive,,NBS-ISCC
#403d21,Dark Olive,64,61,33,Olive,,NBS-ISCC
#8c8767,Light Grayish Olive,140,135,103,Olive,,NBS-ISCC
#5b5842,Grayish Olive,91,88,66,Olive,,NBS-ISCC
#363527,Dark Grayish Olive,54,53,39,Olive,,NBS-ISCC
#8a8776,Light Olive Gray,138,135,118,Olive,,NBS-ISCC
#57554c,Olive Gray,87,85,76,Olive,,NBS-ISCC
#25241d,Olive Black,37,36,29,Olive,,NBS-ISCC
#8db600,Vivid Yellow Green,141,182,0,Yellow Green,,NBS-ISCC
#bdda57,Brilliant Yellow Green,189,218,87,Yellow Green,,NBS-ISCC
#7e9f2e,Strong Yellow Green,126,159,46,Yellow Green,,NBS-ISCC
#467129,Deep Yellow Green,70,113,41,Yellow Green,,NBS-ISCC
#c9dc89,Light Yellow Green,201,220,137,Yellow Green,,NBS-ISCC
#8a9a5b,Moderate Yellow Green,138,154,91,Yellow Green,,NBS-ISCC
#dadfb7,Pale Yellow Green,218,223,183,Yellow Green,,NBS-ISCC
#8f9779,Grayish Yellow Green,143,151,121,Yellow Green,,NBS-ISCC
#404f00,Strong Olive Green,64,79,0,Olive Green,,NBS-ISCC
#232f00,Deep Olive Green,35,47,0,Olive Green,,NBS-ISCC
#4a5d23,Moderate Olive Green,74,93,35,Olive Green,,NBS-ISCC
#2b3d26,Dark Olive Green,43,61,38,Olive Green,,NBS-ISCC
#515744,Grayish Olive Green,81,87,68,Olive Green,,NBS-ISCC
#31362b,Dark Grayish Olive Green,49,54,43,Olive Green,,NBS-ISCC
#27a64c,Vivid Yellowish Green,39,166,76,Yellowish Green,,NBS-ISCC
#83d37d,Brilliant Yellowish Green,131,211,125,Yellowish Green,,NBS-ISCC
#44944a,Strong Yellowish Green,68,148,74,Yellowish Green,,NBS-ISCC
#00622d,Deep Yellowish Green,0,98,45,Yellowish Green,,NBS-ISCC
#003118,Very Deep Yellowish Green,0,49,24,Yellowish Green,,NBS-ISCC
#b6e5af,Very Light Yellowish Green,182,229,175,Yellowish Green,,NBS-ISCC
#93c592,Light Yellowish Green,147,197,146,Yellowish Green,,NBS-ISCC
#679267,Moderate Yellowish Green,103,146,103,Yellowish Green,,NBS-ISCC
#355e3b,Dark Yellowish Green,53,94,59,Yellowish Green,,NBS-ISCC
#173620,Very Dark Yellowish Green,23,54,32,Yellowish Green,,NBS-ISCC
