HEX,Name,Red,Green,Blue,Family,Link,Source
#f7f7f7,0300-N,247,247,247,,,NCS
#f2f2f2,0500-N,242,242,242,,,NCS
#f5fbff,0502-B,245,251,255,,,NCS
#f7fffe,0502-B50G,247,255,254,,,NCS
#f4fff8,0502-G,244,255,248,,,NCS
#fdfff6,0502-G50Y,253,255,246,,,NCS
#fff1f2,0502-R,255,241,242,,,NCS
#fef6fd,0502-R50B,254,246,253,,,NCS
#fffdf6,0502-Y,255,253,246,,,NCS
#fef8f4,0502-Y50R,254,248,244,,,NCS
#e8f6fe,0505-B,232,246,254,,,NCS
#eafbff,0505-B20G,234,251,255,,,NCS
#ecfffe,0505-B50G,236,255,254,,,NCS
#eafffa,0505-B80G,234,255,250,,,NCS
#e4ffef,0505-G,228,255,239,,,NCS
#ecffec,0505-G10Y,236,255,236,,,NCS
#f1ffeb,0505-G20Y,241,255,235,,,NCS
#f4ffea,0505-G30Y,244,255,234,,,NCS
#f7ffe9,0505-G40Y,247,255,233,,,NCS
#faffea,0505-G50Y,250,255,234,,,NCS
#fcffeb,0505-G60Y,252,255,235,,,NCS
#feffeb,0505-G70Y,254,255,235,,,NCS
#fffeec,0505-G80Y,255,254,236,,,NCS
#fefdeb,0505-G90Y,254,253,235,,,NCS
#ffdee0,0505-R,255,222,224,,,NCS
#ffdfe3,0505-R10B,255,223,227,,,NCS
#ffe1e7,0505-R20B,255,225,231,,,NCS
#ffe3ec,0505-R30B,255,227,236,,,NCS
#fee6f2,0505-R40B,254,230,242,,,NCS
#ffeafb,0505-R50B,255,234,251,,,NCS
#f8e9fe,0505-R60B,248,233,254,,,NCS
#f0e8ff,0505-R70B,240,232,255,,,NCS
#e1e6ff,0505-R80B,225,230,255,,,NCS
#e3ecfe,0505-R90B,227,236,254,,,NCS
#fffbea,0505-Y,255,251,234,,,NCS
#fffaea,0505-Y10R,255,250,234,,,NCS
#fff7e9,0505-Y20R,255,247,233,,,NCS
#fff5e8,0505-Y30R,255,245,232,,,NCS
#fff3e6,0505-Y40R,255,243,230,,,NCS
#fff0e5,0505-Y50R,255,240,229,,,NCS
#feede4,0505-Y60R,254,237,228,,,NCS
#ffe9e2,0505-Y70R,255,233,226,,,NCS
#fee5e0,0505-Y80R,254,229,224,,,NCS
#ffe2e0,0505-Y90R,255,226,224,,,NCS
#dff3ff,0507-B,223,243,255,,,NCS
#e3faff,0507-B20G,227,250,255,,,NCS
#e2fff8,0507-B80G,226,255,248,,,NCS
#dbffe9,0507-G,219,255,233,,,NCS
#f4ffe0,0507-G40Y,244,255,224,,,NCS
#fffee4,0507-G80Y,255,254,228,,,NCS
#ffd2d5,0507-R,255,210,213,,,NCS
#ffd6de,0507-R20B,255,214,222,,,NCS
#ffddee,0507-R40B,255,221,238,,,NCS
#f5e0ff,0507-R60B,245,224,255,,,NCS
#d6ddff,0507-R80B,214,221,255,,,NCS
#fffae3,0507-Y,255,250,227,,,NCS
#fff5e0,0507-Y20R,255,245,224,,,NCS
#ffeedd,0507-Y40R,255,238,221,,,NCS
#ffe6da,0507-Y60R,255,230,218,,,NCS
#fedcd5,0507-Y80R,254,220,213,,,NCS
#d3eeff,0510-B,211,238,255,,,NCS
#d6f4ff,0510-B10G,214,244,255,,,NCS
#d9fbff,0510-B30G,217,251,255,,,NCS
#dafffd,0510-B50G,218,255,253,,,NCS
#d8fef9,0510-B70G,216,254,249,,,NCS
#d1ffea,0510-B90G,209,255,234,,,NCS
#cdffe0,0510-G,205,255,224,,,NCS
#dbffdc,0510-G10Y,219,255,220,,,NCS
#e4ffd9,0510-G20Y,228,255,217,,,NCS
#ebffd6,0510-G30Y,235,255,214,,,NCS
#f0ffd4,0510-G40Y,240,255,212,,,NCS
#f5ffd6,0510-G50Y,245,255,214,,,NCS
#f9ffd8,0510-G60Y,249,255,216,,,NCS
#fdffd9,0510-G70Y,253,255,217,,,NCS
#fffdda,0510-G80Y,255,253,218,,,NCS
#fefbd8,0510-G90Y,254,251,216,,,NCS
#ffc2c6,0510-R,255,194,198,,,NCS
#ffc4cb,0510-R10B,255,196,203,,,NCS
#ffc7d2,0510-R20B,255,199,210,,,NCS
#ffcbdb,0510-R30B,255,203,219,,,NCS
#ffd0e7,0510-R40B,255,208,231,,,NCS
#ffd7f7,0510-R50B,255,215,247,,,NCS
#f1d4ff,0510-R60B,241,212,255,,,NCS
#e3d4ff,0510-R70B,227,212,255,,,NCS
#c6d1ff,0510-R80B,198,209,255,,,NCS
#cbdcff,0510-R90B,203,220,255,,,NCS
#fff9d8,0510-Y,255,249,216,,,NCS
#fff5d6,0510-Y10R,255,245,214,,,NCS
#fff1d4,0510-Y20R,255,241,212,,,NCS
#ffedd2,0510-Y30R,255,237,210,,,NCS
#ffe8d0,0510-Y40R,255,232,208,,,NCS
#ffe3ce,0510-Y50R,255,227,206,,,NCS
#ffddcc,0510-Y60R,255,221,204,,,NCS
#fed7c9,0510-Y70R,254,215,201,,,NCS
#ffd0c6,0510-Y80R,255,208,198,,,NCS
#ffc9c5,0510-Y90R,255,201,197,,,NCS
#c0e7ff,0515-B,192,231,255,,,NCS
#c5f5fe,0515-B20G,197,245,254,,,NCS
#c8fffd,0515-B50G,200,255,253,,,NCS
#c4fff1,0515-B80G,196,255,241,,,NCS
#b8ffd4,0515-G,184,255,212,,,NCS
#d8ffc8,0515-G20Y,216,255,200,,,NCS
#eaffc1,0515-G40Y,234,255,193,,,NCS
#f7fec6,0515-G60Y,247,254,198,,,NCS
#fffdc8,0515-G80Y,255,253,200,,,NCS
#fff9c7,0515-G90Y,255,249,199,,,NCS
#feaaaf,0515-R,254,170,175,,,NCS
#feadb7,0515-R10B,254,173,183,,,NCS
#feb1c0,0515-R20B,254,177,192,,,NCS
#ffbcdd,0515-R40B,255,188,221,,,NCS
#ebc1ff,0515-R60B,235,193,255,,,NCS
#b0befe,0515-R80B,176,190,254,,,NCS
#b6ceff,0515-R90B,182,206,255,,,NCS
#fff6c6,0515-Y,255,246,198,,,NCS
#fff1c4,0515-Y10R,255,241,196,,,NCS
#ffebc1,0515-Y20R,255,235,193,,,NCS
#ffe5bf,0515-Y30R,255,229,191,,,NCS
#ffdebc,0515-Y40R,255,222,188,,,NCS
#ffd7b9,0515-Y50R,255,215,185,,,NCS
#ffcfb6,0515-Y60R,255,207,182,,,NCS
#ffc6b3,0515-Y70R,255,198,179,,,NCS
#ffbdaf,0515-Y80R,255,189,175,,,NCS
#ffb4ae,0515-Y90R,255,180,174,,,NCS
#aee0ff,0520-B,174,224,255,,,NCS
#b2ebff,0520-B10G,178,235,255,,,NCS
#b6f8ff,0520-B30G,182,248,255,,,NCS
#b8fcff,0520-B40G,184,252,255,,,NCS
#b8fffc,0520-B50G,184,255,252,,,NCS
#b7fff8,0520-B60G,183,255,248,,,NCS
#b5fff4,0520-B70G,181,255,244,,,NCS
#abffd9,0520-B90G,171,255,217,,,NCS
#a5ffc8,0520-G,165,255,200,,,NCS
#bdffc0,0520-G10Y,189,255,192,,,NCS
#cdffb9,0520-G20Y,205,255,185,,,NCS
#daffb4,0520-G30Y,218,255,180,,,NCS
#e4ffb0,0520-G40Y,228,255,176,,,NCS
#edffb3,0520-G50Y,237,255,179,,,NCS
#f4feb5,0520-G60Y,244,254,181,,,NCS
#fbffb8,0520-G70Y,251,255,184,,,NCS
#fffcb8,0520-G80Y,255,252,184,,,NCS
#fff7b6,0520-G90Y,255,247,182,,,NCS
#ff959c,0520-R,255,149,156,,,NCS
#ff98a5,0520-R10B,255,152,165,,,NCS
#ff9cb0,0520-R20B,255,156,176,,,NCS
#ffa2c0,0520-R30B,255,162,192,,,NCS
#ffa9d4,0520-R40B,255,169,212,,,NCS
#ffb4f0,0520-R50B,255,180,240,,,NCS
#e5b0ff,0520-R60B,229,176,255,,,NCS
#cbb0ff,0520-R70B,203,176,255,,,NCS
#9caeff,0520-R80B,156,174,255,,,NCS
#a3c1ff,0520-R90B,163,193,255,,,NCS
#fff3b5,0520-Y,255,243,181,,,NCS
#feedb2,0520-Y10R,254,237,178,,,NCS
#ffe5b0,0520-Y20R,255,229,176,,,NCS
#ffddad,0520-Y30R,255,221,173,,,NCS
#ffd5aa,0520-Y40R,255,213,170,,,NCS
#ffcca7,0520-Y50R,255,204,167,,,NCS
#ffc2a3,0520-Y60R,255,194,163,,,NCS
#ffb89f,0520-Y70R,255,184,159,,,NCS
#ffac9b,0520-Y80R,255,172,155,,,NCS
#ffa19b,0520-Y90R,255,161,155,,,NCS
#e09ffe,0525-R60B,224,159,254,,,NCS
#c1a0ff,0525-R70B,193,160,255,,,NCS
#8ed4ff,0530-B,142,212,255,,,NCS
#92e3ff,0530-B10G,146,227,255,,,NCS
#98f5ff,0530-B30G,152,245,255,,,NCS
#9afcff,0530-B40G,154,252,255,,,NCS
#9afffb,0530-B50G,154,255,251,,,NCS
#98fff5,0530-B60G,152,255,245,,,NCS
#96ffef,0530-B70G,150,255,239,,,NCS
#8bffcb,0530-B90G,139,255,203,,,NCS
#84ffb4,0530-G,132,255,180,,,NCS
#a3ffa7,0530-G10Y,163,255,167,,,NCS
#baff9e,0530-G20Y,186,255,158,,,NCS
#cbff96,0530-G30Y,203,255,150,,,NCS
#dafe90,0530-G40Y,218,254,144,,,NCS
#e6ff93,0530-G50Y,230,255,147,,,NCS
#f0fe96,0530-G60Y,240,254,150,,,NCS
#f9fe99,0530-G70Y,249,254,153,,,NCS
#fefb9a,0530-G80Y,254,251,154,,,NCS
#fef598,0530-G90Y,254,245,152,,,NCS
#ff737c,0530-R,255,115,124,,,NCS
#ff7687,0530-R10B,255,118,135,,,NCS
#fe7b95,0530-R20B,254,123,149,,,NCS
#ff81a9,0530-R30B,255,129,169,,,NCS
#fe89c4,0530-R40B,254,137,196,,,NCS
#ff95ea,0530-R50B,255,149,234,,,NCS
#7a92ff,0530-R80B,122,146,255,,,NCS
#81aaff,0530-R90B,129,170,255,,,NCS
#ffef96,0530-Y,255,239,150,,,NCS
#fee593,0530-Y10R,254,229,147,,,NCS
