Hex,Name,Red,Green,Blue,Family,Link,Source
#245336,kaitokegreen,36,83,54,,,Resene
#1b4b35,countygreen,27,75,53,,,Resene
#17462e,zuccini,23,70,46,,,Resene
#1d393c,nordic,29,57,60,,,Resene
#00494e,sherpablue,0,73,78,,,Resene
#254855,tealblue,37,72,85,,,Resene
#35514f,bluedianne,53,81,79,,,Resene
#314643,firefly,49,70,67,,,Resene
#2c4641,gablegreen,44,70,65,,,Resene
#273f41,daintree,39,63,65,,,Resene
#184343,tiber,24,67,67,,,Resene
#0f4645,cyprus,15,70,69,,,Resene
#19443c,deepteal,25,68,60,,,Resene
#20483f,zydeco,32,72,63,,,Resene
#1b4636,sherwoodgreen,27,70,54,,,Resene
#274234,englishholly,39,66,52,,,Resene
#264334,everglade,38,67,52,,,Resene
#254636,bottlegreen,37,70,54,,,Resene
#254636,bush,37,70,54,,,Resene
#234537,burnham,35,69,55,,,Resene
#2b3f36,celtic,43,63,54,,,Resene
#324336,timbergreen,50,67,54,,,Resene
#334231,forestgreen,51,66,49,,,Resene
#2b4b40,tepapagreen,43,75,64,,,Resene
#34533d,goblin,52,83,61,,,Resene
#3a4531,mallard,58,69,49,,,Resene
#36482f,palmleaf,54,72,47,,,Resene
#37412a,seaweed,55,65,42,,,Resene
#353f2a,olivegreen,53,63,42,,,Resene
#193925,deepfir,25,57,37,,,Resene
#1b3427,cardingreen,27,52,39,,,Resene
#20392c,palmgreen,32,57,44,,,Resene
#25342b,holly,37,52,43,,,Resene
#232e26,blackbean,35,46,38,,,Resene
#29332b,gordonsgreen,41,51,43,,,Resene
#2c3227,blackforest,44,50,39,,,Resene
#2a2f23,pinetree,42,47,35,,,Resene
#2f3125,huntergreen,47,49,37,,,Resene
#2d2f28,eternity,45,47,40,,,Resene
#2b2e25,rangoongreen,43,46,37,,,Resene
#2b2e26,marshland,43,46,38,,,Resene
#2c2d24,greenwaterloo,44,45,36,,,Resene
#2d2d24,karaka,45,45,36,,,Resene
#34322d,banjul,52,50,45,,,Resene
#35312c,acadia,53,49,44,,,Resene
#37312b,darkebony,55,49,43,,,Resene
#393227,creole,57,50,39,,,Resene
#383428,graphite,56,52,40,,,Resene
#332c22,blackmagic,51,44,34,,,Resene
#332c22,cannonblack,51,44,34,,,Resene
#35281e,cocoabrown,53,40,30,,,Resene
#3c2f23,cola,60,47,35,,,Resene
#3b2e25,sambuca,59,46,37,,,Resene
#3c342e,treehouse,60,52,46,,,Resene
#3d322c,deepoak,61,50,44,,,Resene
#3a2f2d,sepia,58,47,45,,,Resene
#362d26,coffeebean,54,45,38,,,Resene
#362d26,cubantan,54,45,38,,,Resene
#362d26,marlin,54,45,38,,,Resene
#302621,woodbark,48,38,33,,,Resene
#2a2922,asphalt,42,41,34,,,Resene
#2a2922,maire,42,41,34,,,Resene
#292924,junglegreen,41,41,36,,,Resene
#463623,clinker,70,54,35,,,Resene
#463629,woodburn,70,54,41,,,Resene
#413628,jackobean,65,54,40,,,Resene
#3f3726,birch,63,55,38,,,Resene
#3f3623,mikado,63,54,35,,,Resene
#493f2f,ashbrown,73,63,47,,,Resene
#48412b,onion,72,65,43,,,Resene
#473e23,madras,71,62,35,,,Resene
#393d2a,greenkelp,57,61,42,,,Resene
#45402b,woodrush,69,64,43,,,Resene
#4c4e31,waiouru,76,78,49,,,Resene
#4f4d32,camouflage,79,77,50,,,Resene
#544e31,thatchgreen,84,78,49,,,Resene
#534931,punga,83,73,49,,,Resene
#51412d,deepbronze,81,65,45,,,Resene
#4b412a,tumbleweed,75,65,42,,,Resene
