Hex,HTML name, idx,Family,Decimal,Red,Green,Blue,Sample,,,,,,,,,,,,,,,,,,,,,
#C71585,MediumVioletRed,2,Pink colors,"199, 21, 133",199,21,133,,,,,,,,,,,,,,,,,,,,,,
#FF1493,DeepPink,3,Pink colors,"255, 20, 147",255,20,147,,,,,,,,,,,,,,,,,,,,,,
#DB7093,PaleVioletRed,4,Pink colors,"219, 112, 147",219,112,147,,,,,,,,,,,,,,,,,,,,,,
#FF69B4,HotPink,5,Pink colors,"255, 105, 180",255,105,180,,,,,,,,,,,,,,,,,,,,,,
#FFB6C1,LightPink,6,Pink colors,"255, 182, 193",255,182,193,,,,,,,,,,,,,,,,,,,,,,
#FFC0CB,Pink,7,Pink colors,"255, 192, 203",255,192,203,,,,,,,,,,,,,,,,,,,,,,
#8B0000,DarkRed,9,Red colors,"139, 0, 0",139,0,0,,,,,,,,,,,,,,,,,,,,,,
#FF0000,Red,10,Red colors,"255, 0, 0",255,0,0,,,,,,,,,,,,,,,,,,,,,,
#B22222,Firebrick,11,Red colors,"178, 34, 34",178,34,34,,,,,,,,,,,,,,,,,,,,,,
#DC143C,Crimson,12,Red colors,"220, 20, 60",220,20,60,,,,,,,,,,,,,,,,,,,,,,
#CD5C5C,IndianRed,13,Red colors,"205, 92, 92",205,92,92,,,,,,,,,,,,,,,,,,,,,,
#F08080,LightCoral,14,Red colors,"240, 128, 128",240,128,128,,,,,,,,,,,,,,,,,,,,,,
#FA8072,Salmon,15,Red colors,"250, 128, 114",250,128,114,,,,,,,,,,,,,,,,,,,,,,
#E9967A,DarkSalmon,16,Red colors,"233, 150, 122",233,150,122,,,,,,,,,,,,,,,,,,,,,,
#FFA07A,LightSalmon,17,Red colors,"255, 160, 122",255,160,122,,,,,,,,,,,,,,,,,,,,,,
#FF4500,OrangeRed,19,Orange colors,"255, 69, 0",255,69,0,,,,,,,,,,,,,,,,,,,,,,
#FF6347,Tomato,20,Orange colors,"255, 99, 71",255,99,71,,,,,,,,,,,,,,,,,,,,,,
#FF8C00,DarkOrange,21,Orange colors,"255, 140, 0",255,140,0,,,,,,,,,,,,,,,,,,,,,,
#FF7F50,Coral,22,Orange colors,"255, 127, 80",255,127,80,,,,,,,,,,,,,,,,,,,,,,
#FFA500,Orange,23,Orange colors,"255, 165, 0",255,165,0,,,,,,,,,,,,,,,,,,,,,,
#BDB76B,DarkKhaki,25,Yellow colors,"189, 183, 107",189,183,107,,,,,,,,,,,,,,,,,,,,,,
#FFD700,Gold,26,Yellow colors,"255, 215, 0",255,215,0,,,,,,,,,,,,,,,,,,,,,,
#F0E68C,Khaki,27,Yellow colors,"240, 230, 140",240,230,140,,,,,,,,,,,,,,,,,,,,,,
#FFDAB9,PeachPuff,28,Yellow colors,"255, 218, 185",255,218,185,,,,,,,,,,,,,,,,,,,,,,
#FFFF00,Yellow,29,Yellow colors,"255, 255, 0",255,255,0,,,,,,,,,,,,,,,,,,,,,,
#EEE8AA,PaleGoldenrod,30,Yellow colors,"238, 232, 170",238,232,170,,,,,,,,,,,,,,,,,,,,,,
#FFE4B5,Moccasin,31,Yellow colors,"255, 228, 181",255,228,181,,,,,,,,,,,,,,,,,,,,,,
