"Hex
 (RGB)",Name,"Red
 (RGB)","Green
 (RGB)","Blue
 (RGB)","Hue
 (HSL/V)","Satur.
 (HSL)","Light
 (HSL)","Satur.
 (HSV)","Value
 (HSV)",Temp R,Temp G,Temp B,Cyan,Magenta,Yellow,Black,Alternative,,
#f0f8ff,Alice Blue,94%,97%,100%,208°,100%,97%,6%,100%,5.88%,2.75%,0.00%,5.88%,2.75%,0.00%,0.00%,,,
#faebd7,Antique White,98%,92%,84%,34°,78%,91%,14%,98%,1.96%,7.84%,15.69%,0.00%,6.00%,14.00%,1.96%,,,
#00ffff,Aqua,0%,100%,100%,180°,100%,50%,100%,100%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,Cyan,,
#7fffd4,Aquamarine,50%,100%,83%,160°,100%,75%,50%,100%,50.20%,0.00%,16.86%,50.20%,0.00%,16.86%,0.00%,,,
#f0ffff,Azure,94%,100%,100%,180°,100%,97%,6%,100%,5.88%,0.00%,0.00%,5.88%,0.00%,0.00%,0.00%,,,
#f5f5dc,Beige,96%,96%,86%,60°,56%,91%,10%,96%,3.92%,3.92%,13.73%,0.00%,0.00%,10.20%,3.92%,,,
#ffe4c4,Bisque,100%,89%,77%,33°,100%,88%,23%,100%,0.00%,10.59%,23.14%,0.00%,10.59%,23.14%,0.00%,,,
#000000,Black,0%,0%,0%,0°,0%,0%,0%,0%,100.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,,,
#ffebcd,Blanched Almond,100%,92%,80%,36°,100%,90%,20%,100%,0.00%,7.84%,19.61%,0.00%,7.84%,19.61%,0.00%,,,
#0000ff,Blue,0%,0%,100%,240°,100%,50%,100%,100%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,,,
#8a2be2,Blue Violet,54%,17%,89%,271°,76%,53%,81%,89%,45.88%,83.14%,11.37%,38.94%,80.97%,0.00%,11.37%,,,
#a52a2a,Brown,65%,16%,16%,0°,59%,41%,75%,65%,35.29%,83.53%,83.53%,0.00%,74.55%,74.55%,35.29%,,,
#deb887,Burlywood,87%,72%,53%,34°,57%,70%,39%,87%,12.94%,27.84%,47.06%,0.00%,17.12%,39.19%,12.94%,,,
#5f9ea0,Cadet Blue,37%,62%,63%,182°,26%,50%,41%,63%,62.75%,38.04%,37.25%,40.63%,1.25%,0.00%,37.25%,,,
#7fff00,Chartreuse,50%,100%,0%,90°,100%,50%,100%,100%,50.20%,0.00%,100.00%,50.20%,0.00%,100.00%,0.00%,,,
#d2691e,Chocolate,82%,41%,12%,25°,75%,47%,86%,82%,17.65%,58.82%,88.24%,0.00%,50.00%,85.71%,17.65%,,,
#ff7f50,Coral,100%,50%,31%,16°,100%,66%,69%,100%,0.00%,50.20%,68.63%,0.00%,50.20%,68.63%,0.00%,,,
#6495ed,Cornflower Blue,39%,58%,93%,219°,79%,66%,58%,93%,60.78%,41.57%,7.06%,57.81%,37.13%,0.00%,7.06%,,,
#fff8dc,Cornsilk,100%,97%,86%,48°,100%,93%,14%,100%,0.00%,2.75%,13.73%,0.00%,2.75%,13.73%,0.00%,,,
#dc143c,Crimson,86%,8%,24%,348°,83%,47%,91%,86%,13.73%,92.16%,76.47%,0.00%,90.91%,72.73%,13.73%,,,
#00ffff,Cyan,0%,100%,100%,180°,100%,50%,100%,100%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,Aqua,,
#00008b,Dark Blue,0%,0%,55%,240°,100%,27%,100%,55%,100.00%,100.00%,45.49%,100.00%,100.00%,0.00%,45.49%,,,
#008b8b,Dark Cyan,0%,55%,55%,180°,100%,27%,100%,55%,100.00%,45.49%,45.49%,100.00%,0.00%,0.00%,45.49%,,,
