"Index","Color Name","ID","Hex","Red","Green","Blue","Hue","Saturation","Luminance","Cyan","Magenta","Yellow","Key","Source","System"
"1","Saharagelb","526-G","#F3DC00","243","220","0","54.32","100.0","47.65","0.0","9.47","100.0","4.71","ColorNerd","avery"
"2","Buttergelb","527-G","#F6CA00","246","202","0","49.27","100.0","48.24","0.0","17.89","100.0","3.53","ColorNerd","avery"
"3","Primelgelb","504-G","#FFBE00","255","190","0","44.71","100.0","50.0","0.0","25.49","100.0","0.0","ColorNerd","avery"
"4","Hellgelb","525-G","#FAC600","250","198","0","47.52","100.0","49.02","0.0","20.8","100.0","1.96","ColorNerd","avery"
"5","Hellorange","516-G","#F99700","249","151","0","36.39","100.0","48.82","0.0","39.36","100.0","2.35","ColorNerd","avery"
"6","Orange","509-G","#F86400","248","100","0","24.19","100.0","48.63","0.0","59.68","100.0","2.75","ColorNerd","avery"
"7","Klatschmohn","514-G","#CE3209","206","50","9","12.49","91.63","42.16","0.0","75.73","95.63","19.22","ColorNerd","avery"
"8","Mittelrot","523-G","#C42918","196","41","24","5.93","78.18","43.14","0.0","79.08","87.76","23.14","ColorNerd","avery"
"9","Kirschrot","511-G","#BD2713","189","39","19","7.06","81.73","40.78","0.0","79.37","89.95","25.88","ColorNerd","avery"
"10","Geranienrot","503-G","#AF0E1E","175","14","30","354.04","85.19","37.06","0.0","92.0","82.86","31.37","ColorNerd","avery"
"11","Rot","519-G","#A8131D","168","19","29","355.97","79.68","36.67","0.0","88.69","82.74","34.12","ColorNerd","avery"
"12","Dunkelrot","515-G","#8E201D","142","32","29","1.59","66.08","33.53","0.0","77.46","79.58","44.31","ColorNerd","avery"
"13","Burgunder","513-G","#6E0E25","110","14","37","345.62","77.42","24.31","0.0","87.27","66.36","56.86","ColorNerd","avery"
"14","Magenta","524-G","#CA4085","202","64","133","330.0","56.56","52.16","0.0","68.32","34.16","20.78","ColorNerd","avery"
"15","Pink","541-G","#EE8DBF","238","141","191","329.07","74.05","74.31","0.0","40.76","19.75","6.67","ColorNerd","avery"
"16","Lavendel","550-G","#7969A9","121","105","169","255.0","27.12","53.73","28.4","37.87","0.0","33.73","ColorNerd","avery"
"17","Violet","522-G","#6C3B85","108","59","133","279.73","38.54","37.65","18.8","55.64","0.0","47.84","ColorNerd","avery"
"18","Kobaltblau","540-G","#111C3A","17","28","58","223.9","54.67","14.71","70.69","51.72","0.0","77.25","ColorNerd","avery"
"19","Dunkelblau","512-G","#253768","37","55","104","223.88","47.52","27.65","64.42","47.12","0.0","59.22","ColorNerd","avery"
"20","Tiefblau","528-G","#133482","19","52","130","222.16","74.5","29.22","85.38","60.0","0.0","49.02","ColorNerd","avery"
"21","Ultramarinblau","520-G","#104181","16","65","129","213.98","77.93","28.43","87.6","49.61","0.0","49.41","ColorNerd","avery"
"22","Strahlendblau","539-G","#0949A5","9","73","165","215.38","89.66","34.12","94.55","55.76","0.0","35.29","ColorNerd","avery"
"23","Blau","505-G","#005585","0","85","133","201.65","100.0","26.08","100.0","36.09","0.0","47.84","ColorNerd","avery"
"24","Intensivblau","521-G","#006DA7","0","109","167","200.84","100.0","32.75","100.0","34.73","0.0","34.51","ColorNerd","avery"
"25","Hellblau","510-G","#0079BA","0","121","186","200.97","100.0","36.47","100.0","34.95","0.0","27.06","ColorNerd","avery"
"26","Enzianblau","538-G","#0094B9","0","148","185","192.0","100.0","36.27","100.0","20.0","0.0","27.45","ColorNerd","avery"
"27","Capriblau","537-G","#4EAFD6","78","175","214","197.21","62.39","57.25","63.55","18.22","0.0","16.08","ColorNerd","avery"
"28","Tuerkis","534-G","#008E8E","0","142","142","180.0","100.0","27.84","100.0","0.0","0.0","44.31","ColorNerd","avery"
"29","Teal","535-G","#009F94","0","159","148","175.85","100.0","31.18","100.0","0.0","6.92","37.65","ColorNerd","avery"
"30","Mint","536-G","#72D1B7","114","209","183","163.58","50.8","63.33","45.45","0.0","12.44","18.04","ColorNerd","avery"
"31","Waldgruen","533-G","#004E30","0","78","48","156.92","100.0","15.29","100.0","0.0","38.46","69.41","ColorNerd","avery"
"32","Irischgruen","532-G","#007A3C","0","122","60","149.51","100.0","23.92","100.0","0.0","50.82","52.16","ColorNerd","avery"
"33","Kaktusgruen","506-G","#007D4E","0","125","78","157.44","100.0","24.51","100.0","0.0","37.6","50.98","ColorNerd","avery"
"34","Grasgruen","518-G","#12852E","18","133","46","134.61","76.16","29.61","86.47","0.0","65.41","47.84","ColorNerd","avery"
"35","Hellgruen","517-G","#65A321","101","163","33","88.62","66.33","38.43","38.04","0.0","79.75","36.08","ColorNerd","avery"
"36","Limone","531-G","#79C529","121","197","41","89.23","65.55","46.67","38.58","0.0","79.19","22.75","ColorNerd","avery"
"37","Weiss","501-G","#EBECED","235","236","237","210.0","5.26","92.55","0.84","0.42","0.0","7.06","ColorNerd","avery"
"38","Lichtgrau","544-G","#C1C1C1","193","193","193","0.0","0.0","75.69","0.0","0.0","0.0","24.31","ColorNerd","avery"
"39","Hellgrau","529-G","#9FA5AF","159","165","175","217.5","9.09","65.49","9.14","5.71","0.0","31.37","ColorNerd","avery"
"40","Grau","508-G","#818A91","129","138","145","206.25","6.78","53.73","11.03","4.83","0.0","43.14","ColorNerd","avery"
"41","Taubengrau","545-G","#939590","147","149","144","84.0","2.3","57.45","1.34","0.0","3.36","41.57","ColorNerd","avery"
"42","Dunkelgrau","530-G","#565C61","86","92","97","207.27","6.01","35.88","11.34","5.15","0.0","61.96","ColorNerd","avery"
"43","Schwarz","502-G","#101115","16","17","21","228.0","13.51","7.25","23.81","19.05","0.0","91.76","ColorNerd","avery"
"44","Silber","546-G","#85888A","133","136","138","204.0","2.09","53.14","3.62","1.45","0.0","45.88","ColorNerd","avery"
"45","Gold","547-G","#968453","150","132","83","43.88","28.76","45.69","0.0","12.0","44.67","41.18","ColorNerd","avery"
"46","Elfenbein","542-G","#E2CDB1","226","205","177","34.29","45.79","79.02","0.0","9.29","21.68","11.37","ColorNerd","avery"
