"Index","Color Name","ID","Hex","Red","Green","Blue","Hue","Saturation","Luminance","Cyan","Magenta","Yellow","Key","Source","System"
"383","Barely Pink","100A-1","#F9ECFC","249","236","252","288.75","72.73","95.69","1.19","6.35","0.0","1.18","ColorNerd","behr"
"384","Be Mine","100A-2","#F8E0FA","248","224","250","295.38","72.22","92.94","0.8","10.4","0.0","1.96","ColorNerd","behr"
"385","Scented Valentine","100A-3","#F8CEF9","248","206","249","298.6","78.18","89.22","0.4","17.27","0.0","2.35","ColorNerd","behr"
"386","Pink Chintz","100B-4","#F8B5FA","248","181","250","298.26","87.34","84.51","0.8","27.6","0.0","1.96","ColorNerd","behr"
"387","Springtime Bloom","100B-5","#E46FEC","228","111","236","296.16","76.69","68.04","3.39","52.97","0.0","7.45","ColorNerd","behr"
"388","Fuchsia Kiss","100B-6","#CF4DDF","207","77","223","293.42","69.52","58.82","7.17","65.47","0.0","12.55","ColorNerd","behr"
"389","Hot Pink","100B-7","#A623A6","166","35","166","300.0","65.17","39.41","0.0","78.92","0.0","34.9","ColorNerd","behr"
"390","Cupid Arrow","100C-1","#F9E3F6","249","227","246","308.18","64.71","93.33","0.0","8.84","1.2","2.35","ColorNerd","behr"
"391","Cool Pink","100C-2","#EACDEA","234","205","234","300.0","40.85","86.08","0.0","12.39","0.0","8.24","ColorNerd","behr"
"392","Birthday Candle","100C-3","#D09BD0","208","155","208","300.0","36.05","71.18","0.0","25.48","0.0","18.43","ColorNerd","behr"
"393","Degas Pink","100D-4","#AC6EAE","172","110","174","298.12","28.32","55.69","1.15","36.78","0.0","31.76","ColorNerd","behr"
"394","Berries And Cream","100D-5","#96548E","150","84","142","307.27","28.21","45.88","0.0","44.0","5.33","41.18","ColorNerd","behr"
"395","Rose Garland","100D-6","#774172","119","65","114","305.56","29.35","36.08","0.0","45.38","4.2","53.33","ColorNerd","behr"
"396","Maroon","100D-7","#663368","102","51","104","297.74","34.19","30.39","1.92","50.96","0.0","59.22","ColorNerd","behr"
"397","Coquette","100E-1","#EAE3EC","234","227","236","286.67","19.15","90.78","0.85","3.81","0.0","7.45","ColorNerd","behr"
"398","Mauve Mist","100E-2","#E1DAE7","225","218","231","272.31","21.31","88.04","2.6","5.63","0.0","9.41","ColorNerd","behr"
"399","Pastel Violet","100E-3","#CCC1D2","204","193","210","278.82","15.89","79.02","2.86","8.1","0.0","17.65","ColorNerd","behr"
"400","Dark Lilac","100F-4","#B5A8BD","181","168","189","277.14","13.73","70.0","4.23","11.11","0.0","25.88","ColorNerd","behr"
"401","Gypsy Magic","100F-5","#877895","135","120","149","271.03","12.03","52.75","9.4","19.46","0.0","41.57","ColorNerd","behr"
"402","Plum Shade","100F-6","#685971","104","89","113","277.5","11.88","39.61","7.96","21.24","0.0","55.69","ColorNerd","behr"
"403","Deep Aubergine","100F-7","#46384A","70","56","74","286.67","13.85","25.49","5.41","24.32","0.0","70.98","ColorNerd","behr"
"404","Ballerina Gown","110A-1","#FBECFA","251","236","250","304.0","65.22","95.49","0.0","5.98","0.4","1.57","ColorNerd","behr"
"405","Poetic Princess","110A-2","#FCDEFA","252","222","250","304.0","83.33","92.94","0.0","11.9","0.79","1.18","ColorNerd","behr"
"406","Palace Rose","110A-3","#FEC1F6","254","193","246","307.87","96.83","87.65","0.0","24.02","3.15","0.39","ColorNerd","behr"
"407","Foxy Pink","110B-4","#E385DE","227","133","222","303.19","62.67","70.59","0.0","41.41","2.2","10.98","ColorNerd","behr"
"408","Silk Ribbon","110B-5","#CC50C0","204","80","192","305.81","54.87","55.69","0.0","60.78","5.88","20.0","ColorNerd","behr"
"409","Cran Brook","110B-6","#A13295","161","50","149","306.49","52.61","41.37","0.0","68.94","7.45","36.86","ColorNerd","behr"
"410","Raspberry Pudding","110B-7","#8B1A6F","139","26","111","314.87","68.48","32.35","0.0","81.29","20.14","45.49","ColorNerd","behr"
"411","Petal Bloom","110C-1","#FCCDF4","252","205","244","310.21","88.68","89.61","0.0","18.65","3.17","1.18","ColorNerd","behr"
"412","Colonial Rose","110C-2","#ECACDB","236","172","219","315.94","62.75","80.0","0.0","27.12","7.2","7.45","ColorNerd","behr"
"413","Glamour","110C-3","#E18ECD","225","142","205","314.46","58.04","71.96","0.0","36.89","8.89","11.76","ColorNerd","behr"
"414","Rosily","110D-4","#C05DA6","192","93","166","315.76","44.0","55.88","0.0","51.56","13.54","24.71","ColorNerd","behr"
"415","Mission Wildflower","110D-5","#97357E","151","53","126","315.31","48.04","40.0","0.0","64.9","16.56","40.78","ColorNerd","behr"
"416","Haunting Melody","110D-6","#712A5F","113","42","95","315.21","45.81","30.39","0.0","62.83","15.93","55.69","ColorNerd","behr"
"417","Vin Rouge","110D-7","#532448","83","36","72","314.04","39.5","23.33","0.0","56.63","13.25","67.45","ColorNerd","behr"
"418","Whimsical White","110E-1","#EFE9EF","239","233","239","300.0","15.79","92.55","0.0","2.51","0.0","6.27","ColorNerd","behr"
"419","Brook Trout","110E-2","#DFD4DF","223","212","223","300.0","14.67","85.29","0.0","4.93","0.0","12.55","ColorNerd","behr"
"420","Dusky Violet","110E-3","#D0C5CF","208","197","207","305.45","10.48","79.41","0.0","5.29","0.48","18.43","ColorNerd","behr"
"421","Heirloom Orchid","110F-4","#A99CA9","169","156","169","300.0","7.03","63.73","0.0","7.69","0.0","33.73","ColorNerd","behr"
"422","Phantom Hue","110F-5","#856E81","133","110","129","310.43","9.47","47.65","0.0","17.29","3.01","47.84","ColorNerd","behr"
"423","Purplestone","110F-6","#6A4B5F","106","75","95","321.29","17.13","35.49","0.0","29.25","10.38","58.43","ColorNerd","behr"
"424","Deep Garnet","110F-7","#482A3F","72","42","63","318.0","26.32","22.35","0.0","41.67","12.5","71.76","ColorNerd","behr"
"425","Swiss Coffee","12","#F3F2E6","243","242","230","55.38","35.14","92.75","0.0","0.41","5.35","4.71","ColorNerd","behr"
"426","Light Chiffon","120A-1","#F7E9F5","247","233","245","308.57","46.67","94.12","0.0","5.67","0.81","3.14","ColorNerd","behr"
"427","Delicate Rose","120A-2","#FBDAF5","251","218","245","310.91","80.49","91.96","0.0","13.15","2.39","1.57","ColorNerd","behr"
"428","Lovelight","120A-3","#FBD0F0","251","208","240","315.35","84.31","90.0","0.0","17.13","4.38","1.57","ColorNerd","behr"
"429","Old Fashioned Pink","120B-4","#FCBEEE","252","190","238","313.55","91.18","86.67","0.0","24.6","5.56","1.18","ColorNerd","behr"
"430","Candy Coated","120B-5","#FA8BD7","250","139","215","318.92","91.74","76.27","0.0","44.4","14.0","1.96","ColorNerd","behr"
"431","Watermelon Pink","120B-6","#EC53B7","236","83","183","320.78","80.1","62.55","0.0","64.83","22.46","7.45","ColorNerd","behr"
"432","Tropical Smoothie","120B-7","#CC2C92","204","44","146","321.75","64.52","48.63","0.0","78.43","28.43","20.0","ColorNerd","behr"
"433","April Blush","120C-1","#FDC8F7","253","200","247","306.79","92.98","88.82","0.0","20.95","2.37","0.78","ColorNerd","behr"
"434","Pink Punch","120C-2","#FCADED","252","173","237","311.39","92.94","83.33","0.0","31.35","5.95","1.18","ColorNerd","behr"
"435","Rose Marquis","120C-3","#E482CB","228","130","203","315.31","64.47","70.2","0.0","42.98","10.96","10.59","ColorNerd","behr"
"436","Mulberry","120D-4","#C045A1","192","69","161","315.12","49.4","51.18","0.0","64.06","16.15","24.71","ColorNerd","behr"
"437","Glazed Raspberry","120D-5","#A1287E","161","40","126","317.36","60.2","39.41","0.0","75.16","21.74","36.86","ColorNerd","behr"
"438","Cranberry Splash","120D-6","#831E61","131","30","97","320.2","62.73","31.57","0.0","77.1","25.95","48.63","ColorNerd","behr"
"439","Ruby Red","120D-7","#701C52","112","28","82","321.43","60.0","27.45","0.0","75.0","26.79","56.08","ColorNerd","behr"
"440","Dreamy White","120E-1","#E9DFE5","233","223","229","324.0","18.52","89.41","0.0","4.29","1.72","8.63","ColorNerd","behr"
"441","French Taupe","120E-2","#D2C8D0","210","200","208","312.0","10.0","80.39","0.0","4.76","0.95","17.65","ColorNerd","behr"
"442","Subdued Hue","120E-3","#C5B3BE","197","179","190","323.33","13.43","73.73","0.0","9.14","3.55","22.75","ColorNerd","behr"
"443","Blackberry Mocha","120F-4","#9E8692","158","134","146","330.0","11.01","57.25","0.0","15.19","7.59","38.04","ColorNerd","behr"
"444","Hickory Stick","120F-5","#8E6D7A","142","109","122","336.36","13.15","49.22","0.0","23.24","14.08","44.31","ColorNerd","behr"
