"Index","Color Name","ID","Hex","Red","Green","Blue","Hue","Saturation","Luminance","Cyan","Magenta","Yellow","Key","Source","System"
"5082","Frostine","AF-5","#EFF2EC","239","242","236","90.0","18.75","93.73","1.24","0.0","2.48","5.1","ColorNerd","benjamin-moore"
"5083","Gardenia","AF-10","#F4F1EA","244","241","234","42.0","31.25","93.73","0.0","1.23","4.1","4.31","ColorNerd","benjamin-moore"
"5084","Steam","AF-15","#F1F0E7","241","240","231","54.0","26.32","92.55","0.0","0.41","4.15","5.49","ColorNerd","benjamin-moore"
"5085","Mascarpone","AF-20","#F9F8E9","249","248","233","56.25","57.14","94.51","0.0","0.4","6.43","2.35","ColorNerd","benjamin-moore"
"5086","Paper","AF-25","#F1F1E4","241","241","228","60.0","31.71","91.96","0.0","0.0","5.39","5.49","ColorNerd","benjamin-moore"
"5087","Deep","AF-30","#EFEDDC","239","237","220","53.68","37.25","90.0","0.0","0.84","7.95","6.27","ColorNerd","benjamin-moore"
"5088","Vapor","AF-35","#F0EDE0","240","237","224","48.75","34.78","90.98","0.0","1.25","6.67","5.88","ColorNerd","benjamin-moore"
"5089","Lychee","AF-40","#F6EDDD","246","237","221","38.4","58.14","91.57","0.0","3.66","10.16","3.53","ColorNerd","benjamin-moore"
"5090","Collector's","AF-45","#F2EBDD","242","235","221","40.0","44.68","90.78","0.0","2.89","8.68","5.1","ColorNerd","benjamin-moore"
"5091","Etiquette","AF-50","#E6E1D6","230","225","214","41.25","24.24","87.06","0.0","2.17","6.96","9.8","ColorNerd","benjamin-moore"
"5092","Sonnet","AF-55","#E4DCCE","228","220","206","38.18","28.95","85.1","0.0","3.51","9.65","10.59","ColorNerd","benjamin-moore"
"5093","Peau","AF-60","#E6DCCF","230","220","207","33.91","31.51","85.69","0.0","4.35","10.0","9.8","ColorNerd","benjamin-moore"
"5094","Fossil","AF-65","#E4DECF","228","222","207","42.86","28.0","85.29","0.0","2.63","9.21","10.59","ColorNerd","benjamin-moore"
"5095","Battenberg","AF-70","#EAE6D1","234","230","209","50.4","37.31","86.86","0.0","1.71","10.68","8.24","ColorNerd","benjamin-moore"
"5096","Refined","AF-75","#DFE0CE","223","224","206","63.33","22.5","84.31","0.45","0.0","8.04","12.16","ColorNerd","benjamin-moore"
"5097","Jute","AF-80","#DAD3BF","218","211","191","44.44","26.73","80.2","0.0","3.21","12.39","14.51","ColorNerd","benjamin-moore"
"5098","Frappe","AF-85","#E8DCC4","232","220","196","40.0","43.9","83.92","0.0","5.17","15.52","9.02","ColorNerd","benjamin-moore"
"5099","Harmony","AF-90","#DECDB2","222","205","178","36.82","40.0","78.43","0.0","7.66","19.82","12.94","ColorNerd","benjamin-moore"
"5100","Hush","AF-95","#D5CAB0","213","202","176","42.16","30.58","76.27","0.0","5.16","17.37","16.47","ColorNerd","benjamin-moore"
"5101","Pashmina","AF-100","#BCB3A2","188","179","162","39.23","16.25","68.63","0.0","4.79","13.83","26.27","ColorNerd","benjamin-moore"
"5102","Elk","AF-105","#988669","152","134","105","37.02","18.58","50.39","0.0","11.84","30.92","40.39","ColorNerd","benjamin-moore"
"5103","Coriander","AF-110","#958166","149","129","102","34.47","18.73","49.22","0.0","13.42","31.54","41.57","ColorNerd","benjamin-moore"
"5104","Lodge","AF-115","#7E674E","126","103","78","31.25","23.53","40.0","0.0","18.25","38.1","50.59","ColorNerd","benjamin-moore"
"5105","Tamarind","AF-120","#746147","116","97","71","34.67","24.06","36.67","0.0","16.38","38.79","54.51","ColorNerd","benjamin-moore"
"5106","Morrel","AF-125","#B39779","179","151","121","31.03","27.62","58.82","0.0","15.64","32.4","29.8","ColorNerd","benjamin-moore"
"5107","Truffle","AF-130","#C7B198","199","177","152","31.91","29.56","68.82","0.0","11.06","23.62","21.96","ColorNerd","benjamin-moore"
"5108","Interlude","AF-135","#B9A38B","185","163","139","31.3","24.73","63.53","0.0","11.89","24.86","27.45","ColorNerd","benjamin-moore"
"5109","Pensive","AF-140","#BEAB96","190","171","150","31.5","23.53","66.67","0.0","10.0","21.05","25.49","ColorNerd","benjamin-moore"
"5110","Kangaroo","AF-145","#C0B299","192","178","153","38.46","23.64","67.65","0.0","7.29","20.31","24.71","ColorNerd","benjamin-moore"
"5111","Cotswold","AF-150","#B6A796","182","167","150","31.87","17.98","65.1","0.0","8.24","17.58","28.63","ColorNerd","benjamin-moore"
"5112","Weimaraner","AF-155","#A09383","160","147","131","33.1","13.24","57.06","0.0","8.13","18.13","37.25","ColorNerd","benjamin-moore"
"5113","Carob","AF-160","#8D705E","141","112","94","22.98","20.0","46.08","0.0","20.57","33.33","44.71","ColorNerd","benjamin-moore"
"5114","Kona","AF-165","#735742","115","87","66","25.71","27.07","35.49","0.0","24.35","42.61","54.9","ColorNerd","benjamin-moore"
"5115","French","AF-170","#604E44","96","78","68","21.43","17.07","32.16","0.0","18.75","29.17","62.35","ColorNerd","benjamin-moore"
"5116","Barista","AF-175","#59433B","89","67","59","16.0","20.27","29.02","0.0","24.72","33.71","65.1","ColorNerd","benjamin-moore"
"5117","Wenge","AF-180","#3D2E2C","61","46","44","7.06","16.19","20.59","0.0","24.59","27.87","76.08","ColorNerd","benjamin-moore"
"5118","Venetian","AF-185","#C5AA97","197","170","151","24.78","28.4","68.24","0.0","13.71","23.35","22.75","ColorNerd","benjamin-moore"
"5119","Boudoir","AF-190","#DBC3AF","219","195","175","27.27","37.93","77.25","0.0","10.96","20.09","14.12","ColorNerd","benjamin-moore"
"5120","Terra","AF-195","#DEBFA0","222","191","160","30.0","48.44","74.9","0.0","13.96","27.93","12.94","ColorNerd","benjamin-moore"
"5121","Lingerie","AF-200","#D5B696","213","182","150","30.48","42.86","71.18","0.0","14.55","29.58","16.47","ColorNerd","benjamin-moore"
"5122","Serendipity","AF-205","#DAB192","218","177","146","25.83","49.32","71.37","0.0","18.81","33.03","14.51","ColorNerd","benjamin-moore"
"5123","Milk","AF-210","#D4A583","212","165","131","25.19","48.5","67.25","0.0","22.17","38.21","16.86","ColorNerd","benjamin-moore"
"5124","Italianate","AF-215","#CC9A77","204","154","119","24.71","45.45","63.33","0.0","24.51","41.67","20.0","ColorNerd","benjamin-moore"
"5125","Masada","AF-220","#A4683F","164","104","63","24.36","44.49","44.51","0.0","36.59","61.59","35.69","ColorNerd","benjamin-moore"
"5126","Firenze","AF-225","#B97551","185","117","81","20.77","42.62","52.16","0.0","36.76","56.22","27.45","ColorNerd","benjamin-moore"
"5127","Buttered","AF-230","#C47641","196","118","65","24.27","52.61","51.18","0.0","39.8","66.84","23.14","ColorNerd","benjamin-moore"
"5128","Warmed","AF-235","#975B3B","151","91","59","20.87","43.81","41.18","0.0","39.74","60.93","40.78","ColorNerd","benjamin-moore"
"5129","Satchel","AF-240","#815032","129","80","50","22.78","44.13","35.1","0.0","37.98","61.24","49.41","ColorNerd","benjamin-moore"
"5130","Ipanema","AF-245","#C6A48D","198","164","141","24.21","33.33","66.47","0.0","17.17","28.79","22.35","ColorNerd","benjamin-moore"
"5131","Head","AF-250","#F0DFD3","240","223","211","24.83","49.15","88.43","0.0","7.08","12.08","5.88","ColorNerd","benjamin-moore"
"5132","Fondant","AF-255","#F9EEE4","249","238","228","28.57","63.64","93.53","0.0","4.42","8.43","2.35","ColorNerd","benjamin-moore"
"5133","Proposal","AF-260","#E9DAD5","233","218","213","15.0","31.25","87.45","0.0","6.44","8.58","8.63","ColorNerd","benjamin-moore"
"5134","Charmeuse","AF-265","#DCCDC3","220","205","195","24.0","26.32","81.37","0.0","6.82","11.36","13.73","ColorNerd","benjamin-moore"
"5135","Tea","AF-270","#A16F69","161","111","105","6.43","22.95","52.16","0.0","31.06","34.78","36.86","ColorNerd","benjamin-moore"
"5136","Rustique","AF-275","#7D3F2F","125","63","47","12.31","45.35","33.73","0.0","49.6","62.4","50.98","ColorNerd","benjamin-moore"
"5137","Salsa","AF-280","#AC5540","172","85","64","11.67","45.76","46.27","0.0","50.58","62.79","32.55","ColorNerd","benjamin-moore"
"5138","Moroccan","AF-285","#B35D51","179","93","81","7.35","39.2","50.98","0.0","48.04","54.75","29.8","ColorNerd","benjamin-moore"
