"Index","Color Name","ID","Hex","Red","Green","Blue","Hue","Saturation","Luminance","Cyan","Magenta","Yellow","Key","Source","System"
"9001","Bisque .01","Bisque-01","#FFFFFF","255","255","255","0.0","0.0","100.0","0.0","0.0","0.0","0.0","ColorNerd","colorhouse"
"9002","Imagine .01","Imagine-01","#F8FAF8","248","250","248","120.0","16.67","97.65","0.8","0.0","0.8","1.96","ColorNerd","colorhouse"
"9003","Imagine .02","Imagine-02","#FAFDF4","250","253","244","80.0","69.23","97.45","1.19","0.0","3.56","0.78","ColorNerd","colorhouse"
"9004","Imagine .03","Imagine-03","#F4F8E7","244","248","231","74.12","54.84","93.92","1.61","0.0","6.85","2.75","ColorNerd","colorhouse"
"9005","Imagine .04","Imagine-04","#F0EDDB","240","237","219","51.43","41.18","90.0","0.0","1.25","8.75","5.88","ColorNerd","colorhouse"
"9006","Imagine .05","Imagine-05","#F0F2F1","240","242","241","150.0","7.14","94.51","0.83","0.0","0.41","5.1","ColorNerd","colorhouse"
"9007","Imagine .06","Imagine-06","#EAE9E1","234","233","225","53.33","17.65","90.0","0.0","0.43","3.85","8.24","ColorNerd","colorhouse"
"9008","Bisque .02","Bisque-02","#F0EEE2","240","238","226","51.43","31.82","91.37","0.0","0.83","5.83","5.88","ColorNerd","colorhouse"
"9009","Bisque .03","Bisque-03","#E4E2D3","228","226","211","52.94","23.94","86.08","0.0","0.88","7.46","10.59","ColorNerd","colorhouse"
"9010","Air .01","Air-01","#FBF8E7","251","248","231","51.0","71.43","94.51","0.0","1.2","7.97","1.57","ColorNerd","colorhouse"
"9011","Air .02","Air-02","#ECE6D1","236","230","209","46.67","41.54","87.25","0.0","2.54","11.44","7.45","ColorNerd","colorhouse"
"9012","Air .03","Air-03","#E5DFC9","229","223","201","47.14","35.0","84.31","0.0","2.62","12.23","10.2","ColorNerd","colorhouse"
"9013","Bisque .05","Bisque-05","#D9D9C8","217","217","200","60.0","18.28","81.76","0.0","0.0","7.83","14.9","ColorNerd","colorhouse"
"9014","Air .05","Air-05","#E7FCED","231","252","237","137.14","77.78","94.71","8.33","0.0","5.95","1.18","ColorNerd","colorhouse"
"9015","Air .06","Air-06","#D7E2E5","215","226","229","192.86","21.21","87.06","6.11","1.31","0.0","10.2","ColorNerd","colorhouse"
"9016","Bisque .04","Bisque-04","#E0EDE6","224","237","230","147.69","26.53","90.39","5.49","0.0","2.95","7.06","ColorNerd","colorhouse"
"9017","Bisque .06","Bisque-06","#DAE2DD","218","226","221","142.5","12.12","87.06","3.54","0.0","2.21","11.37","ColorNerd","colorhouse"
"9018","Create .01","Create-01","#F8E7C9","248","231","201","38.3","77.05","88.04","0.0","6.85","18.95","2.75","ColorNerd","colorhouse"
"9019","Air .04","Air-04","#FFF5D1","255","245","209","46.96","100.0","90.98","0.0","3.92","18.04","0.0","ColorNerd","colorhouse"
"9020","Sprout .04","Sprout-04","#FEF2C2","254","242","194","48.0","96.77","87.84","0.0","4.72","23.62","0.39","ColorNerd","colorhouse"
"9021","Grain .01","Grain-01","#FFF0C2","255","240","194","45.25","100.0","88.04","0.0","5.88","23.92","0.0","ColorNerd","colorhouse"
"9022","Grain .02","Grain-02","#F4DEA8","244","222","168","42.63","77.55","80.78","0.0","9.02","31.15","4.31","ColorNerd","colorhouse"
"9023","Grain .03","Grain-03","#E9D19E","233","209","158","40.8","63.03","76.67","0.0","10.3","32.19","8.63","ColorNerd","colorhouse"
"9024","Grain .04","Grain-04","#E1C9A1","225","201","161","37.5","51.61","75.69","0.0","10.67","28.44","11.76","ColorNerd","colorhouse"
"9025","Grain .05","Grain-05","#DFBD87","223","189","135","36.82","57.89","70.2","0.0","15.25","39.46","12.55","ColorNerd","colorhouse"
"9026","Grain .06","Grain-06","#CA9F5E","202","159","94","36.11","50.47","58.04","0.0","21.29","53.47","20.78","ColorNerd","colorhouse"
"9027","Grain .07","Grain-07","#AF8A3A","175","138","58","41.03","50.21","45.69","0.0","21.14","66.86","31.37","ColorNerd","colorhouse"
"9028","Aspire .01","Aspire-01","#FBEFBB","251","239","187","48.75","88.89","85.88","0.0","4.78","25.5","1.57","ColorNerd","colorhouse"
"9029","Aspire .02","Aspire-02","#FAE39F","250","227","159","44.84","90.1","80.2","0.0","9.2","36.4","1.96","ColorNerd","colorhouse"
"9030","Aspire .03","Aspire-03","#EEDA9C","238","218","156","45.37","70.69","77.25","0.0","8.4","34.45","6.67","ColorNerd","colorhouse"
"9031","Aspire .04","Aspire-04","#F0D181","240","209","129","43.24","78.72","72.35","0.0","12.92","46.25","5.88","ColorNerd","colorhouse"
"9032","Aspire .05","Aspire-05","#EABE5B","234","190","91","41.54","77.3","63.73","0.0","18.8","61.11","8.24","ColorNerd","colorhouse"
"9033","Aspire .06","Aspire-06","#FFBA38","255","186","56","39.2","100.0","60.98","0.0","27.06","78.04","0.0","ColorNerd","colorhouse"
"9034","Beeswax .01","Beeswax-01","#EDD79A","237","215","154","44.1","69.75","76.67","0.0","9.28","35.02","7.06","ColorNerd","colorhouse"
"9035","Beeswax .02","Beeswax-02","#E9D095","233","208","149","42.14","65.62","74.9","0.0","10.73","36.05","8.63","ColorNerd","colorhouse"
"9036","Beeswax .03","Beeswax-03","#CEAA5B","206","170","91","41.22","53.99","58.24","0.0","17.48","55.83","19.22","ColorNerd","colorhouse"
"9037","Beeswax .04","Beeswax-04","#E0CD74","224","205","116","49.44","63.53","66.67","0.0","8.48","48.21","12.16","ColorNerd","colorhouse"
"9038","Beeswax .05","Beeswax-05","#C9B156","201","177","86","47.48","51.57","56.27","0.0","11.94","57.21","21.18","ColorNerd","colorhouse"
"9039","Beeswax .06","Beeswax-06","#B29445","178","148","69","43.49","44.13","48.43","0.0","16.85","61.24","30.2","ColorNerd","colorhouse"
"9040","Leaf .01","Leaf-01","#D2D1AD","210","209","173","58.38","29.13","75.1","0.0","0.48","17.62","17.65","ColorNerd","colorhouse"
"9041","Leaf .02","Leaf-02","#C1B98F","193","185","143","50.4","28.74","65.88","0.0","4.15","25.91","24.31","ColorNerd","colorhouse"
"9042","Leaf .03","Leaf-03","#C9CDBF","201","205","191","77.14","12.28","77.65","1.95","0.0","6.83","19.61","ColorNerd","colorhouse"
"9043","Glass .01","Glass-01","#D0D3B2","208","211","178","65.45","27.27","76.27","1.42","0.0","15.64","17.25","ColorNerd","colorhouse"
"9044","Glass .02","Glass-02","#C9CFB5","201","207","181","73.85","21.31","76.08","2.9","0.0","12.56","18.82","ColorNerd","colorhouse"
"9045","Glass .03","Glass-03","#B9BA99","185","186","153","61.82","19.3","66.47","0.54","0.0","17.74","27.06","ColorNerd","colorhouse"
"9046","Leaf .04","Leaf-04","#BCB472","188","180","114","53.51","35.58","59.22","0.0","4.26","39.36","26.27","ColorNerd","colorhouse"
"9047","Leaf .05","Leaf-05","#998F5B","153","143","91","50.32","25.41","47.84","0.0","6.54","40.52","40.0","ColorNerd","colorhouse"
"9048","Glass .04","Glass-04","#969873","150","152","115","63.24","15.23","52.35","1.32","0.0","24.34","40.39","ColorNerd","colorhouse"
"9049","Glass .05","Glass-05","#6E7E60","110","126","96","92.0","13.51","43.53","12.7","0.0","23.81","50.59","ColorNerd","colorhouse"
"9050","Glass .06","Glass-06","#696346","105","99","70","49.71","20.0","34.31","0.0","5.71","33.33","58.82","ColorNerd","colorhouse"
"9051","Leaf .06","Leaf-06","#CDD9C2","205","217","194","91.3","23.23","80.59","5.53","0.0","10.6","14.9","ColorNerd","colorhouse"
"9052","Sprout .05","Sprout-05","#DBE8A7","219","232","167","72.0","58.56","78.24","5.6","0.0","28.02","9.02","ColorNerd","colorhouse"
"9053","Leaf .07","Leaf-07","#DDE5A9","221","229","169","68.0","53.57","78.04","3.49","0.0","26.2","10.2","ColorNerd","colorhouse"
"9054","Thrive .01","Thrive-01","#D8DBAC","216","219","172","63.83","39.5","76.67","1.37","0.0","21.46","14.12","ColorNerd","colorhouse"
"9055","Thrive .02","Thrive-02","#CCCE7A","204","206","122","61.43","46.15","64.31","0.97","0.0","40.78","19.22","ColorNerd","colorhouse"
"9056","Petal .02","Petal-02","#C3D263","195","210","99","68.11","55.22","60.59","7.14","0.0","52.86","17.65","ColorNerd","colorhouse"
"9057","Thrive .03","Thrive-03","#B0C05D","176","192","93","69.7","44.0","55.88","8.33","0.0","51.56","24.71","ColorNerd","colorhouse"
"9058","Thrive .04","Thrive-04","#A2C8A1","162","200","161","118.46","26.17","70.78","19.0","0.0","19.5","21.57","ColorNerd","colorhouse"
"9059","Thrive .05","Thrive-05","#83AE82","131","174","130","118.64","21.36","59.61","24.71","0.0","25.29","31.76","ColorNerd","colorhouse"
"9060","Thrive .06","Thrive-06","#128458","18","132","88","156.84","76.0","29.41","86.36","0.0","33.33","48.24","ColorNerd","colorhouse"
"9061","Water .01","Water-01","#CFE9E0","207","233","224","159.23","37.14","86.27","11.16","0.0","3.86","8.63","ColorNerd","colorhouse"
"9062","Water .02","Water-02","#BCC8BC","188","200","188","120.0","9.84","76.08","6.0","0.0","6.0","21.57","ColorNerd","colorhouse"
"9063","Water .03","Water-03","#BBD0D2","187","208","210","185.22","20.35","77.84","10.95","0.95","0.0","17.65","ColorNerd","colorhouse"
"9064","Water .04","Water-04","#9FB4B4","159","180","180","180.0","12.28","66.47","11.67","0.0","0.0","29.41","ColorNerd","colorhouse"
"9065","Water .05","Water-05","#82979D","130","151","157","193.33","12.11","56.27","17.2","3.82","0.0","38.43","ColorNerd","colorhouse"
"9066","Wool .01","Wool-01","#C5D7D2","197","215","210","163.33","18.37","80.78","8.37","0.0","2.33","15.69","ColorNerd","colorhouse"
"9067","Wool .02","Wool-02","#C1CDCD","193","205","205","180.0","10.71","78.04","5.85","0.0","0.0","19.61","ColorNerd","colorhouse"
"9068","Wool .03","Wool-03","#A1ABAB","161","171","171","180.0","5.62","65.1","5.85","0.0","0.0","32.94","ColorNerd","colorhouse"
"9069","Water .06","Water-06","#9EAEA3","158","174","163","138.75","8.99","65.1","9.2","0.0","6.32","31.76","ColorNerd","colorhouse"
"9070","Water .07","Water-07","#A6CDC2","166","205","194","163.08","28.06","72.75","19.02","0.0","5.37","19.61","ColorNerd","colorhouse"
"9071","Sprout .01","Sprout-01","#ADE8E2","173","232","226","173.9","56.19","79.41","25.43","0.0","2.59","9.02","ColorNerd","colorhouse"
"9072","Sprout .03","Sprout-03","#CCDCE7","204","220","231","204.44","36.0","85.29","11.69","4.76","0.0","9.41","ColorNerd","colorhouse"
"9073","Dream .01","Dream-01","#CAE9EE","202","233","238","188.33","51.43","86.27","15.13","2.1","0.0","6.67","ColorNerd","colorhouse"
"9074","Dream .02","Dream-02","#BDE1DD","189","225","221","173.33","37.5","81.18","16.0","0.0","1.78","11.76","ColorNerd","colorhouse"
"9075","Dream .03","Dream-03","#B4CBD9","180","203","217","202.7","32.74","77.84","17.05","6.45","0.0","14.9","ColorNerd","colorhouse"
"9076","Dream .04","Dream-04","#9CC7C4","156","199","196","175.81","27.74","69.61","21.61","0.0","1.51","21.96","ColorNerd","colorhouse"
"9077","Dream .05","Dream-05","#18887C","24","136","124","173.57","70.0","31.37","82.35","0.0","8.82","46.67","ColorNerd","colorhouse"
"9078","Dream .06","Dream-06","#0E707B","14","112","123","186.06","79.56","26.86","88.62","8.94","0.0","51.76","ColorNerd","colorhouse"
"9079","Wool .05","Wool-05","#587675","88","118","117","178.0","14.56","40.39","25.42","0.0","0.85","53.73","ColorNerd","colorhouse"
"9080","Wool .06","Wool-06","#485761","72","87","97","204.0","14.79","33.14","25.77","10.31","0.0","61.96","ColorNerd","colorhouse"
"9081","Petal .05","Petal-05","#1F4992","31","73","146","218.09","64.97","34.71","78.77","50.0","0.0","42.75","ColorNerd","colorhouse"
"9082","Sprout .02","Sprout-02","#FCBA7D","252","186","125","28.82","95.49","73.92","0.0","26.19","50.4","1.18","ColorNerd","colorhouse"
"9083","Clay .01","Clay-01","#C49C6D","196","156","109","32.41","42.44","59.8","0.0","20.41","44.39","23.14","ColorNerd","colorhouse"
"9084","Clay .02","Clay-02","#CF8744","207","135","68","28.92","59.15","53.92","0.0","34.78","67.15","18.82","ColorNerd","colorhouse"
"9085","Clay .03","Clay-03","#A16941","161","105","65","25.0","42.48","44.31","0.0","34.78","59.63","36.86","ColorNerd","colorhouse"
"9086","Create .02","Create-02","#FF963A","255","150","58","28.02","100.0","61.37","0.0","41.18","77.25","0.0","ColorNerd","colorhouse"
"9087","Petal .01","Petal-01","#DF892A","223","137","42","31.49","73.88","51.96","0.0","38.57","81.17","12.55","ColorNerd","colorhouse"
"9088","Wood .01","Wood-01","#C68736","198","135","54","33.75","57.14","49.41","0.0","31.82","72.73","22.35","ColorNerd","colorhouse"
"9089","Wood .02","Wood-02","#B2683A","178","104","58","23.0","50.85","46.27","0.0","41.57","67.42","30.2","ColorNerd","colorhouse"
"9090","Create .03","Create-03","#C27136","194","113","54","25.29","56.45","48.63","0.0","41.75","72.16","23.92","ColorNerd","colorhouse"
"9091","Clay .04","Clay-04","#8C4D35","140","77","53","16.55","45.08","37.84","0.0","45.0","62.14","45.1","ColorNerd","colorhouse"
"9092","Clay .05","Clay-05","#752B22","117","43","34","6.51","54.97","29.61","0.0","63.25","70.94","54.12","ColorNerd","colorhouse"
"9093","Clay .07","Clay-07","#C27355","194","115","85","16.51","47.19","54.71","0.0","40.72","56.19","23.92","ColorNerd","colorhouse"
"9094","Petal .06","Petal-06","#BA4133","186","65","51","6.22","56.96","46.47","0.0","65.05","72.58","27.06","ColorNerd","colorhouse"
"9095","Create .04","Create-04","#B8352E","184","53","46","3.04","60.0","45.1","0.0","71.2","75.0","27.84","ColorNerd","colorhouse"
"9096","Create .05","Create-05","#942A35","148","42","53","353.77","55.79","37.25","0.0","71.62","64.19","41.96","ColorNerd","colorhouse"
"9097","Wood .03","Wood-03","#7C2A1C","124","42","28","8.75","63.16","29.8","0.0","66.13","77.42","51.37","ColorNerd","colorhouse"
"9098","Wood .04","Wood-04","#67272A","103","39","42","357.19","45.07","27.84","0.0","62.14","59.22","59.61","ColorNerd","colorhouse"
"9099","Petal .04","Petal-04","#AA3E71","170","62","113","331.67","46.55","45.49","0.0","63.53","33.53","33.33","ColorNerd","colorhouse"
"9100","Petal .03","Petal-03","#F1A1A6","241","161","166","356.25","74.07","78.82","0.0","33.2","31.12","5.49","ColorNerd","colorhouse"
"9101","Sprout .06","Sprout-06","#F7DDE0","247","221","224","353.08","61.9","91.76","0.0","10.53","9.31","3.14","ColorNerd","colorhouse"
"9102","Sprout .07","Sprout-07","#E3DBF2","227","219","242","260.87","46.94","90.39","6.2","9.5","0.0","5.1","ColorNerd","colorhouse"
"9103","Air .07","Air-07","#CEC4C5","206","196","197","354.0","9.26","78.82","0.0","4.85","4.37","19.22","ColorNerd","colorhouse"
"9104","Wool .04","Wool-04","#8B8A8C","139","138","140","270.0","0.86","54.51","0.71","1.43","0.0","45.1","ColorNerd","colorhouse"
"9105","Wood .05","Wood-05","#6F595D","111","89","93","349.09","11.0","39.22","0.0","19.82","16.22","56.47","ColorNerd","colorhouse"
"9106","Create .06","Create-06","#5E3D5A","94","61","90","307.27","21.29","30.39","0.0","35.11","4.26","63.14","ColorNerd","colorhouse"
"9107","Petal .07","Petal-07","#652F53","101","47","83","320.0","36.49","29.02","0.0","53.47","17.82","60.39","ColorNerd","colorhouse"
"9108","Stone .01","Stone-01","#E1D6BB","225","214","187","42.63","38.78","80.78","0.0","4.89","16.89","11.76","ColorNerd","colorhouse"
"9109","Stone .02","Stone-02","#C1A878","193","168","120","39.45","37.06","61.37","0.0","12.95","37.82","24.31","ColorNerd","colorhouse"
"9110","Metal .01","Metal-01","#CBC6B1","203","198","177","48.46","20.0","74.51","0.0","2.46","12.81","20.39","ColorNerd","colorhouse"
"9111","Metal .02","Metal-02","#BDB091","189","176","145","42.27","25.0","65.49","0.0","6.88","23.28","25.88","ColorNerd","colorhouse"
"9112","Stone .03","Stone-03","#A89D7E","168","157","126","44.29","19.44","57.65","0.0","6.55","25.0","34.12","ColorNerd","colorhouse"
"9113","Stone .04","Stone-04","#C9CABD","201","202","189","64.62","10.92","76.67","0.5","0.0","6.44","20.78","ColorNerd","colorhouse"
"9114","Metal .03","Metal-03","#B5B8B1","181","184","177","85.71","4.7","70.78","1.63","0.0","3.8","27.84","ColorNerd","colorhouse"
"9115","Metal .04","Metal-04","#9FA198","159","161","152","73.33","4.57","61.37","1.24","0.0","5.59","36.86","ColorNerd","colorhouse"
"9116","Stone .05","Stone-05","#AAA593","170","165","147","46.96","11.92","62.16","0.0","2.94","13.53","33.33","ColorNerd","colorhouse"
"9117","Stone .06","Stone-06","#746D5A","116","109","90","43.85","12.62","40.39","0.0","6.03","22.41","54.51","ColorNerd","colorhouse"
"9118","Stone .07","Stone-07","#848A86","132","138","134","140.0","2.5","52.94","4.35","0.0","2.9","45.88","ColorNerd","colorhouse"
"9119","Metal .05","Metal-05","#535654","83","86","84","140.0","1.78","33.14","3.49","0.0","2.33","66.27","ColorNerd","colorhouse"
"9120","Metal .06","Metal-06","#3F4647","63","70","71","187.5","5.97","26.27","11.27","1.41","0.0","72.16","ColorNerd","colorhouse"
"9121","Nourish .01","Nourish-01","#D5D3BF","213","211","191","54.55","20.75","79.22","0.0","0.94","10.33","16.47","ColorNerd","colorhouse"
"9122","Nourish .02","Nourish-02","#C5C2AF","197","194","175","51.82","15.94","72.94","0.0","1.52","11.17","22.75","ColorNerd","colorhouse"
"9123","Nourish .03","Nourish-03","#A5A392","165","163","146","53.68","9.55","60.98","0.0","1.21","11.52","35.29","ColorNerd","colorhouse"
"9124","Nourish .04","Nourish-04","#A3977F","163","151","127","40.0","16.36","56.86","0.0","7.36","22.09","36.08","ColorNerd","colorhouse"
"9125","Clay .06","Clay-06","#675544","103","85","68","29.14","20.47","33.53","0.0","17.48","33.98","59.61","ColorNerd","colorhouse"
"9126","Nourish .05","Nourish-05","#53453C","83","69","60","23.48","16.08","28.04","0.0","16.87","27.71","67.45","ColorNerd","colorhouse"
"9127","Wood .06","Wood-06","#312F24","49","47","36","50.77","15.29","16.67","0.0","4.08","26.53","80.78","ColorNerd","colorhouse"
"9128","Nourish .06","Nourish-06","#313536","49","53","54","192.0","4.85","20.2","9.26","1.85","0.0","78.82","ColorNerd","colorhouse"
