"Index","Color Name","ID","Hex","Red","Green","Blue","Hue","Saturation","Luminance","Cyan","Magenta","Yellow","Key","Source","System"
"9129","DIC 1s","1s","#FAD2BA","250","210","186","22.5","86.49","85.49","0.0","16.0","25.6","1.96","ColorNerd","dic"
"9130","DIC 2s","2s","#F6CCC2","246","204","194","11.54","74.29","86.27","0.0","17.07","21.14","3.53","ColorNerd","dic"
"9131","DIC 3s","3s","#F0C4D7","240","196","215","334.09","59.46","85.49","0.0","18.33","10.42","5.88","ColorNerd","dic"
"9132","DIC 4s*","4s","#FFAEB0","255","174","176","358.52","100.0","84.12","0.0","31.76","30.98","0.0","ColorNerd","dic"
"9133","DIC 5s*","5s","#FFC1AE","255","193","174","14.07","100.0","84.12","0.0","24.31","31.76","0.0","ColorNerd","dic"
"9134","DIC 6s*","6s","#FFB594","255","181","148","18.5","100.0","79.02","0.0","29.02","41.96","0.0","ColorNerd","dic"
"9135","DIC 7s","7s","#FDC594","253","197","148","28.0","96.33","78.63","0.0","22.13","41.5","0.78","ColorNerd","dic"
"9136","DIC 8s","8s","#FAD499","250","212","153","36.49","90.65","79.02","0.0","15.2","38.8","1.96","ColorNerd","dic"
"9137","DIC 9s","9s","#F6E293","246","226","147","47.88","84.62","77.06","0.0","8.13","40.24","3.53","ColorNerd","dic"
"9138","DIC 10s","10s","#DAE894","218","232","148","70.0","64.62","74.51","6.03","0.0","36.21","9.02","ColorNerd","dic"
"9139","DIC 11s*","11s","#CBE591","203","229","145","78.57","61.76","73.33","11.35","0.0","36.68","10.2","ColorNerd","dic"
"9140","DIC 12s*","12s","#C1DF8C","193","223","140","81.69","56.46","71.18","13.45","0.0","37.22","12.55","ColorNerd","dic"
"9141","DIC 13s*","13s","#ADDC99","173","220","153","102.09","48.91","73.14","21.36","0.0","30.45","13.73","ColorNerd","dic"
"9142","DIC 14s*","14s","#9BD79A","155","215","154","119.02","43.26","72.35","27.91","0.0","28.37","15.69","ColorNerd","dic"
"9143","DIC 15s*","15s","#6CDAB9","108","218","185","162.0","59.78","63.92","50.46","0.0","15.14","14.51","ColorNerd","dic"
"9144","DIC 16s*","16s","#74D9CE","116","217","206","173.47","57.06","65.29","46.54","0.0","5.07","14.9","ColorNerd","dic"
"9145","DIC 17s*","17s","#8BDBD9","139","219","217","178.5","52.63","70.2","36.53","0.0","0.91","14.12","ColorNerd","dic"
