"Index","Color Name","ID","Hex","Red","Green","Blue","Hue","Saturation","Luminance","Cyan","Magenta","Yellow","Key","Source","System"
"10409","Putnam Plum","DEA100","#8D4362","141","67","98","334.86","35.58","40.78","0.0","52.48","30.5","44.71","ColorNerd","dunn-edwards"
"10410","Fiery Fuchsia","DEA101","#B7386E","183","56","110","334.49","53.14","46.86","0.0","69.4","39.89","28.24","ColorNerd","dunn-edwards"
"10411","Crimson Strawberry","DEA102","#9F2D47","159","45","71","346.32","55.88","40.0","0.0","71.7","55.35","37.65","ColorNerd","dunn-edwards"
"10412","Striking Red","DEA103","#C03543","192","53","67","353.96","56.73","48.04","0.0","72.4","65.1","24.71","ColorNerd","dunn-edwards"
"10413","Red Icon","DEA104","#C93543","201","53","67","354.32","58.27","49.8","0.0","73.63","66.67","21.18","ColorNerd","dunn-edwards"
"10414","Cherry Bomb","DEA105","#B73D3F","183","61","63","359.02","50.0","47.84","0.0","66.67","65.57","28.24","ColorNerd","dunn-edwards"
"10415","Red Contrast","DEA106","#B33234","179","50","52","359.07","56.33","44.9","0.0","72.07","70.95","29.8","ColorNerd","dunn-edwards"
"10416","Hot Jazz","DEA107","#BC3033","188","48","51","358.71","59.32","46.27","0.0","74.47","72.87","26.27","ColorNerd","dunn-edwards"
"10417","Red Power","DEA108","#D63D3B","214","61","59","0.77","65.4","53.53","0.0","71.5","72.43","16.08","ColorNerd","dunn-edwards"
"10418","Bonfire Flame","DEA109","#CE4E35","206","78","53","9.8","60.96","50.78","0.0","62.14","74.27","19.22","ColorNerd","dunn-edwards"
"10419","Untamed Orange","DEA110","#DE5730","222","87","48","13.45","72.5","52.94","0.0","60.81","78.38","12.94","ColorNerd","dunn-edwards"
"10420","Burning Tomato","DEA111","#EB5030","235","80","48","10.27","82.38","55.49","0.0","65.96","79.57","7.84","ColorNerd","dunn-edwards"
"10421","Exhuberant Orange","DEA112","#F0622F","240","98","47","15.85","86.55","56.27","0.0","59.17","80.42","5.88","ColorNerd","dunn-edwards"
"10422","Orange Burst","DEA113","#FF6E3A","255","110","58","15.84","100.0","61.37","0.0","56.86","77.25","0.0","ColorNerd","dunn-edwards"
"10423","Instant Orange","DEA114","#FF8D28","255","141","40","28.19","100.0","57.84","0.0","44.71","84.31","0.0","ColorNerd","dunn-edwards"
"10424","Orange Jewel","DEA115","#FF9731","255","151","49","29.71","100.0","59.61","0.0","40.78","80.78","0.0","ColorNerd","dunn-edwards"
"10425","Flash of Orange","DEA116","#FFAA00","255","170","0","40.0","100.0","50.0","0.0","33.33","100.0","0.0","ColorNerd","dunn-edwards"
"10426","Confident Yellow","DEA117","#FFCC13","255","204","19","47.03","100.0","53.73","0.0","20.0","92.55","0.0","ColorNerd","dunn-edwards"
"10427","Yellow Summer","DEA118","#F9B500","249","181","0","43.61","100.0","48.82","0.0","27.31","100.0","2.35","ColorNerd","dunn-edwards"
"10428","Electric Glow","DEA119","#FFD100","255","209","0","49.18","100.0","50.0","0.0","18.04","100.0","0.0","ColorNerd","dunn-edwards"
"10429","Goldenrod","DEA120","#FDCB18","253","203","24","46.9","98.28","54.31","0.0","19.76","90.51","0.78","ColorNerd","dunn-edwards"
"10430","Golden Lock","DEA121","#F5BC1D","245","188","29","44.17","91.53","53.73","0.0","23.27","88.16","3.92","ColorNerd","dunn-edwards"
"10431","Brassy","DEA122","#D5AB2C","213","171","44","45.09","66.8","50.39","0.0","19.72","79.34","16.47","ColorNerd","dunn-edwards"
"10432","Chartreuse","DEA123","#DAD000","218","208","0","57.25","100.0","42.75","0.0","4.59","100.0","14.51","ColorNerd","dunn-edwards"
"10433","Lime Twist","DEA124","#C6D624","198","214","36","65.39","71.2","49.02","7.48","0.0","83.18","16.08","ColorNerd","dunn-edwards"
"10434","In the Tropics","DEA125","#A3BC3A","163","188","58","71.54","52.85","48.24","13.3","0.0","69.15","26.27","ColorNerd","dunn-edwards"
"10435","Leprechaun","DEA126","#6CB037","108","176","55","93.72","52.38","45.29","38.64","0.0","68.75","30.98","ColorNerd","dunn-edwards"
"10436","Wild Forest","DEA127","#38914A","56","145","74","132.13","44.28","39.41","61.38","0.0","48.97","43.14","ColorNerd","dunn-edwards"
"10437","Spring Juniper","DEA128","#4A754A","74","117","74","120.0","22.51","37.45","36.75","0.0","36.75","54.12","ColorNerd","dunn-edwards"
"10438","Charmed Green","DEA129","#007F3A","0","127","58","147.4","100.0","24.9","100.0","0.0","54.33","50.2","ColorNerd","dunn-edwards"
"10439","Lucky Clover","DEA130","#006940","0","105","64","156.57","100.0","20.59","100.0","0.0","39.05","58.82","ColorNerd","dunn-edwards"
"10440","Teal Waters","DEA131","#007765","0","119","101","170.92","100.0","23.33","100.0","0.0","15.13","53.33","ColorNerd","dunn-edwards"
"10441","Ocean Oasis","DEA132","#006C68","0","108","104","177.78","100.0","21.18","100.0","0.0","3.7","57.65","ColorNerd","dunn-edwards"
"10442","Rare Turquoise","DEA133","#00748E","0","116","142","190.99","100.0","27.84","100.0","18.31","0.0","44.31","ColorNerd","dunn-edwards"
"10443","Aquatic","DEA134","#006477","0","100","119","189.58","100.0","23.33","100.0","15.97","0.0","53.33","ColorNerd","dunn-edwards"
"10444","Deep Ocean","DEA135","#2A4B5F","42","75","95","202.64","38.69","26.86","55.79","21.05","0.0","62.75","ColorNerd","dunn-edwards"
"10445","Beautiful Blue","DEA136","#186DB6","24","109","182","207.72","76.7","40.39","86.81","40.11","0.0","28.63","ColorNerd","dunn-edwards"
"10446","Deep Sapphire","DEA137","#1D4E8F","29","78","143","214.21","66.28","33.73","79.72","45.45","0.0","43.92","ColorNerd","dunn-edwards"
"10447","Indigo Night","DEA138","#324680","50","70","128","224.62","43.82","34.9","60.94","45.31","0.0","49.8","ColorNerd","dunn-edwards"
"10448","Nautical","DEA139","#2E4A7D","46","74","125","218.73","46.2","33.53","63.2","40.8","0.0","50.98","ColorNerd","dunn-edwards"
"10449","Cobalt","DEA140","#3C4378","60","67","120","233.0","33.33","35.29","50.0","44.17","0.0","52.94","ColorNerd","dunn-edwards"
"10450","Grand Purple","DEA141","#534778","83","71","120","254.69","25.65","37.45","30.83","40.83","0.0","52.94","ColorNerd","dunn-edwards"
"10451","Violet Majesty","DEA142","#644982","100","73","130","268.42","28.08","39.8","23.08","43.85","0.0","49.02","ColorNerd","dunn-edwards"
"10452","Purple Odyssey","DEA143","#643E65","100","62","101","298.46","23.93","31.96","0.99","38.61","0.0","60.39","ColorNerd","dunn-edwards"
"10453","Passionate Plum","DEA144","#753A58","117","58","88","329.49","33.71","34.31","0.0","50.43","24.79","54.12","ColorNerd","dunn-edwards"
"10454","Wine Stain","DEA145","#69444F","105","68","79","342.16","21.39","33.92","0.0","35.24","24.76","58.82","ColorNerd","dunn-edwards"
"10455","Scarlet Apple","DEA146","#922E4A","146","46","74","343.2","52.08","37.65","0.0","68.49","49.32","42.75","ColorNerd","dunn-edwards"
"10456","Garnet Evening","DEA147","#763B42","118","59","66","352.88","33.33","34.71","0.0","50.0","44.07","53.73","ColorNerd","dunn-edwards"
"10457","Sunken Ship","DEA148","#6B443D","107","68","61","9.13","27.38","32.94","0.0","36.45","42.99","58.04","ColorNerd","dunn-edwards"
