"Index","Color Name","ID","Hex","Red","Green","Blue","Hue","Saturation","Luminance","Cyan","Magenta","Yellow","Key","Source","System"
"12105","Child of Heaven","DCP-0004","#F0ECE1","240","236","225","44.0","33.33","91.18","0.0","1.67","6.25","5.88","ColorNerd","dutch"
"12106","Alchemy","DCP-0251","#EED9BA","238","217","186","35.77","60.47","83.14","0.0","8.82","21.85","6.67","ColorNerd","dutch"
"12107","Cheddar Corn","DCP-1001","#F5DBC2","245","219","194","29.41","71.83","86.08","0.0","10.61","20.82","3.92","ColorNerd","dutch"
"12108","Pink Satin","DCP-1057","#F4D0C2","244","208","194","16.8","69.44","85.88","0.0","14.75","20.49","4.31","ColorNerd","dutch"
"12109","Bedtime Story","DCP-1009","#E3BEA4","227","190","164","24.76","52.94","76.67","0.0","16.3","27.75","10.98","ColorNerd","dutch"
"12110","Lady Nicole","DCP-0030","#DDDDD5","221","221","213","60.0","10.53","85.1","0.0","0.0","3.62","13.33","ColorNerd","dutch"
"12111","Perspective","DCP-0749","#C8D4BE","200","212","190","92.73","20.37","78.82","5.66","0.0","10.38","16.86","ColorNerd","dutch"
"12112","Creamy Mint","DCP-0755","#D4E2C8","212","226","200","92.31","30.95","83.53","6.19","0.0","11.5","11.37","ColorNerd","dutch"
"12113","Wonder Woods","DCP-0772","#B9D696","185","214","150","87.19","43.84","71.37","13.55","0.0","29.91","16.08","ColorNerd","dutch"
"12114","Perrenial Garden","DCP-0759","#9AB68E","154","182","142","102.0","21.51","63.53","15.38","0.0","21.98","28.63","ColorNerd","dutch"
"12115","Stardust Ballroom","DCP-1308","#E0D7DC","224","215","220","326.67","12.68","86.08","0.0","4.02","1.79","12.16","ColorNerd","dutch"
"12116","So Dainty","DCP-1309","#D4CAD3","212","202","211","306.0","10.42","81.18","0.0","4.72","0.47","16.86","ColorNerd","dutch"
"12117","Calamities","DCP-1315","#CDCDD5","205","205","213","240.0","8.7","81.96","3.76","3.76","0.0","16.47","ColorNerd","dutch"
"12118","Savoy","DCP-1316","#C8C8D0","200","200","208","240.0","7.84","80.0","3.85","3.85","0.0","18.43","ColorNerd","dutch"
"12119","Dusky Mood","DCP-1318","#A6ACB8","166","172","184","220.0","11.25","68.63","9.78","6.52","0.0","27.84","ColorNerd","dutch"
"12120","Dove White","DCP-0018","#E9E6DF","233","230","223","42.0","18.52","89.41","0.0","1.29","4.29","8.63","ColorNerd","dutch"
"12121","Florito","DCP-0371","#C9CBBE","201","203","190","69.23","11.11","77.06","0.99","0.0","6.4","20.39","ColorNerd","dutch"
