"Index","Color Name","ID","Hex","Red","Green","Blue","Hue","Saturation","Luminance","Cyan","Magenta","Yellow","Key","Source","System"
"12206","All White","2005","#FBF8F4","251","248","244","34.29","46.67","97.06","0.0","1.2","2.79","1.57","ColorNerd","farrow-ball"
"12207","Wevet","273","#EEE9E7","238","233","231","17.14","17.07","91.96","0.0","2.1","2.94","6.67","ColorNerd","farrow-ball"
"12208","Wimborne White","239","#F7F3E8","247","243","232","44.0","48.39","93.92","0.0","1.62","6.07","3.14","ColorNerd","farrow-ball"
"12209","Pointing","2003","#F7F1E3","247","241","227","42.0","55.56","92.94","0.0","2.43","8.1","3.14","ColorNerd","farrow-ball"
"12210","James White","2010","#EDE9D8","237","233","216","48.57","36.84","88.82","0.0","1.69","8.86","7.06","ColorNerd","farrow-ball"
"12211","Stony Ground","211","#CEC1AD","206","193","173","36.36","25.19","74.31","0.0","6.31","16.02","19.22","ColorNerd","farrow-ball"
"12212","White Tie","2002","#F5ECD9","245","236","217","40.71","58.33","90.59","0.0","3.67","11.43","3.92","ColorNerd","farrow-ball"
"12213","New White","59","#F5E8D0","245","232","208","38.92","64.91","88.82","0.0","5.31","15.1","3.92","ColorNerd","farrow-ball"
"12214","Matchstick","2013","#E4D5BC","228","213","188","37.5","42.55","81.57","0.0","6.58","17.54","10.59","ColorNerd","farrow-ball"
"12215","String","8","#DDCDAE","221","205","174","39.57","40.87","77.45","0.0","7.24","21.27","13.33","ColorNerd","farrow-ball"
"12216","Savage Ground","213","#D8C4A8","216","196","168","35.0","38.1","75.29","0.0","9.26","22.22","15.29","ColorNerd","farrow-ball"
"12217","Cord","16","#D6C39E","214","195","158","39.64","40.58","72.94","0.0","8.88","26.17","16.08","ColorNerd","farrow-ball"
"12218","Slipper Satin","2004","#E8E0D1","232","224","209","39.13","33.33","86.47","0.0","3.45","9.91","9.02","ColorNerd","farrow-ball"
"12219","Lime White","1","#E8DEC9","232","222","201","40.65","40.26","84.9","0.0","4.31","13.36","9.02","ColorNerd","farrow-ball"
"12220","Off-White","3","#E0D5BE","224","213","190","40.59","35.42","81.18","0.0","4.91","15.18","12.16","ColorNerd","farrow-ball"
"12221","Old White","4","#CFC3AD","207","195","173","38.82","26.15","74.51","0.0","5.8","16.43","18.82","ColorNerd","farrow-ball"
