"Index","Color Name","ID","Hex","Red","Green","Blue","Hue","Saturation","Luminance","Cyan","Magenta","Yellow","Key","Source","System"
"12650","Hint Of Vanilla","1","#EEE8DC","238","232","220","40.0","34.62","89.8","0.0","2.52","7.56","6.67","ColorNerd","hl"
"12651","Elusive White","2","#E8E3D6","232","227","214","43.33","28.12","87.45","0.0","2.16","7.76","9.02","ColorNerd","hl"
"12652","Nilla Vanilla","3","#F1EBE0","241","235","224","38.82","37.78","91.18","0.0","2.49","7.05","5.49","ColorNerd","hl"
"12653","Child Of Heaven","4","#F1EBE0","241","235","224","38.82","37.78","91.18","0.0","2.49","7.05","5.49","ColorNerd","hl"
"12654","Kiara","5","#F5ECDC","245","236","220","38.4","55.56","91.18","0.0","3.67","10.2","3.92","ColorNerd","hl"
"12655","Little Dove","6","#EBE0CE","235","224","206","37.24","42.03","86.47","0.0","4.68","12.34","7.84","ColorNerd","hl"
"12656","Cotton Ball","7","#F5EFDE","245","239","222","44.35","53.49","91.57","0.0","2.45","9.39","3.92","ColorNerd","hl"
"12657","Casa Blanca","8","#F4ECD8","244","236","216","42.86","56.0","90.2","0.0","3.28","11.48","4.31","ColorNerd","hl"
"12658","Chapel Wall","9","#F3EAD7","243","234","215","40.71","53.85","89.8","0.0","3.7","11.52","4.71","ColorNerd","hl"
"12659","Petticoat","10","#EFE5CE","239","229","206","41.82","50.77","87.25","0.0","4.18","13.81","6.27","ColorNerd","hl"
"12660","Sugar Dust","11","#F8F6ED","248","246","237","49.09","44.0","95.1","0.0","0.81","4.44","2.75","ColorNerd","hl"
"12661","Bunny Cake","12","#F5EFE2","245","239","226","41.05","48.72","92.35","0.0","2.45","7.76","3.92","ColorNerd","hl"
"12662","Sphere","13","#F2E8CC","242","232","204","44.21","59.37","87.45","0.0","4.13","15.7","5.1","ColorNerd","hl"
"12663","Twill","14","#F0E8D3","240","232","211","43.45","49.15","88.43","0.0","3.33","12.08","5.88","ColorNerd","hl"
"12664","White Glove","15","#F9F4E3","249","244","227","46.36","64.71","93.33","0.0","2.01","8.84","2.35","ColorNerd","hl"
"12665","Pumice Stone","16","#F7F1DF","247","241","223","45.0","60.0","92.16","0.0","2.43","9.72","3.14","ColorNerd","hl"
"12666","Luna Moon","17","#ECEAE1","236","234","225","49.09","22.45","90.39","0.0","0.85","4.66","7.45","ColorNerd","hl"
"12667","Dove White","18","#E6E2D8","230","226","216","42.86","21.88","87.45","0.0","1.74","6.09","9.8","ColorNerd","hl"
"12668","Mystic Fog","19","#EAE9E1","234","233","225","53.33","17.65","90.0","0.0","0.43","3.85","8.24","ColorNerd","hl"
"12669","Bonaire","20","#E6E2D7","230","226","215","44.0","23.08","87.25","0.0","1.74","6.52","9.8","ColorNerd","hl"
"12670","Barely White","21","#E1E3DD","225","227","221","80.0","9.68","87.84","0.88","0.0","2.64","10.98","ColorNerd","hl"
"12671","White Kitten","22","#DFDFDB","223","223","219","60.0","5.88","86.67","0.0","0.0","1.79","12.55","ColorNerd","hl"
"12672","Shell Tint","23","#ECF0E9","236","240","233","94.29","18.92","92.75","1.67","0.0","2.92","5.88","ColorNerd","hl"
"12673","Just About White","24","#E8E8E0","232","232","224","60.0","14.81","89.41","0.0","0.0","3.45","9.02","ColorNerd","hl"
"12674","Prismatic Pearl","25","#EAE8DD","234","232","221","50.77","23.64","89.22","0.0","0.85","5.56","8.24","ColorNerd","hl"
"12675","Moon Drop","26","#DDD5C9","221","213","201","36.0","22.73","82.75","0.0","3.62","9.05","13.33","ColorNerd","hl"
"12676","White Fence","27","#E8E4D9","232","228","217","44.0","24.59","88.04","0.0","1.72","6.47","9.02","ColorNerd","hl"
"12677","Bannister White","28","#E1E0D6","225","224","214","54.55","15.49","86.08","0.0","0.44","4.89","11.76","ColorNerd","hl"
"12678","Cherish Is The Word","29","#E6E4DA","230","228","218","50.0","19.35","87.84","0.0","0.87","5.22","9.8","ColorNerd","hl"
"12679","Lady Nicole","30","#D6D6CD","214","214","205","60.0","9.89","82.16","0.0","0.0","4.21","16.08","ColorNerd","hl"
"12680","Italian Ice","31","#E2E0D3","226","224","211","52.0","20.55","85.69","0.0","0.88","6.64","11.37","ColorNerd","hl"
"12681","Ice Dream","32","#EAEBE1","234","235","225","66.0","20.0","90.2","0.43","0.0","4.26","7.84","ColorNerd","hl"
"12682","Chafed Wheat","33","#F6E0CF","246","224","207","26.15","68.42","88.82","0.0","8.94","15.85","3.53","ColorNerd","hl"
"12683","Here Comes The Sun","34","#F1D0BE","241","208","190","21.18","64.56","84.51","0.0","13.69","21.16","5.49","ColorNerd","hl"
"12684","Weekend Retreat","35","#E9C2AD","233","194","173","21.0","57.69","79.61","0.0","16.74","25.75","8.63","ColorNerd","hl"
"12685","Fortune's Prize","36","#DAA994","218","169","148","18.0","48.61","71.76","0.0","22.48","32.11","14.51","ColorNerd","hl"
"12686","Money Tree","37","#C9937A","201","147","122","18.99","42.25","63.33","0.0","26.87","39.3","21.18","ColorNerd","hl"
"12687","Autumn's Hill","38","#BA7A61","186","122","97","16.85","39.21","55.49","0.0","34.41","47.85","27.06","ColorNerd","hl"
"12688","Mandalay Road","39","#A05F45","160","95","69","17.14","39.74","44.9","0.0","40.62","56.88","37.25","ColorNerd","hl"
"12689","Antique Candle Light","40","#F4E1D6","244","225","214","22.0","57.69","89.8","0.0","7.79","12.3","4.31","ColorNerd","hl"
"12690","Chinese Cherry","41","#F1D7CB","241","215","203","18.95","57.58","87.06","0.0","10.79","15.77","5.49","ColorNerd","hl"
"12691","Antoinette Pink","42","#E7C2B4","231","194","180","16.47","51.52","80.59","0.0","16.02","22.08","9.41","ColorNerd","hl"
"12692","Angel Breath","43","#DCAF9F","220","175","159","15.74","46.56","74.31","0.0","20.45","27.73","13.73","ColorNerd","hl"
"12693","Calliope","44","#C89A8D","200","154","141","13.22","34.91","66.86","0.0","23.0","29.5","21.57","ColorNerd","hl"
"12694","Sizzling Hot","45","#A36956","163","105","86","14.81","30.92","48.82","0.0","35.58","47.24","36.08","ColorNerd","hl"
"12695","Valentino","46","#7F4738","127","71","56","12.68","38.8","35.88","0.0","44.09","55.91","50.2","ColorNerd","hl"
"12696","Sand Island","47","#F4D1C2","244","209","194","18.0","69.44","85.88","0.0","14.34","20.49","4.31","ColorNerd","hl"
"12697","Embrace","48","#E8B8A7","232","184","167","15.69","58.56","78.24","0.0","20.69","28.02","9.02","ColorNerd","hl"
"12698","Auburn Wave","49","#D8A394","216","163","148","13.24","46.58","71.37","0.0","24.54","31.48","15.29","ColorNerd","hl"
"12699","Simmering Ridge","50","#CB9281","203","146","129","13.78","41.57","65.1","0.0","28.08","36.45","20.39","ColorNerd","hl"
"12700","Caramel Candy","51","#B3715D","179","113","93","13.95","36.13","53.33","0.0","36.87","48.04","29.8","ColorNerd","hl"
"12701","Spiced Carrot","52","#A4624C","164","98","76","15.0","36.67","47.06","0.0","40.24","53.66","35.69","ColorNerd","hl"
"12702","Remaining Embers","53","#8A4C38","138","76","56","14.63","42.27","38.04","0.0","44.93","59.42","45.88","ColorNerd","hl"
"12703","Wink Pink","54","#F8E8DF","248","232","223","21.6","64.1","92.35","0.0","6.45","10.08","2.75","ColorNerd","hl"
"12704","Strawberry Whip","55","#F9D7CD","249","215","205","13.64","78.57","89.02","0.0","13.65","17.67","2.35","ColorNerd","hl"
"12705","Dainty Debutante","56","#F4BDB3","244","189","179","9.23","74.71","82.94","0.0","22.54","26.64","4.31","ColorNerd","hl"
"12706","Marble Pink","57","#D28279","210","130","121","6.07","49.72","64.9","0.0","38.1","42.38","17.65","ColorNerd","hl"
"12707","Angelic Choir","58","#B8665C","184","102","92","6.52","39.32","54.12","0.0","44.57","50.0","27.84","ColorNerd","hl"
"12708","Quintessential","59","#8C4F46","140","79","70","7.71","33.33","41.18","0.0","43.57","50.0","45.1","ColorNerd","hl"
"12709","Parlor Rose","60","#893E39","137","62","57","3.75","41.24","38.04","0.0","54.74","58.39","46.27","ColorNerd","hl"
"12710","Pinkathon","61","#F1BDBA","241","189","186","3.27","66.27","83.73","0.0","21.58","22.82","5.49","ColorNerd","hl"
"12711","Blooming Perfect","62","#D89696","216","150","150","0.0","45.83","71.76","0.0","30.56","30.56","15.29","ColorNerd","hl"
"12712","Impatient Heart","63","#C47D7C","196","125","124","0.83","37.89","62.75","0.0","36.22","36.73","23.14","ColorNerd","hl"
"12713","Lord Baltimore","64","#B76764","183","103","100","2.17","36.56","55.49","0.0","43.72","45.36","28.24","ColorNerd","hl"
"12714","Poppy Prose","65","#AE605B","174","96","91","3.61","33.88","51.96","0.0","44.83","47.7","31.76","ColorNerd","hl"
"12715","Wild Rose","66","#90343A","144","52","58","356.09","46.94","38.43","0.0","63.89","59.72","43.53","ColorNerd","hl"
"12716","Lover's Kiss","67","#8F3B3D","143","59","61","358.57","41.58","39.61","0.0","58.74","57.34","43.92","ColorNerd","hl"
"12717","Summer Blush","68","#F7DFD7","247","223","215","15.0","66.67","90.59","0.0","9.72","12.96","3.14","ColorNerd","hl"
"12718","Empire Rose","69","#E7C5C1","231","197","193","6.32","44.19","83.14","0.0","14.72","16.45","9.41","ColorNerd","hl"
"12719","O Fortuna","70","#E1B8B5","225","184","181","4.09","42.31","79.61","0.0","18.22","19.56","11.76","ColorNerd","hl"
"12720","Ruby Eye","71","#D0A2A0","208","162","160","2.5","33.8","72.16","0.0","22.12","23.08","18.43","ColorNerd","hl"
"12721","Notice Me","72","#BA8686","186","134","134","0.0","27.37","62.75","0.0","27.96","27.96","27.06","ColorNerd","hl"
"12722","Corazon","73","#9D6663","157","102","99","3.1","22.83","50.2","0.0","35.03","36.94","38.43","ColorNerd","hl"
"12723","Emperor's Robe","74","#7B4940","123","73","64","9.15","31.55","36.67","0.0","40.65","47.97","51.76","ColorNerd","hl"
"12724","Pink Duet","75","#F8E7E4","248","231","228","9.0","58.82","93.33","0.0","6.85","8.06","2.75","ColorNerd","hl"
"12725","Fantastic Pink","76","#E6C8C9","230","200","201","358.0","37.5","84.31","0.0","13.04","12.61","9.8","ColorNerd","hl"
"12726","Pink Softness","77","#DEB8BC","222","184","188","353.68","36.54","79.61","0.0","17.12","15.32","12.94","ColorNerd","hl"
"12727","Be Mine","78","#C99EA3","201","158","163","353.02","28.48","70.39","0.0","21.39","18.91","21.18","ColorNerd","hl"
"12728","Prophetess","79","#BE8B8F","190","139","143","355.29","28.18","64.51","0.0","26.84","24.74","25.49","ColorNerd","hl"
"12729","Abra Cadabra","80","#966165","150","97","101","355.47","21.46","48.43","0.0","35.33","32.67","41.18","ColorNerd","hl"
"12730","Berry Crush","81","#73413E","115","65","62","3.4","29.94","34.71","0.0","43.48","46.09","54.9","ColorNerd","hl"
"12731","Rose Shadow","82","#F4D6D6","244","214","214","0.0","57.69","89.8","0.0","12.3","12.3","4.31","ColorNerd","hl"
"12732","Pink Coral","83","#ECCACC","236","202","204","356.47","47.22","85.88","0.0","14.41","13.56","7.45","ColorNerd","hl"
"12733","Quiet Pink","84","#E6BCC0","230","188","192","354.29","45.65","81.96","0.0","18.26","16.52","9.8","ColorNerd","hl"
"12734","Fragrant Satchel","85","#D9A2AA","217","162","170","351.27","41.98","74.31","0.0","25.35","21.66","14.9","ColorNerd","hl"
"12735","King's Cloak","86","#C48692","196","134","146","348.39","34.44","64.71","0.0","31.63","25.51","23.14","ColorNerd","hl"
"12736","Cinnapink","87","#A6646F","166","100","111","350.0","27.05","52.16","0.0","39.76","33.13","34.9","ColorNerd","hl"
"12737","Casandra","88","#7C4549","124","69","73","355.64","28.5","37.84","0.0","44.35","41.13","51.37","ColorNerd","hl"
"12738","Star Of Morning","89","#EBBBBE","235","187","190","356.25","54.55","82.75","0.0","20.43","19.15","7.84","ColorNerd","hl"
"12739","Moon Goddess","90","#D8A7AE","216","167","174","351.43","38.58","75.1","0.0","22.69","19.44","15.29","ColorNerd","hl"
"12740","Garnet Shadow","91","#C89095","200","144","149","354.64","33.73","67.45","0.0","28.0","25.5","21.57","ColorNerd","hl"
"12741","Fresh Day","92","#AF7074","175","112","116","356.19","28.25","56.27","0.0","36.0","33.71","31.37","ColorNerd","hl"
