"Index","Color Name","ID","Hex","Red","Green","Blue","Hue","Saturation","Luminance","Cyan","Magenta","Yellow","Key","Source","System"
"14119","IKEA001","1","#F8F1E6","248","241","230","36.67","56.25","93.73","0.0","2.82","7.26","2.75","ColorNerd","ikea"
"14120","IKEA002","2","#EFE8E1","239","232","225","30.0","30.43","90.98","0.0","2.93","5.86","6.27","ColorNerd","ikea"
"14121","IKEA003","3","#F9F2EC","249","242","236","27.69","52.0","95.1","0.0","2.81","5.22","2.35","ColorNerd","ikea"
"14122","IKEA004","4","#F7F2EB","247","242","235","35.0","42.86","94.51","0.0","2.02","4.86","3.14","ColorNerd","ikea"
"14123","IKEA005","5","#EDE8E0","237","232","224","36.92","26.53","90.39","0.0","2.11","5.49","7.06","ColorNerd","ikea"
"14124","IKEA006","6","#EEE7DD","238","231","221","35.29","33.33","90.0","0.0","2.94","7.14","6.67","ColorNerd","ikea"
"14125","IKEA007","7","#F4F0E5","244","240","229","44.0","40.54","92.75","0.0","1.64","6.15","4.31","ColorNerd","ikea"
"14126","IKEA008","8","#EFE4D3","239","228","211","36.43","46.67","88.24","0.0","4.6","11.72","6.27","ColorNerd","ikea"
"14127","IKEA009","9","#F8F3E9","248","243","233","40.0","51.72","94.31","0.0","2.02","6.05","2.75","ColorNerd","ikea"
"14128","IKEA010","10","#F3ECDE","243","236","222","40.0","46.67","91.18","0.0","2.88","8.64","4.71","ColorNerd","ikea"
"14129","IKEA011","11","#F6F3E7","246","243","231","48.0","45.45","93.53","0.0","1.22","6.1","3.53","ColorNerd","ikea"
"14130","IKEA012","12","#EEE7D3","238","231","211","44.44","44.26","88.04","0.0","2.94","11.34","6.67","ColorNerd","ikea"
"14131","IKEA013","13","#F4F2E5","244","242","229","52.0","40.54","92.75","0.0","0.82","6.15","4.31","ColorNerd","ikea"
"14132","IKEA014","14","#EEEADA","238","234","218","48.0","37.04","89.41","0.0","1.68","8.4","6.67","ColorNerd","ikea"
"14133","IKEA015 IKEA5","15-ikea-5","#F8F7E9","248","247","233","56.0","51.72","94.31","0.0","0.4","6.05","2.75","ColorNerd","ikea"
"14134","IKEA016","16","#F4F2E9","244","242","233","49.09","33.33","93.53","0.0","0.82","4.51","4.31","ColorNerd","ikea"
"14135","IKEA017","17","#EEF3E7","238","243","231","85.0","33.33","92.94","2.06","0.0","4.94","4.71","ColorNerd","ikea"
"14136","IKEA018","18","#EAEADF","234","234","223","60.0","20.75","89.61","0.0","0.0","4.7","8.24","ColorNerd","ikea"
"14137","IKEA019","19","#EFF5F0","239","245","240","130.0","23.08","94.9","2.45","0.0","2.04","3.92","ColorNerd","ikea"
