"Index","Color Name","ID","Hex","Red","Green","Blue","Hue","Saturation","Luminance","Cyan","Magenta","Yellow","Key","Source","System"
"14319","Plumeria Lei","LH110","#C9709E","201","112","158","328.99","45.18","61.37","0.0","44.28","21.39","21.18","ColorNerd","kilz"
"14320","Potpourri","LH120","#934962","147","73","98","339.73","33.64","43.14","0.0","50.34","33.33","42.35","ColorNerd","kilz"
"14321","Satin Flower","LA280-01","#812A51","129","42","81","333.1","50.88","33.53","0.0","67.44","37.21","49.41","ColorNerd","kilz"
"14322","Raspberry Macaroon","LA280-02","#6F304C","111","48","76","333.33","39.62","31.18","0.0","56.76","31.53","56.47","ColorNerd","kilz"
"14323","Sincerity","LA260-01","#D593A5","213","147","165","343.64","44.0","70.59","0.0","30.99","22.54","16.47","ColorNerd","kilz"
"14324","Peaking Pink","LA260-02","#B16D85","177","109","133","338.82","30.36","56.08","0.0","38.42","24.86","30.59","ColorNerd","kilz"
"14325","Cranberry Spice","LA290-01","#7E4E5E","126","78","94","340.0","23.53","40.0","0.0","38.1","25.4","50.59","ColorNerd","kilz"
"14326","Aged To Perfection","LA290-02","#6B4157","107","65","87","328.57","24.42","33.73","0.0","39.25","18.69","58.04","ColorNerd","kilz"
"14327","Vintage Lamp","LA220-01","#E9E2E2","233","226","226","0.0","13.73","90.0","0.0","3.0","3.0","8.63","ColorNerd","kilz"
"14328","Sweet Blush","LA230-01","#EDD1D1","237","209","209","0.0","43.75","87.45","0.0","11.81","11.81","7.06","ColorNerd","kilz"
"14329","Ibis Pink","LH140","#CB556E","203","85","110","347.29","53.15","56.47","0.0","58.13","45.81","20.39","ColorNerd","kilz"
"14330","Bright Orchid","LH130","#9F3A4F","159","58","79","347.52","46.54","42.55","0.0","63.52","50.31","37.65","ColorNerd","kilz"
"14331","Kabuki","LH150","#A43B3E","164","59","62","358.29","47.09","43.73","0.0","64.02","62.2","35.69","ColorNerd","kilz"
"14332","Radiant Raspberry","LA110-01","#953842","149","56","66","353.55","45.37","40.2","0.0","62.42","55.7","41.57","ColorNerd","kilz"
"14333","Francesca","LA110-02","#7E2A37","126","42","55","350.71","50.0","32.94","0.0","66.67","56.35","50.59","ColorNerd","kilz"
"14334","Boysenberry Pie","LA100-02","#60393B","96","57","59","356.92","25.49","30.0","0.0","40.63","38.54","62.35","ColorNerd","kilz"
"14335","Peach Glamour","LB180-01","#EEDEDA","238","222","218","12.0","37.04","89.41","0.0","6.72","8.4","6.67","ColorNerd","kilz"
"14336","Paper Dolls","LA160-01","#C19091","193","144","145","358.78","28.32","66.08","0.0","25.39","24.87","24.31","ColorNerd","kilz"
"14337","Autumn Aspen","LA150-01","#AB7D7F","171","125","127","357.39","21.5","58.04","0.0","26.9","25.73","32.94","ColorNerd","kilz"
"14338","Australian Shiraz","LA150-02","#835C5F","131","92","95","355.38","17.49","43.73","0.0","29.77","27.48","48.63","ColorNerd","kilz"
"14339","Sweet Antoinette","LA210-01","#F4C9C8","244","201","200","1.36","66.67","87.06","0.0","17.62","18.03","4.31","ColorNerd","kilz"
"14340","Earthy Red","LA140-01","#A36167","163","97","103","354.55","26.4","50.98","0.0","40.49","36.81","36.08","ColorNerd","kilz"
"14341","Cinnamon Apple","LA140-02","#9A5153","154","81","83","358.36","31.06","46.08","0.0","47.4","46.1","39.61","ColorNerd","kilz"
"14342","Red Tea","LA100-01","#743E4F","116","62","79","341.11","30.34","34.9","0.0","46.55","31.9","54.51","ColorNerd","kilz"
"14343","Ruffle Pink Dress","LA180-01","#EF8988","239","137","136","0.58","76.3","73.53","0.0","42.68","43.1","6.27","ColorNerd","kilz"
"14344","Bang","LH160","#B03537","176","53","55","359.02","53.71","44.9","0.0","69.89","68.75","30.98","ColorNerd","kilz"
"14345","Fahrenheit","LH180","#9D3A2F","157","58","47","6.0","53.92","40.0","0.0","63.06","70.06","38.43","ColorNerd","kilz"
"14346","Raging Bull","LA130-02","#883134","136","49","52","357.93","47.03","36.27","0.0","63.97","61.76","46.67","ColorNerd","kilz"
"14347","Cool Watermelon","LA170-01","#D98685","217","134","133","0.71","52.5","68.63","0.0","38.25","38.71","14.9","ColorNerd","kilz"
"14348","Watermelon Crush","LA170-02","#C47977","196","121","119","1.56","39.49","61.76","0.0","38.27","39.29","23.14","ColorNerd","kilz"
"14349","Hibiscus Tea","LA180-02","#D75954","215","89","84","2.29","62.09","58.63","0.0","58.6","60.93","15.69","ColorNerd","kilz"
"14350","Atomic Red","LH170","#B83236","184","50","54","358.21","57.26","45.88","0.0","72.83","70.65","27.84","ColorNerd","kilz"
"14351","Warm Shawl","LA230-02","#ECC3BF","236","195","191","5.33","54.22","83.73","0.0","17.37","19.07","7.45","ColorNerd","kilz"
"14352","Canyon Blossom","LA210-02","#DE9B98","222","155","152","2.57","51.47","73.33","0.0","30.18","31.53","12.94","ColorNerd","kilz"
"14353","Dynamite","LH190","#DF5E47","223","94","71","9.08","70.37","57.65","0.0","57.85","68.16","12.55","ColorNerd","kilz"
"14354","Red Flare","LA130-01","#AD4E49","173","78","73","3.0","40.65","48.24","0.0","54.91","57.8","32.16","ColorNerd","kilz"
"14355","Cake Pop","LA240-01","#F8D6D0","248","214","208","9.0","74.07","89.41","0.0","13.71","16.13","2.75","ColorNerd","kilz"
"14356","Melon Juice","LA240-02","#FAC5BE","250","197","190","7.0","85.71","86.27","0.0","21.2","24.0","1.96","ColorNerd","kilz"
"14357","Spanish Sherry","LA160-02","#A4726D","164","114","109","5.45","23.21","53.53","0.0","30.49","33.54","35.69","ColorNerd","kilz"
"14358","Oriental Red","LA120-02","#7D3436","125","52","54","358.36","41.24","34.71","0.0","58.4","56.8","50.98","ColorNerd","kilz"
"14359","Coral Myth","LA190-01","#ECABA3","236","171","163","6.58","65.77","78.24","0.0","27.54","30.93","7.45","ColorNerd","kilz"
"14360","Coral Ridge","LA190-02","#E59C93","229","156","147","6.59","61.19","73.73","0.0","31.88","35.81","10.2","ColorNerd","kilz"
"14361","Sedona Mountains","LB110-02","#AD5E54","173","94","84","6.74","35.18","50.39","0.0","45.66","51.45","32.16","ColorNerd","kilz"
"14362","Red Ginseng","LA120-01","#A1534D","161","83","77","4.29","35.29","46.67","0.0","48.45","52.17","36.86","ColorNerd","kilz"
"14363","Cameo Coral","LB180-02","#EBD1CA","235","209","202","12.73","45.21","85.69","0.0","11.06","14.04","7.84","ColorNerd","kilz"
"14364","Brickwork","LB110-01","#C0786D","192","120","109","7.95","39.71","59.02","0.0","37.5","43.23","24.71","ColorNerd","kilz"
"14365","Raw Clay","LB100-02","#843D34","132","61","52","6.75","43.48","36.08","0.0","53.79","60.61","48.24","ColorNerd","kilz"
"14366","Burnt Clay","LM120","#58423F","88","66","63","7.2","16.56","29.61","0.0","25.0","28.41","65.49","ColorNerd","kilz"
"14367","Arizona Clay","LB160-02","#E2BCAE","226","188","174","16.15","47.27","78.43","0.0","16.81","23.01","11.37","ColorNerd","kilz"
"14368","Mandarin Mimosa","LB140-01","#ECB09D","236","176","157","14.43","67.52","77.06","0.0","25.42","33.47","7.45","ColorNerd","kilz"
"14369","Antigua Sunset","LB140-02","#E18F79","225","143","121","12.69","63.41","67.84","0.0","36.44","46.22","11.76","ColorNerd","kilz"
"14370","Autumn Ridge","LB100-01","#9E5646","158","86","70","10.91","38.6","44.71","0.0","45.57","55.7","38.04","ColorNerd","kilz"
"14371","Aloha","LH240","#FEB14B","254","177","75","34.19","98.9","64.51","0.0","30.31","70.47","0.39","ColorNerd","kilz"
"14372","Bittersweet Orange","LH220","#FA9B40","250","155","64","29.35","94.9","61.57","0.0","38.0","74.4","1.96","ColorNerd","kilz"
"14373","Liger","LH210","#EA8A42","234","138","66","25.71","80.0","58.82","0.0","41.03","71.79","8.24","ColorNerd","kilz"
"14374","Hyperactive","LH200","#EA7C4C","234","124","76","18.23","79.0","60.78","0.0","47.01","67.52","8.24","ColorNerd","kilz"
"14375","Tea Room","LB190-01","#F7D3BD","247","211","189","22.76","78.38","85.49","0.0","14.57","23.48","3.14","ColorNerd","kilz"
"14376","Ember Glow","LB250-01","#E6A88D","230","168","141","18.2","64.03","72.75","0.0","26.96","38.7","9.8","ColorNerd","kilz"
"14377","Indian Curry","LB250-02","#D58E72","213","142","114","16.97","54.1","64.12","0.0","33.33","46.48","16.47","ColorNerd","kilz"
"14378","Lobster Tail","LB120-01","#BD6D53","189","109","83","14.72","44.54","53.33","0.0","42.33","56.08","25.88","ColorNerd","kilz"
"14379","Gossamer Peach","LB150-01","#F2CCB9","242","204","185","20.0","68.67","83.73","0.0","15.7","23.55","5.1","ColorNerd","kilz"
"14380","Sweet Papaya","LB130-01","#DE9981","222","153","129","15.48","58.49","68.82","0.0","31.08","41.89","12.94","ColorNerd","kilz"
"14381","Timeless Terra Cotta","LB130-02","#D2866D","210","134","109","14.85","52.88","62.55","0.0","36.19","48.1","17.65","ColorNerd","kilz"
"14382","Scorching Hot","LB120-02","#B05C44","176","92","68","13.33","44.26","47.84","0.0","47.73","61.36","30.98","ColorNerd","kilz"
"14383","Sweet Serenity","LC180-02","#FBE3D2","251","227","210","24.88","83.67","90.39","0.0","9.56","16.33","1.57","ColorNerd","kilz"
"14384","Gentle Embrace","LB190-02","#F3CAB6","243","202","182","19.67","71.76","83.33","0.0","16.87","25.1","4.71","ColorNerd","kilz"
"14385","Orange Ginger","LB150-02","#DAA48E","218","164","142","17.37","50.67","70.59","0.0","24.77","34.86","14.51","ColorNerd","kilz"
"14386","Baked Cinnamon","LB270-01","#BD8773","189","135","115","16.22","35.92","59.61","0.0","28.57","39.15","25.88","ColorNerd","kilz"
"14387","Taupe Pearls","LB170-01","#EFDCD3","239","220","211","19.29","46.67","88.24","0.0","7.95","11.72","6.27","ColorNerd","kilz"
"14388","Nouveau Apricot","LB160-01","#EBCBBD","235","203","189","18.26","53.49","83.14","0.0","13.62","19.57","7.84","ColorNerd","kilz"
"14389","Dusty Bronze","LB240-02","#B5907F","181","144","127","18.89","26.73","60.39","0.0","20.44","29.83","29.02","ColorNerd","kilz"
"14390","Spiced Tea","LB270-02","#9B6751","155","103","81","17.84","31.36","46.27","0.0","33.55","47.74","39.22","ColorNerd","kilz"
"14391","Wool Stockings","LB170-02","#D9C2B5","217","194","181","21.67","32.14","78.04","0.0","10.6","16.59","14.9","ColorNerd","kilz"
"14392","Tan Blush","LB230-01","#D2A994","210","169","148","20.32","40.79","70.2","0.0","19.52","29.52","17.65","ColorNerd","kilz"
"14393","Mamey Shake","LB210-02","#CC9A81","204","154","129","20.0","42.37","65.29","0.0","24.51","36.76","20.0","ColorNerd","kilz"
"14394","Spicy Twist","LB280-02","#AD6A53","173","106","83","15.33","35.43","50.2","0.0","38.73","52.02","32.16","ColorNerd","kilz"
"14395","Crushed Shell","LB210-01","#E6BEA5","230","190","165","23.08","56.52","77.45","0.0","17.39","28.26","9.8","ColorNerd","kilz"
"14396","Adobe Bricks","LB220-02","#C99378","201","147","120","20.0","42.86","62.94","0.0","26.87","40.3","21.18","ColorNerd","kilz"
"14397","Roasted Pumpkin","LC100-01","#A1694D","161","105","77","20.0","35.29","46.67","0.0","34.78","52.17","36.86","ColorNerd","kilz"
"14398","Autumn Abundance","LC100-02","#8E5335","142","83","53","20.22","45.64","38.24","0.0","41.55","62.68","44.31","ColorNerd","kilz"
"14399","Petite Peach","LC150-02","#F2C1A0","242","193","160","24.15","75.93","78.82","0.0","20.25","33.88","5.1","ColorNerd","kilz"
"14400","Mischief","LB260-01","#FAA06D","250","160","109","21.7","93.38","70.39","0.0","36.0","56.4","1.96","ColorNerd","kilz"
"14401","Spice Market","LB260-02","#D37F50","211","127","80","21.53","59.82","57.06","0.0","39.81","62.09","17.25","ColorNerd","kilz"
"14402","Hot August","LC130-02","#C26F45","194","111","69","20.16","50.61","51.57","0.0","42.78","64.43","23.92","ColorNerd","kilz"
