"Index","Color Name","ID","Hex","Red","Green","Blue","Hue","Saturation","Luminance","Cyan","Magenta","Yellow","Key","Source","System"
"15187","White","01","#EAEAE4","234","234","228","60.0","12.5","90.59","0.0","0.0","2.56","8.24","ColorNerd","kobra"
"15188","Ivory","02","#E6C9A2","230","201","162","34.41","57.63","76.86","0.0","12.61","29.57","9.8","ColorNerd","kobra"
"15189","Beige","03","#BA9873","186","152","115","31.27","33.97","59.02","0.0","18.28","38.17","27.06","ColorNerd","kobra"
"15190","Beige","04","#8F6E46","143","110","70","32.88","34.27","41.76","0.0","23.08","51.05","43.92","ColorNerd","kobra"
"15191","Beige","05","#D0C092","208","192","146","44.52","39.74","69.41","0.0","7.69","29.81","18.43","ColorNerd","kobra"
"15192","Yellow","06","#F2D964","242","217","100","49.44","84.52","67.06","0.0","10.33","58.68","5.1","ColorNerd","kobra"
"15193","Yellow","07","#FAD140","250","209","64","46.77","94.9","61.57","0.0","16.4","74.4","1.96","ColorNerd","kobra"
"15194","Yellow","08","#FDAD00","253","173","0","41.03","100.0","49.61","0.0","31.62","100.0","0.78","ColorNerd","kobra"
"15195","Yellow","09","#F4AF5B","244","175","91","32.94","87.43","65.69","0.0","28.28","62.7","4.31","ColorNerd","kobra"
"15196","Yellow","10","#F59724","245","151","36","33.01","91.27","55.1","0.0","38.37","85.31","3.92","ColorNerd","kobra"
"15197","Yellow","11","#B97D31","185","125","49","33.53","58.12","45.88","0.0","32.43","73.51","27.45","ColorNerd","kobra"
"15198","Orange","12","#F07B42","240","123","66","19.66","85.29","60.0","0.0","48.75","72.5","5.88","ColorNerd","kobra"
"15199","Orange","13","#E87257","232","114","87","11.17","75.92","62.55","0.0","50.86","62.5","9.02","ColorNerd","kobra"
"15200","Orange","14","#DA5838","218","88","56","11.85","68.64","53.73","0.0","59.63","74.31","14.51","ColorNerd","kobra"
"15201","Red","15","#BD413A","189","65","58","3.21","53.04","48.43","0.0","65.61","69.31","25.88","ColorNerd","kobra"
"15202","Red","16","#9A4039","154","64","57","4.33","45.97","41.37","0.0","58.44","62.99","39.61","ColorNerd","kobra"
"15203","Red","17","#583F40","88","63","64","357.6","16.56","29.61","0.0","28.41","27.27","65.49","ColorNerd","kobra"
"15204","Pink","18","#F7A879","247","168","121","22.38","88.73","72.16","0.0","31.98","51.01","3.14","ColorNerd","kobra"
"15205","Pink","19","#FAA495","250","164","149","8.91","90.99","78.24","0.0","34.4","40.4","1.96","ColorNerd","kobra"
"15206","Pink","20","#DF8686","223","134","134","0.0","58.17","70.0","0.0","39.91","39.91","12.55","ColorNerd","kobra"
"15207","Fuchsia","21","#BF7595","191","117","149","334.05","36.63","60.39","0.0","38.74","21.99","25.1","ColorNerd","kobra"
"15208","Fuchsia","22","#A25877","162","88","119","334.86","29.6","49.02","0.0","45.68","26.54","36.47","ColorNerd","kobra"
"15209","Violet","23","#B7B1DC","183","177","220","248.37","38.05","77.84","16.82","19.55","0.0","13.73","ColorNerd","kobra"
"15210","Violet","24","#9B8CB5","155","140","181","261.95","21.69","62.94","14.36","22.65","0.0","29.02","ColorNerd","kobra"
"15211","Violet","25","#776BAB","119","107","171","251.25","27.59","54.51","30.41","37.43","0.0","32.94","ColorNerd","kobra"
"15212","Violet","26","#7B598F","123","89","143","277.78","23.28","45.49","13.99","37.76","0.0","43.92","ColorNerd","kobra"
"15213","Blue","27","#87C8D7","135","200","215","191.25","50.0","68.63","37.21","6.98","0.0","15.69","ColorNerd","kobra"
"15214","Blue","28","#4EB3CD","78","179","205","192.28","55.95","55.49","61.95","12.68","0.0","19.61","ColorNerd","kobra"
"15215","Blue","29","#1882B4","24","130","180","199.23","76.47","40.0","86.67","27.78","0.0","29.41","ColorNerd","kobra"
"15216","Blue","30","#195584","25","85","132","206.36","68.15","30.78","81.06","35.61","0.0","48.24","ColorNerd","kobra"
"15217","Blue","31","#334059","51","64","89","219.47","27.14","27.45","42.7","28.09","0.0","65.1","ColorNerd","kobra"
"15218","Green","32","#75C89E","117","200","158","149.64","43.01","62.16","41.5","0.0","21.0","21.57","ColorNerd","kobra"
"15219","Green","33","#7AB96E","122","185","110","110.4","34.88","57.84","34.05","0.0","40.54","27.45","ColorNerd","kobra"
"15220","Green","34","#42A370","66","163","112","148.45","42.36","44.9","59.51","0.0","31.29","36.08","ColorNerd","kobra"
"15221","Green","35","#007856","0","120","86","163.0","100.0","23.53","100.0","0.0","28.33","52.94","ColorNerd","kobra"
"15222","Green","36","#4E795B","78","121","91","138.14","21.61","39.02","35.54","0.0","24.79","52.55","ColorNerd","kobra"
"15223","Green","37","#515545","81","85","69","75.0","10.39","30.2","4.71","0.0","18.82","66.67","ColorNerd","kobra"
"15224","Green","38","#415448","65","84","72","142.11","12.75","29.22","22.62","0.0","14.29","67.06","ColorNerd","kobra"
"15225","Green","39","#40B8A4","64","184","164","170.0","48.39","48.63","65.22","0.0","10.87","27.84","ColorNerd","kobra"
"15226","Green","40","#009F8A","0","159","138","172.08","100.0","31.18","100.0","0.0","13.21","37.65","ColorNerd","kobra"
"15227","Green","41","#009185","0","145","133","175.03","100.0","28.43","100.0","0.0","8.28","43.14","ColorNerd","kobra"
"15228","Grey","42","#889099","136","144","153","211.76","7.69","56.67","11.11","5.88","0.0","40.0","ColorNerd","kobra"
"15229","Brown","43","#624A3E","98","74","62","20.0","22.5","31.37","0.0","24.49","36.73","61.57","ColorNerd","kobra"
"15230","Black","44","#383737","56","55","55","0.0","0.9","21.76","0.0","1.79","1.79","78.04","ColorNerd","kobra"
"15231","Gold","45","#8E7A5A","142","122","90","36.92","22.41","45.49","0.0","14.08","36.62","44.31","ColorNerd","kobra"
"15232","Copper","46","#7B584C","123","88","76","15.32","23.62","39.02","0.0","28.46","38.21","51.76","ColorNerd","kobra"
"15233","Silver","47","#CDCECD","205","206","205","120.0","1.01","80.59","0.49","0.0","0.49","19.22","ColorNerd","kobra"
"15234","Fluo","48","#EDEB00","237","235","0","59.49","100.0","46.47","0.0","0.84","100.0","7.06","ColorNerd","kobra"
"15235","Fluo","49","#FF7700","255","119","0","28.0","100.0","50.0","0.0","53.33","100.0","0.0","ColorNerd","kobra"
"15236","Fluo","50","#FF4131","255","65","49","4.66","100.0","59.61","0.0","74.51","80.78","0.0","ColorNerd","kobra"
"15237","Fluo","51","#F93753","249","55","83","351.34","94.17","59.61","0.0","77.91","66.67","2.35","ColorNerd","kobra"
"15238","Fluo","52","#00B131","0","177","49","136.61","100.0","34.71","100.0","0.0","72.32","30.59","ColorNerd","kobra"
