"Index","Color Name","ID","Hex","Red","Green","Blue","Hue","Saturation","Luminance","Cyan","Magenta","Yellow","Key","Source","System"
"15239","Black Box","MP33758","#0A1B20","10","27","32","193.64","52.38","8.24","68.75","15.63","0.0","87.45","ColorNerd","mpc"
"15240","Black Chasm","MP28560","#0A1A20","10","26","32","196.36","52.38","8.24","68.75","18.75","0.0","87.45","ColorNerd","mpc"
"15241","Black Indigo","MP33764","#0A191E","10","25","30","195.0","50.0","7.84","66.67","16.67","0.0","88.24","ColorNerd","mpc"
"15242","Black is Back","MP59647","#0B1013","11","16","19","202.5","26.67","5.88","42.11","15.79","0.0","92.55","ColorNerd","mpc"
"15243","Black Magic","MP32156","#0A1013","10","16","19","200.0","31.03","5.69","47.37","15.79","0.0","92.55","ColorNerd","mpc"
"15244","Black Mamba","MP25595","#161F24","22","31","36","201.43","24.14","11.37","38.89","13.89","0.0","85.88","ColorNerd","mpc"
"15245","Black Stallion","MP33653","#091012","9","16","18","193.33","33.33","5.29","50.0","11.11","0.0","92.94","ColorNerd","mpc"
"15246","Black Umber","MP30116","#191412","25","20","18","17.14","16.28","8.43","0.0","20.0","28.0","90.2","ColorNerd","mpc"
"15247","Blackguard","MP33759","#232220","35","34","32","40.0","4.48","13.14","0.0","2.86","8.57","86.27","ColorNerd","mpc"
"15248","Blackstone","MP33348","#1F1E1C","31","30","28","40.0","5.08","11.57","0.0","3.23","9.68","87.84","ColorNerd","mpc"
"15249","Draconia","MP40821","#192021","25","32","33","187.5","13.79","11.37","24.24","3.03","0.0","87.06","ColorNerd","mpc"
"15250","Ebony King","MP30914","#141F1F","20","31","31","180.0","21.57","10.0","35.48","0.0","0.0","87.84","ColorNerd","mpc"
"15251","Onyx","MP31846","#1B1513","27","21","19","15.0","17.39","9.02","0.0","22.22","29.63","89.41","ColorNerd","mpc"
"15252","Twilight Zone","MP33260","#161614","22","22","20","60.0","4.76","8.24","0.0","0.0","9.09","91.37","ColorNerd","mpc"
"15253","Vine Charcoal","MP42359","#1E2223","30","34","35","192.0","7.69","12.75","14.29","2.86","0.0","86.27","ColorNerd","mpc"
"15254","Wells Fargo Black","MP26309","#081111","8","17","17","180.0","36.0","4.9","52.94","0.0","0.0","93.33","ColorNerd","mpc"
"15255","Amethyst Met.","MP22022","#624BA0","98","75","160","256.24","36.17","46.08","38.75","53.12","0.0","37.25","ColorNerd","mpc"
"15256","Andromeda Blue Met.","MP22028","#00354B","0","53","75","197.6","100.0","14.71","100.0","29.33","0.0","70.59","ColorNerd","mpc"
"15257","Aquateal met.","MP21999","#488386","72","131","134","182.9","30.1","40.39","46.27","2.24","0.0","47.45","ColorNerd","mpc"
"15258","Aubertite Blue Met.","MP27145","#86B7B3","134","183","179","175.1","25.39","62.16","26.78","0.0","2.19","28.24","ColorNerd","mpc"
"15259","Aura Blue Met.","MP25401","#004E66","0","78","102","194.12","100.0","20.0","100.0","23.53","0.0","60.0","ColorNerd","mpc"
"15260","Bally Blue Met.","MP41755","#3B4F8E","59","79","142","225.54","41.29","39.41","58.45","44.37","0.0","44.31","ColorNerd","mpc"
"15261","Black N Blue Met.","MP22005","#130E29","19","14","41","251.11","49.09","10.78","53.66","65.85","0.0","83.92","ColorNerd","mpc"
"15262","Blackberry Met.","MP22021","#1C1027","28","16","39","271.3","41.82","10.78","28.21","58.97","0.0","84.71","ColorNerd","mpc"
"15263","Blue Abyss Met.","MP22008","#131834","19","24","52","230.91","46.48","13.92","63.46","53.85","0.0","79.61","ColorNerd","mpc"
"15264","Blue Jade Met.","MP22004","#63A6AE","99","166","174","186.4","31.65","53.53","43.1","4.6","0.0","31.76","ColorNerd","mpc"
"15265","Breyer Blue Met.","MP19843","#00526D","0","82","109","194.86","100.0","21.37","100.0","24.77","0.0","57.25","ColorNerd","mpc"
"15266","Brina Blue Met.","MP22085","#C7CBD0","199","203","208","213.33","8.74","79.8","4.33","2.4","0.0","18.43","ColorNerd","mpc"
"15267","Cabochon Blue Met.","MP28161","#003E55","0","62","85","196.24","100.0","16.67","100.0","27.06","0.0","66.67","ColorNerd","mpc"
"15268","Carib Blue Met.","MP25405","#004157","0","65","87","195.17","100.0","17.06","100.0","25.29","0.0","65.88","ColorNerd","mpc"
"15269","Celestine Blue Met.","MP32683","#91B7C2","145","183","194","193.47","28.65","66.47","25.26","5.67","0.0","23.92","ColorNerd","mpc"
"15270","Cenere Blue Met.","MP22031","#4B516C","75","81","108","229.09","18.03","35.88","30.56","25.0","0.0","57.65","ColorNerd","mpc"
"15271","Chakra Blue Met.","MP25373","#273974","39","57","116","225.97","49.68","30.39","66.38","50.86","0.0","54.51","ColorNerd","mpc"
"15272","Champenoise Blue Met.","MP22088","#A4B0B1","164","176","177","184.62","7.69","66.86","7.34","0.56","0.0","30.59","ColorNerd","mpc"
"15273","China Blue Met.","MP22029","#00425A","0","66","90","196.0","100.0","17.65","100.0","26.67","0.0","64.71","ColorNerd","mpc"
"15274","Cuda Plum Met.","MP22023","#9B8BDB","155","139","219","252.0","52.63","70.2","29.22","36.53","0.0","14.12","ColorNerd","mpc"
