"Index","Color Name","ID","Hex","Red","Green","Blue","Hue","Saturation","Luminance","Cyan","Magenta","Yellow","Key","Source","System"
"16658","Blast-Off Blue","blast-off-blue","#4C6393","76","99","147","220.56","31.84","43.73","48.3","32.65","0.0","42.35","ColorNerd","neenah"
"16659","Celestial Blue","celestial-blue","#3697AE","54","151","174","191.5","52.63","44.71","68.97","13.22","0.0","31.76","ColorNerd","neenah"
"16660","Cosmic Orange","cosmic-orange","#FF8C40","255","140","64","23.87","100.0","62.55","0.0","45.1","74.9","0.0","ColorNerd","neenah"
"16661","Eclipse Black","eclipse-black","#3F3831","63","56","49","30.0","12.5","21.96","0.0","11.11","22.22","75.29","ColorNerd","neenah"
"16662","Fireball Fuchsia","fireball-fuchsia","#FF3C9C","255","60","156","330.46","100.0","61.76","0.0","76.47","38.82","0.0","ColorNerd","neenah"
"16663","Galaxy Gold","galaxy-gold","#FFAC00","255","172","0","40.47","100.0","50.0","0.0","32.55","100.0","0.0","ColorNerd","neenah"
"16664","Gamma Green","gamma-green","#3C9E56","60","158","86","135.92","44.95","42.75","62.03","0.0","45.57","38.04","ColorNerd","neenah"
"16665","Gravity Grape","gravity-grape","#8A6C9E","138","108","158","276.0","20.49","52.16","12.66","31.65","0.0","38.04","ColorNerd","neenah"
"16666","Lift-Off Lemon","lift-off-lemon","#FFFA3C","255","250","60","58.46","100.0","61.76","0.0","1.96","76.47","0.0","ColorNerd","neenah"
"16667","Lunar Blue","lunar-blue","#64B9BC","100","185","188","182.05","39.64","56.47","46.81","1.6","0.0","26.27","ColorNerd","neenah"
"16668","Martian Green","martian-green","#98DE5A","152","222","90","91.82","66.67","61.18","31.53","0.0","59.46","12.94","ColorNerd","neenah"
"16669","Orbit Orange","orbit-orange","#F86129","248","97","41","16.23","93.67","56.67","0.0","60.89","83.47","2.75","ColorNerd","neenah"
"16670","Outrageous Orchid","outrageous-orchid","#D573AF","213","115","175","323.27","53.85","64.31","0.0","46.01","17.84","16.47","ColorNerd","neenah"
"16671","Planetary Purple","planetary-purple","#B9719E","185","113","158","322.5","33.96","58.43","0.0","38.92","14.59","27.45","ColorNerd","neenah"
"16672","Re-Entry Red","re-entry-red","#DB3B4A","219","59","74","354.38","68.97","54.51","0.0","73.06","66.21","14.12","ColorNerd","neenah"
"16673","Plasma Pink","plasma-pink","#FF567C","255","86","124","346.51","100.0","66.86","0.0","66.27","51.37","0.0","ColorNerd","neenah"
"16674","Pulsar Pink","pulsar-pink","#FF80A4","255","128","164","342.99","100.0","75.1","0.0","49.8","35.69","0.0","ColorNerd","neenah"
"16675","Rocket Red","rocket-red","#FF5E63","255","94","99","358.14","100.0","68.43","0.0","63.14","61.18","0.0","ColorNerd","neenah"
"16676","Solar Yellow","solar-yellow","#FFD000","255","208","0","48.94","100.0","50.0","0.0","18.43","100.0","0.0","ColorNerd","neenah"
"16677","Sunburst Yellow","sunburst-yellow","#FFD000","255","208","0","48.94","100.0","50.0","0.0","18.43","100.0","0.0","ColorNerd","neenah"
"16678","Terra Green","terra-green","#BDD832","189","216","50","69.76","68.03","52.16","12.5","0.0","76.85","15.29","ColorNerd","neenah"
"16679","Terrestrial Teal","terrestrial-teal","#27A89A","39","168","154","173.49","62.32","40.59","76.79","0.0","8.33","34.12","ColorNerd","neenah"
"16680","Venus Violet","venus-violet","#867BC6","134","123","198","248.8","39.68","62.94","32.32","37.88","0.0","22.35","ColorNerd","neenah"
"16681","Vulcan Green","vulcan-green","#BCE844","188","232","68","76.1","78.1","58.82","18.97","0.0","70.69","9.02","ColorNerd","neenah"
"16682","Natural Felt","natural-felt","#E9EAC2","233","234","194","61.5","48.78","83.92","0.43","0.0","17.09","8.24","ColorNerd","neenah"
"16683","Aged Felt","aged-felt","#ECDDA4","236","221","164","47.5","65.45","78.43","0.0","6.36","30.51","7.45","ColorNerd","neenah"
