"Index","Color Name","ID","Hex","Red","Green","Blue","Hue","Saturation","Luminance","Cyan","Magenta","Yellow","Key","Source","System"
"18358","Delicate White","1001-1","#F1F2EE","241","242","238","75.0","13.33","94.12","0.41","0.0","1.65","5.1","ColorNerd","ppg"
"18359","Aria","1001-2","#E3E4E2","227","228","226","90.0","3.57","89.02","0.44","0.0","0.88","10.59","ColorNerd","ppg"
"18360","Thin Ice","1001-3","#D9DCDB","217","220","219","160.0","4.11","85.69","1.36","0.0","0.45","13.73","ColorNerd","ppg"
"18361","Flagstone","1001-4","#ACADAD","172","173","173","180.0","0.61","67.65","0.58","0.0","0.0","32.16","ColorNerd","ppg"
"18362","Dover Gray","1001-5","#848585","132","133","133","180.0","0.41","51.96","0.75","0.0","0.0","47.84","ColorNerd","ppg"
"18363","Knight's Armor","1001-6","#5C5D5D","92","93","93","180.0","0.54","36.27","1.08","0.0","0.0","63.53","ColorNerd","ppg"
"18364","Black Magic","1001-7","#414040","65","64","64","0.0","0.78","25.29","0.0","1.54","1.54","74.51","ColorNerd","ppg"
"18365","Silver Feather","1002-1","#EDEBE7","237","235","231","40.0","14.29","91.76","0.0","0.84","2.53","7.06","ColorNerd","ppg"
"18366","Arctic Cotton","1002-2","#E6E3DF","230","227","223","34.29","12.28","88.82","0.0","1.3","3.04","9.8","ColorNerd","ppg"
"18367","Cool Slate","1002-3","#D0CCC5","208","204","197","38.18","10.48","79.41","0.0","1.92","5.29","18.43","ColorNerd","ppg"
"18368","Gray Marble","1002-4","#B9B4B1","185","180","177","22.5","5.41","70.98","0.0","2.7","4.32","27.45","ColorNerd","ppg"
"18369","Antique Silver","1002-5","#918E8C","145","142","140","24.0","2.22","55.88","0.0","2.07","3.45","43.14","ColorNerd","ppg"
"18370","Gibraltar Gray","1002-6","#6F6A68","111","106","104","17.14","3.26","42.16","0.0","4.5","6.31","56.47","ColorNerd","ppg"
"18371","Phantom Mist","1002-7","#4B4441","75","68","65","18.0","7.14","27.45","0.0","9.33","13.33","70.59","ColorNerd","ppg"
"18372","Fall Chill","1003-1","#E1DDDB","225","221","219","20.0","9.09","87.06","0.0","1.78","2.67","11.76","ColorNerd","ppg"
"18373","Balanced","1003-2","#D7D2D1","215","210","209","10.0","6.98","83.14","0.0","2.33","2.79","15.69","ColorNerd","ppg"
"18374","Silver Bells","1003-3","#B8B4B6","184","180","182","330.0","2.74","71.37","0.0","2.17","1.09","27.84","ColorNerd","ppg"
"18375","Equilibrium","1003-4","#A49F9F","164","159","159","0.0","2.67","63.33","0.0","3.05","3.05","35.69","ColorNerd","ppg"
"18376","Shining Armor","1003-5","#908B8E","144","139","142","324.0","2.2","55.49","0.0","3.47","1.39","43.53","ColorNerd","ppg"
"18377","Cracked Slate","1003-6","#69656A","105","101","106","288.0","2.42","40.59","0.94","4.72","0.0","58.43","ColorNerd","ppg"
"18378","Blackhearth","1003-7","#49454B","73","69","75","280.0","4.17","28.24","2.67","8.0","0.0","70.59","ColorNerd","ppg"
"18379","Go To Gray","1004-1","#DCD8D7","220","216","215","12.0","6.67","85.29","0.0","1.82","2.27","13.73","ColorNerd","ppg"
"18380","Free Reign","1004-2","#D1CDCA","209","205","202","25.71","7.07","80.59","0.0","1.91","3.35","18.04","ColorNerd","ppg"
"18381","Hush","1004-3","#C4BDBA","196","189","186","18.0","7.81","74.9","0.0","3.57","5.1","23.14","ColorNerd","ppg"
"18382","Silver Service","1004-4","#B2AAAA","178","170","170","0.0","4.94","68.24","0.0","4.49","4.49","30.2","ColorNerd","ppg"
"18383","Pewter Mug","1004-5","#8B8283","139","130","131","353.33","3.73","52.75","0.0","6.47","5.76","45.49","ColorNerd","ppg"
"18384","Phantom Hue","1004-6","#645D5E","100","93","94","351.43","3.63","37.84","0.0","7.0","6.0","60.78","ColorNerd","ppg"
"18385","Black Elegance","1004-7","#50484A","80","72","74","345.0","5.26","29.8","0.0","10.0","7.5","68.63","ColorNerd","ppg"
"18386","Dusky Dawn","1005-1","#E5E1DE","229","225","222","25.71","11.86","88.43","0.0","1.75","3.06","10.2","ColorNerd","ppg"
"18387","Elusion","1005-2","#D2CFCC","210","207","204","30.0","6.25","81.18","0.0","1.43","2.86","17.65","ColorNerd","ppg"
"18388","Gray Shadows","1005-3","#C2BDBA","194","189","186","22.5","6.15","74.51","0.0","2.58","4.12","23.92","ColorNerd","ppg"
"18389","Slate Pebble","1005-4","#B4ADA9","180","173","169","21.82","6.83","68.43","0.0","3.89","6.11","29.41","ColorNerd","ppg"
"18390","Elephant Gray","1005-5","#8D847F","141","132","127","21.43","5.79","52.55","0.0","6.38","9.93","44.71","ColorNerd","ppg"
"18391","Oswego Tea","1005-6","#665D59","102","93","89","18.46","6.81","37.45","0.0","8.82","12.75","60.0","ColorNerd","ppg"
"18392","Dark Granite","1005-7","#4F443F","79","68","63","18.75","11.27","27.84","0.0","13.92","20.25","69.02","ColorNerd","ppg"
"18393","Gypsum","1006-1","#EEEDE4","238","237","228","54.0","22.73","91.37","0.0","0.42","4.2","6.67","ColorNerd","ppg"
"18394","Shark","1006-2","#DFDCD5","223","220","213","42.0","13.51","85.49","0.0","1.35","4.48","12.55","ColorNerd","ppg"
"18395","Early Evening","1006-3","#CAC7BF","202","199","191","43.64","9.4","77.06","0.0","1.49","5.45","20.78","ColorNerd","ppg"
"18396","Mercurial","1006-4","#B6B0A9","182","176","169","32.31","8.18","68.82","0.0","3.3","7.14","28.63","ColorNerd","ppg"
"18397","So Sublime","1006-5","#8B847C","139","132","124","32.0","6.07","51.57","0.0","5.04","10.79","45.49","ColorNerd","ppg"
"18398","Deconstruction","1006-6","#7B736B","123","115","107","30.0","6.96","45.1","0.0","6.5","13.01","51.76","ColorNerd","ppg"
"18399","Metropolis","1006-7","#61584F","97","88","79","30.0","10.23","34.51","0.0","9.28","18.56","61.96","ColorNerd","ppg"
"18400","Willow Springs","1007-1","#E7E6E0","231","230","224","51.43","12.73","89.22","0.0","0.43","3.03","9.41","ColorNerd","ppg"
"18401","Swirling Smoke","1007-2","#CECAC1","206","202","193","41.54","11.71","78.24","0.0","1.94","6.31","19.22","ColorNerd","ppg"
"18402","Ghost Writer","1007-3","#BCB7AD","188","183","173","40.0","10.07","70.78","0.0","2.66","7.98","26.27","ColorNerd","ppg"
"18403","Hot Stone","1007-4","#ABA89E","171","168","158","46.15","7.18","64.51","0.0","1.75","7.6","32.94","ColorNerd","ppg"
"18404","Lazy Afternoon","1007-5","#97928B","151","146","139","35.0","5.45","56.86","0.0","3.31","7.95","40.78","ColorNerd","ppg"
