"Index","Color Name","ID","Hex","Red","Green","Blue","Hue","Saturation","Luminance","Cyan","Magenta","Yellow","Key","Source","System"
"20446","Green Beige","1000","#BEBD7F","190","189","127","59.05","32.64","62.16","0.0","0.53","33.16","25.49","ColorNerd","ral"
"20447","Beige","1001","#C2B078","194","176","120","45.41","37.76","61.57","0.0","9.28","38.14","23.92","ColorNerd","ral"
"20448","Sand Yellow","1002","#C6A664","198","166","100","40.41","46.23","58.43","0.0","16.16","49.49","22.35","ColorNerd","ral"
"20449","Signal Yellow","1003","#E5BE01","229","190","1","49.74","99.13","45.1","0.0","17.03","99.56","10.2","ColorNerd","ral"
"20450","Golden Yellow","1004","#CDA434","205","164","52","43.92","60.47","50.39","0.0","20.0","74.63","19.61","ColorNerd","ral"
"20451","Honey Yellow","1005","#A98307","169","131","7","45.93","92.05","34.51","0.0","22.49","95.86","33.73","ColorNerd","ral"
"20452","Maize Yellow","1006","#E4A010","228","160","16","40.75","86.89","47.84","0.0","29.82","92.98","10.59","ColorNerd","ral"
"20453","Daffodil Yellow","1007","#DC9D00","220","157","0","42.82","100.0","43.14","0.0","28.64","100.0","13.73","ColorNerd","ral"
"20454","Brown Beige","1011","#8A6642","138","102","66","30.0","35.29","40.0","0.0","26.09","52.17","45.88","ColorNerd","ral"
"20455","Lemon Yellow","1012","#C7B446","199","180","70","51.16","53.53","52.75","0.0","9.55","64.82","21.96","ColorNerd","ral"
"20456","Oyster White","1013","#EEEACD","238","234","205","52.73","49.25","86.86","0.0","1.68","13.87","6.67","ColorNerd","ral"
"20457","Ivory","1014","#E1CC4F","225","204","79","51.37","70.87","59.61","0.0","9.33","64.89","11.76","ColorNerd","ral"
"20458","Light Ivory","1015","#E6D690","230","214","144","48.84","63.24","73.33","0.0","6.96","37.39","9.8","ColorNerd","ral"
"20459","Sulfur Yellow","1016","#EDFF21","237","255","33","64.86","100.0","56.47","7.06","0.0","87.06","0.0","ColorNerd","ral"
"20460","Saffron Yellow","1017","#F5D033","245","208","51","48.56","90.65","58.04","0.0","15.1","79.18","3.92","ColorNerd","ral"
"20461","Zinc Yellow","1018","#F8F32B","248","243","43","58.54","93.61","57.06","0.0","2.02","82.66","2.75","ColorNerd","ral"
"20462","Grey Beige","1019","#9E9764","158","151","100","52.76","23.02","50.59","0.0","4.43","36.71","38.04","ColorNerd","ral"
"20463","Olive Yellow","1020","#999950","153","153","80","60.0","31.33","45.69","0.0","0.0","47.71","40.0","ColorNerd","ral"
"20464","Colza Yellow","1021","#F3DA0B","243","218","11","53.53","91.34","49.8","0.0","10.29","95.47","4.71","ColorNerd","ral"
"20465","Traffic Yellow","1023","#FAD201","250","210","1","50.36","99.2","49.22","0.0","16.0","99.6","1.96","ColorNerd","ral"
"20466","Ochre Yellow","1024","#AEA04B","174","160","75","51.52","39.76","48.82","0.0","8.05","56.9","31.76","ColorNerd","ral"
"20467","Luminous Yellow","1026","#FFFF00","255","255","0","60.0","100.0","50.0","0.0","0.0","100.0","0.0","ColorNerd","ral"
