"Index","Color Name","ID","Hex","Red","Green","Blue","Hue","Saturation","Luminance","Cyan","Magenta","Yellow","Key","Source","System"
"20659","Mulberry Silk","1","#94766C","148","118","108","15.0","15.75","50.2","0.0","20.27","27.03","41.96","ColorNerd","sherwin-williams"
"20660","Chelsea Mauve","2","#BEAC9F","190","172","159","25.16","19.25","68.43","0.0","9.47","16.32","25.49","ColorNerd","sherwin-williams"
"20661","Cabbage Rose","3","#C59F91","197","159","145","16.15","30.95","67.06","0.0","19.29","26.4","22.75","ColorNerd","sherwin-williams"
"20662","Rose Brocade","4","#996C6E","153","108","110","357.33","18.07","51.18","0.0","29.41","28.1","40.0","ColorNerd","sherwin-williams"
"20663","Deepest Mauve","5","#6D595A","109","89","90","357.0","10.1","38.82","0.0","18.35","17.43","57.25","ColorNerd","sherwin-williams"
"20664","Toile Red","6","#8B534E","139","83","78","4.92","28.11","42.55","0.0","40.29","43.88","45.49","ColorNerd","sherwin-williams"
"20665","Decorous Amber","7","#AC7559","172","117","89","20.24","33.33","51.18","0.0","31.98","48.26","32.55","ColorNerd","sherwin-williams"
"20666","Cajun Red","8","#8D422F","141","66","47","12.13","50.0","36.86","0.0","53.19","66.67","44.71","ColorNerd","sherwin-williams"
"20667","Eastlake Gold","9","#C28E61","194","142","97","27.84","44.29","57.06","0.0","26.8","50.0","23.92","ColorNerd","sherwin-williams"
"20668","Wickerwork","10","#C19E80","193","158","128","27.69","34.39","62.94","0.0","18.13","33.68","24.31","ColorNerd","sherwin-williams"
"20669","Crewel Tan","11","#CBB99B","203","185","155","37.5","31.58","70.2","0.0","8.87","23.65","20.39","ColorNerd","sherwin-williams"
"20670","Empire Gold","12","#C19F6E","193","159","110","35.42","40.1","59.41","0.0","17.62","43.01","24.31","ColorNerd","sherwin-williams"
"20671","Majolica Green","13","#AEB08F","174","176","143","63.64","17.28","62.55","1.14","0.0","18.75","30.98","ColorNerd","sherwin-williams"
"20672","Sheraton Sage","14","#8F8666","143","134","102","46.83","16.73","48.04","0.0","6.29","28.67","43.92","ColorNerd","sherwin-williams"
"20673","Gallery Green","15","#708672","112","134","114","125.45","8.94","48.24","16.42","0.0","14.93","47.45","ColorNerd","sherwin-williams"
"20674","Billiard Green","16","#45584D","69","88","77","145.26","12.1","30.78","21.59","0.0","12.5","65.49","ColorNerd","sherwin-williams"
"20675","Calico","17","#8CA49C","140","164","156","160.0","11.65","59.61","14.63","0.0","4.88","35.69","ColorNerd","sherwin-williams"
"20676","Teal Stencil","18","#627F7B","98","127","123","171.72","12.89","44.12","22.83","0.0","3.15","50.2","ColorNerd","sherwin-williams"
"20677","Festoon Aqua","19","#A0BBB8","160","187","184","173.33","16.56","68.04","14.44","0.0","1.6","26.67","ColorNerd","sherwin-williams"
