"Index","Color Name","ID","Hex","Red","Green","Blue","Hue","Saturation","Luminance","Cyan","Magenta","Yellow","Key","Source","System"
"22185","TOYO 0001","0001","#AD3286","173","50","134","319.02","55.16","43.73","0.0","71.1","22.54","32.16","ColorNerd","toyo"
"22186","TOYO 0002","0002","#C30089","195","0","137","317.85","100.0","38.24","0.0","100.0","29.74","23.53","ColorNerd","toyo"
"22187","TOYO 0003","0003","#D142AA","209","66","170","316.36","60.85","53.92","0.0","68.42","18.66","18.04","ColorNerd","toyo"
"22188","TOYO 0004","0004","#A45789","164","87","137","321.04","30.68","49.22","0.0","46.95","16.46","35.69","ColorNerd","toyo"
"22189","TOYO 0005","0005","#B86096","184","96","150","323.18","38.26","54.9","0.0","47.83","18.48","27.84","ColorNerd","toyo"
"22190","TOYO 0006","0006","#DA5BAE","218","91","174","320.79","63.18","60.59","0.0","58.26","20.18","14.51","ColorNerd","toyo"
"22191","TOYO 0007","0007","#B0006F","176","0","111","322.16","100.0","34.51","0.0","100.0","36.93","30.98","ColorNerd","toyo"
"22192","TOYO 0008","0008","#C60078","198","0","120","323.64","100.0","38.82","0.0","100.0","39.39","22.35","ColorNerd","toyo"
"22193","TOYO 0009","0009","#CC5D9D","204","93","157","325.41","52.11","58.24","0.0","54.41","23.04","20.0","ColorNerd","toyo"
"22194","TOYO 0010","0010","#DB4E9A","219","78","154","327.66","66.2","58.24","0.0","64.38","29.68","14.12","ColorNerd","toyo"
"22195","TOYO 0011","0011","#DA388C","218","56","140","328.89","68.64","53.73","0.0","74.31","35.78","14.51","ColorNerd","toyo"
"22196","TOYO 0012","0012","#E675A9","230","117","169","332.39","69.33","68.04","0.0","49.13","26.52","9.8","ColorNerd","toyo"
"22197","TOYO 0013","0013","#E289BB","226","137","187","326.29","60.54","71.18","0.0","39.38","17.26","11.37","ColorNerd","toyo"
"22198","TOYO 0014","0014","#E8A3C4","232","163","196","331.3","60.0","77.45","0.0","29.74","15.52","9.02","ColorNerd","toyo"
"22199","TOYO 0015","0015","#E7A9CA","231","169","202","328.06","56.36","78.43","0.0","26.84","12.55","9.41","ColorNerd","toyo"
"22200","TOYO 0016","0016","#E6B2C9","230","178","201","333.46","50.98","80.0","0.0","22.61","12.61","9.8","ColorNerd","toyo"
"22201","TOYO 0017","0017","#E8C3D1","232","195","209","337.3","44.58","83.73","0.0","15.95","9.91","9.02","ColorNerd","toyo"
"22202","TOYO 0018","0018","#EFB2C6","239","178","198","340.33","65.59","81.76","0.0","25.52","17.15","6.27","ColorNerd","toyo"
"22203","TOYO 0019","0019","#E971A3","233","113","163","335.0","73.17","67.84","0.0","51.5","30.04","8.63","ColorNerd","toyo"
"22204","TOYO 0020","0020","#B3397A","179","57","122","328.03","51.69","46.27","0.0","68.16","31.84","29.8","ColorNerd","toyo"
"22205","TOYO 0021","0021","#8F2C65","143","44","101","325.45","52.94","36.67","0.0","69.23","29.37","43.92","ColorNerd","toyo"
"22206","TOYO 0022","0022","#970C59","151","12","89","326.76","85.28","31.96","0.0","92.05","41.06","40.78","ColorNerd","toyo"
"22207","TOYO 0023","0023","#C40066","196","0","102","328.78","100.0","38.43","0.0","100.0","47.96","23.14","ColorNerd","toyo"
"22208","TOYO 0024","0024","#D72783","215","39","131","328.64","69.29","49.8","0.0","81.86","39.07","15.69","ColorNerd","toyo"
"22209","TOYO 0025","0025","#C90061","201","0","97","331.04","100.0","39.41","0.0","100.0","51.74","21.18","ColorNerd","toyo"
"22210","TOYO 0026","0026","#BC005A","188","0","90","331.28","100.0","36.86","0.0","100.0","52.13","26.27","ColorNerd","toyo"
"22211","TOYO 0027","0027","#AB004C","171","0","76","333.33","100.0","33.53","0.0","100.0","55.56","32.94","ColorNerd","toyo"
"22212","TOYO 0028","0028","#9A0F43","154","15","67","337.55","82.25","33.14","0.0","90.26","56.49","39.61","ColorNerd","toyo"
"22213","TOYO 0029","0029","#C02A62","192","42","98","337.6","64.1","45.88","0.0","78.12","48.96","24.71","ColorNerd","toyo"
"22214","TOYO 0030","0030","#D80473","216","4","115","328.58","96.36","43.14","0.0","98.15","46.76","15.29","ColorNerd","toyo"
"22215","TOYO 0031","0031","#E35491","227","84","145","334.41","71.86","60.98","0.0","63.0","36.12","10.98","ColorNerd","toyo"
"22216","TOYO 0032","0032","#BC577A","188","87","122","339.21","42.98","53.92","0.0","53.72","35.11","26.27","ColorNerd","toyo"
"22217","TOYO 0033","0033","#963554","150","53","84","340.82","47.78","39.8","0.0","64.67","44.0","41.18","ColorNerd","toyo"
"22218","TOYO 0034","0034","#D1005E","209","0","94","333.01","100.0","40.98","0.0","100.0","55.02","18.04","ColorNerd","toyo"
"22219","TOYO 0035","0035","#C9004C","201","0","76","337.31","100.0","39.41","0.0","100.0","62.19","21.18","ColorNerd","toyo"
"22220","TOYO 0036","0036","#D91362","217","19","98","336.06","83.9","46.27","0.0","91.24","54.84","14.9","ColorNerd","toyo"
"22221","TOYO 0037","0037","#9D515D","157","81","93","350.53","31.93","46.67","0.0","48.41","40.76","38.43","ColorNerd","toyo"
"22222","TOYO 0038","0038","#E45591","228","85","145","334.83","72.59","61.37","0.0","62.72","36.4","10.59","ColorNerd","toyo"
"22223","TOYO 0039","0039","#E24486","226","68","134","334.94","73.15","57.65","0.0","69.91","40.71","11.37","ColorNerd","toyo"
"22224","TOYO 0040","0040","#ED87AD","237","135","173","337.65","73.91","72.94","0.0","43.04","27.0","7.06","ColorNerd","toyo"
"22225","TOYO 0041","0041","#F2799E","242","121","158","341.65","82.31","71.18","0.0","50.0","34.71","5.1","ColorNerd","toyo"
"22226","TOYO 0042","0042","#DE7394","222","115","148","341.5","61.85","66.08","0.0","48.2","33.33","12.94","ColorNerd","toyo"
"22227","TOYO 0043","0043","#E46185","228","97","133","343.51","70.81","63.73","0.0","57.46","41.67","10.59","ColorNerd","toyo"
"22228","TOYO 0044","0044","#E73D6C","231","61","108","343.41","77.98","57.25","0.0","73.59","53.25","9.41","ColorNerd","toyo"
"22229","TOYO 0045","0045","#C70035","199","0","53","344.02","100.0","39.02","0.0","100.0","73.37","21.96","ColorNerd","toyo"
"22230","TOYO 0046","0046","#D40041","212","0","65","341.6","100.0","41.57","0.0","100.0","69.34","16.86","ColorNerd","toyo"
"22231","TOYO 0047","0047","#D88391","216","131","145","350.12","52.15","68.04","0.0","39.35","32.87","15.29","ColorNerd","toyo"
"22232","TOYO 0048","0048","#F2ADBF","242","173","191","344.35","72.63","81.37","0.0","28.51","21.07","5.1","ColorNerd","toyo"
"22233","TOYO 0049","0049","#F4A5B9","244","165","185","344.81","78.22","80.2","0.0","32.38","24.18","4.31","ColorNerd","toyo"
"22234","TOYO 0050","0050","#F5B5C0","245","181","192","349.69","76.19","83.53","0.0","26.12","21.63","3.92","ColorNerd","toyo"
"22235","TOYO 0051","0051","#E9B5BA","233","181","186","354.23","54.17","81.18","0.0","22.32","20.17","8.63","ColorNerd","toyo"
"22236","TOYO 0052","0052","#E6C3C5","230","195","197","356.57","41.18","83.33","0.0","15.22","14.35","9.8","ColorNerd","toyo"
"22237","TOYO 0053","0053","#F3C5C6","243","197","198","358.7","65.71","86.27","0.0","18.93","18.52","4.71","ColorNerd","toyo"
"22238","TOYO 0054","0054","#F0C6C2","240","198","194","5.22","60.53","85.1","0.0","17.5","19.17","5.88","ColorNerd","toyo"
"22239","TOYO 0055","0055","#EFBFB9","239","191","185","6.67","62.79","83.14","0.0","20.08","22.59","6.27","ColorNerd","toyo"
"22240","TOYO 0056","0056","#F4A8AA","244","168","170","358.42","77.55","80.78","0.0","31.15","30.33","4.31","ColorNerd","toyo"
"22241","TOYO 0057","0057","#FDA0A8","253","160","168","354.84","95.88","80.98","0.0","36.76","33.6","0.78","ColorNerd","toyo"
"22242","TOYO 0058","0058","#CF7485","207","116","133","348.79","48.66","63.33","0.0","43.96","35.75","18.82","ColorNerd","toyo"
"22243","TOYO 0059","0059","#F36A83","243","106","131","349.05","85.09","68.43","0.0","56.38","46.09","4.71","ColorNerd","toyo"
"22244","TOYO 0060","0060","#F7617D","247","97","125","348.8","90.36","67.45","0.0","60.73","49.39","3.14","ColorNerd","toyo"
"22245","TOYO 0061","0061","#D23655","210","54","85","348.08","63.41","51.76","0.0","74.29","59.52","17.65","ColorNerd","toyo"
"22246","TOYO 0062","0062","#CD5969","205","89","105","351.72","53.7","57.65","0.0","56.59","48.78","19.61","ColorNerd","toyo"
"22247","TOYO 0063","0063","#D50044","213","0","68","340.85","100.0","41.76","0.0","100.0","68.08","16.47","ColorNerd","toyo"
"22248","TOYO 0064","0064","#D00039","208","0","57","343.56","100.0","40.78","0.0","100.0","72.6","18.43","ColorNerd","toyo"
"22249","TOYO 0065","0065","#B60033","182","0","51","343.19","100.0","35.69","0.0","100.0","71.98","28.63","ColorNerd","toyo"
"22250","TOYO 0066","0066","#BF2845","191","40","69","348.48","65.37","45.29","0.0","79.06","63.87","25.1","ColorNerd","toyo"
"22251","TOYO 0067","0067","#B30F35","179","15","53","346.1","84.54","38.04","0.0","91.62","70.39","29.8","ColorNerd","toyo"
