"Index","Color Name","ID","Hex","Red","Green","Blue","Hue","Saturation","Luminance","Cyan","Magenta","Yellow","Key","Source","System"
"23235","Trumatch 1-a","1-a","#E73966","231","57","102","344.48","78.38","56.47","0.0","75.32","55.84","9.41","ColorNerd","trumatch"
"23236","Trumatch 1-b","1-b","#EB5D79","235","93","121","348.17","78.02","64.31","0.0","60.43","48.51","7.84","ColorNerd","trumatch"
"23237","Trumatch 1-c","1","#EF7E90","239","126","144","350.44","77.93","71.57","0.0","47.28","39.75","6.27","ColorNerd","trumatch"
"23238","Trumatch 1-d","1-d","#F29DA8","242","157","168","352.24","76.58","78.24","0.0","35.12","30.58","5.1","ColorNerd","trumatch"
"23239","Trumatch 1-e","1-e","#F7BBC0","247","187","192","355.0","78.95","85.1","0.0","24.29","22.27","3.14","ColorNerd","trumatch"
"23240","Trumatch 1-f","1-f","#FAD5D7","250","213","215","356.76","78.72","90.78","0.0","14.8","14.0","1.96","ColorNerd","trumatch"
"23241","Trumatch 1-g","1-g","#FDEFF0","253","239","240","355.71","77.78","96.47","0.0","5.53","5.14","0.78","ColorNerd","trumatch"
"23242","Trumatch 1-h","1-h","#FEF6F7","254","246","247","352.5","80.0","98.04","0.0","3.15","2.76","0.39","ColorNerd","trumatch"
"23243","Trumatch 1-a1","1-a1","#DD3962","221","57","98","345.0","70.69","54.51","0.0","74.21","55.66","13.33","ColorNerd","trumatch"
"23244","Trumatch 1-b1","1-b1","#E15A75","225","90","117","348.0","69.23","61.76","0.0","60.0","48.0","11.76","ColorNerd","trumatch"
"23245","Trumatch 1-c1","1-c1","#E47A8B","228","122","139","350.38","66.25","68.63","0.0","46.49","39.04","10.59","ColorNerd","trumatch"
"23246","Trumatch 1-d1","1-d1","#E897A2","232","151","162","351.85","63.78","75.1","0.0","34.91","30.17","9.02","ColorNerd","trumatch"
"23247","Trumatch 1-e1","1-e1","#ECB4B9","236","180","185","354.64","59.57","81.57","0.0","23.73","21.61","7.45","ColorNerd","trumatch"
"23248","Trumatch 1-f1","1-f1","#EFCCCF","239","204","207","354.86","52.24","86.86","0.0","14.64","13.39","6.27","ColorNerd","trumatch"
"23249","Trumatch 1-d5","1-d5","#BC7D86","188","125","134","351.43","31.98","61.37","0.0","33.51","28.72","26.27","ColorNerd","trumatch"
"23250","Trumatch 1-e5","1-e5","#BF9499","191","148","153","353.02","25.15","66.47","0.0","22.51","19.9","25.1","ColorNerd","trumatch"
"23251","Trumatch 1-a2","1-a2","#D2385E","210","56","94","345.19","63.11","52.16","0.0","73.33","55.24","17.65","ColorNerd","trumatch"
"23252","Trumatch 1-b2","1-b2","#D65770","214","87","112","348.19","60.77","59.02","0.0","59.35","47.66","16.08","ColorNerd","trumatch"
"23253","Trumatch 1-c2","1-c2","#D97485","217","116","133","349.9","57.06","65.29","0.0","46.54","38.71","14.9","ColorNerd","trumatch"
"23254","Trumatch 1-d2","1-d2","#DD909B","221","144","155","351.43","53.1","71.57","0.0","34.84","29.86","13.33","ColorNerd","trumatch"
"23255","Trumatch 1-e2","1-e2","#E0ACB1","224","172","177","354.23","45.61","77.65","0.0","23.21","20.98","12.16","ColorNerd","trumatch"
"23256","Trumatch 1-a5","1-a5","#B33553","179","53","83","345.71","54.31","45.49","0.0","70.39","53.63","29.8","ColorNerd","trumatch"
"23257","Trumatch 1-b5","1-b5","#B64D61","182","77","97","348.57","41.83","50.78","0.0","57.69","46.7","28.63","ColorNerd","trumatch"
"23258","Trumatch 1-c5","1-c5","#B96673","185","102","115","350.6","37.22","56.27","0.0","44.86","37.84","27.45","ColorNerd","trumatch"
"23259","Trumatch 1-a3","1-a3","#C8375B","200","55","91","345.1","56.86","50.0","0.0","72.5","54.5","21.57","ColorNerd","trumatch"
"23260","Trumatch 1-b3","1-b3","#CB546B","203","84","107","348.4","53.36","56.27","0.0","58.62","47.29","20.39","ColorNerd","trumatch"
"23261","Trumatch 1-c3","1-c3","#CF707F","207","112","127","350.53","49.74","62.55","0.0","45.89","38.65","18.82","ColorNerd","trumatch"
"23262","Trumatch 1-d3","1-d3","#D28A94","210","138","148","351.67","44.44","68.24","0.0","34.29","29.52","17.65","ColorNerd","trumatch"
"23263","Trumatch 1-e3","1-e3","#D5A4A9","213","164","169","353.88","36.84","73.92","0.0","23.0","20.66","16.47","ColorNerd","trumatch"
"23264","Trumatch 1-a6","1-a6","#AA344F","170","52","79","346.27","53.15","43.53","0.0","69.41","53.53","33.33","ColorNerd","trumatch"
"23265","Trumatch 1-b6","1-b6","#AC4A5D","172","74","93","348.37","39.84","48.24","0.0","56.98","45.93","32.55","ColorNerd","trumatch"
"23266","Trumatch 1-c6","1-c6","#AE616D","174","97","109","350.65","32.22","53.14","0.0","44.25","37.36","31.76","ColorNerd","trumatch"
"23267","Trumatch 1-a4","1-a4","#BE3657","190","54","87","345.44","55.74","47.84","0.0","71.58","54.21","25.49","ColorNerd","trumatch"
"23268","Trumatch 1-b4","1-b4","#C15167","193","81","103","348.21","47.46","53.73","0.0","58.03","46.63","24.31","ColorNerd","trumatch"
"23269","Trumatch 1-c4","1-c4","#C46B79","196","107","121","350.56","43.0","59.41","0.0","45.41","38.27","23.14","ColorNerd","trumatch"
"23270","Trumatch 1-d4","1-d4","#C7848D","199","132","141","351.94","37.43","64.9","0.0","33.67","29.15","21.96","ColorNerd","trumatch"
"23271","Trumatch 1-e4","1-e4","#CA9CA2","202","156","162","352.17","30.26","70.2","0.0","22.77","19.8","20.78","ColorNerd","trumatch"
"23272","Trumatch 1-a7","1-a7","#9F334B","159","51","75","346.67","51.43","41.18","0.0","67.92","52.83","37.65","ColorNerd","trumatch"
"23273","Trumatch 1-b7","1-b7","#A24758","162","71","88","348.79","39.06","45.69","0.0","56.17","45.68","36.47","ColorNerd","trumatch"
"23274","Trumatch 1-c7","1-c7","#A45C67","164","92","103","350.83","28.35","50.2","0.0","43.9","37.2","35.69","ColorNerd","trumatch"
"23275","Trumatch 2-a","2-a","#E4164C","228","22","76","344.27","82.4","49.02","0.0","90.35","66.67","10.59","ColorNerd","trumatch"
"23276","Trumatch 2-b","2-b","#E8485F","232","72","95","351.38","77.67","59.61","0.0","68.97","59.05","9.02","ColorNerd","trumatch"
"23277","Trumatch 2-c","2","#ED6D77","237","109","119","355.31","78.05","67.84","0.0","54.01","49.79","7.06","ColorNerd","trumatch"
"23278","Trumatch 2-d","2-d","#F19193","241","145","147","358.75","77.42","75.69","0.0","39.83","39.0","5.49","ColorNerd","trumatch"
"23279","Trumatch 2-e","2-e","#F6B2B1","246","178","177","0.87","79.31","82.94","0.0","27.64","28.05","3.53","ColorNerd","trumatch"
"23280","Trumatch 2-f","2-f","#FAD0CE","250","208","206","2.73","81.48","89.41","0.0","16.8","17.6","1.96","ColorNerd","trumatch"
"23281","Trumatch 2-g","2-g","#FDEDEB","253","237","235","6.67","81.82","95.69","0.0","6.32","7.11","0.78","ColorNerd","trumatch"
"23282","Trumatch 2-h","2-h","#FEF6F5","254","246","245","6.67","81.82","97.84","0.0","3.15","3.54","0.39","ColorNerd","trumatch"
"23283","Trumatch 2-a1","2-a1","#DA194A","218","25","74","344.77","79.42","47.65","0.0","88.53","66.06","14.51","ColorNerd","trumatch"
"23284","Trumatch 2-b1","2-b1","#DE475B","222","71","91","352.05","69.59","57.45","0.0","68.02","59.01","12.94","ColorNerd","trumatch"
"23285","Trumatch 2-c1","2-c1","#E26972","226","105","114","355.54","67.6","64.9","0.0","53.54","49.56","11.37","ColorNerd","trumatch"
"23286","Trumatch 2-d1","2-d1","#E78C8E","231","140","142","358.68","65.47","72.75","0.0","39.39","38.53","9.41","ColorNerd","trumatch"
"23287","Trumatch 2-e1","2-e1","#EBABAA","235","171","170","0.92","61.9","79.41","0.0","27.23","27.66","7.84","ColorNerd","trumatch"
"23288","Trumatch 2-f1","2-f1","#EFC8C6","239","200","198","2.93","56.16","85.69","0.0","16.32","17.15","6.27","ColorNerd","trumatch"
"23289","Trumatch 2-d5","2-d5","#BB7476","187","116","118","358.31","34.3","59.41","0.0","37.97","36.9","26.67","ColorNerd","trumatch"
"23290","Trumatch 2-e5","2-e5","#BE8D8D","190","141","141","0.0","27.37","64.9","0.0","25.79","25.79","25.49","ColorNerd","trumatch"
"23291","Trumatch 2-a2","2-a2","#D01C47","208","28","71","345.67","76.27","46.27","0.0","86.54","65.87","18.43","ColorNerd","trumatch"
"23292","Trumatch 2-b2","2-b2","#D44558","212","69","88","352.03","62.45","55.1","0.0","67.45","58.49","16.86","ColorNerd","trumatch"
"23293","Trumatch 2-c2","2-c2","#D7656E","215","101","110","355.26","58.76","61.96","0.0","53.02","48.84","15.69","ColorNerd","trumatch"
"23294","Trumatch 2-d2","2-d2","#DC8688","220","134","136","358.6","55.13","69.41","0.0","39.09","38.18","13.73","ColorNerd","trumatch"
"23295","Trumatch 2-e2","2-e2","#DFA4A3","223","164","163","1.0","48.39","75.69","0.0","26.46","26.91","12.55","ColorNerd","trumatch"
"23296","Trumatch 2-a5","2-a5","#B1213F","177","33","63","347.5","68.57","41.18","0.0","81.36","64.41","30.59","ColorNerd","trumatch"
"23297","Trumatch 2-b5","2-b5","#B43F4D","180","63","77","352.82","48.15","47.65","0.0","65.0","57.22","29.41","ColorNerd","trumatch"
"23298","Trumatch 2-c5","2-c5","#B7595F","183","89","95","356.17","39.5","53.33","0.0","51.37","48.09","28.24","ColorNerd","trumatch"
"23299","Trumatch 2-a3","2-a3","#C61E45","198","30","69","346.07","73.68","44.71","0.0","84.85","65.15","22.35","ColorNerd","trumatch"
"23300","Trumatch 2-b3","2-b3","#C94354","201","67","84","352.39","55.37","52.55","0.0","66.67","58.21","21.18","ColorNerd","trumatch"
"23301","Trumatch 2-c3","2-c3","#CD6169","205","97","105","355.56","51.92","59.22","0.0","52.68","48.78","19.61","ColorNerd","trumatch"
