hex,name,Red,Green,Blue,Family,Link,Source
#006c7f,"""New Bridge"" color (Shinbashi-iro)",0,108,127,,https://encycolorpedia.com/006c7f,encycolorpedia
#0048ba,Absolute Zero,0,72,186,,https://encycolorpedia.com/0048ba,encycolorpedia
#4c2f27,Acajou,76,47,39,,https://encycolorpedia.com/4c2f27,encycolorpedia
#b0bf1a,Acid green,176,191,26,,https://encycolorpedia.com/b0bf1a,encycolorpedia
#7cb9e8,Aero,124,185,232,,https://encycolorpedia.com/7cb9e8,encycolorpedia
#c9ffe5,Aero blue,201,255,229,,https://encycolorpedia.com/c9ffe5,encycolorpedia
#b284be,African violet,178,132,190,,https://encycolorpedia.com/b284be,encycolorpedia
#5d8aa8,Air Force blue (RAF),93,138,168,,https://encycolorpedia.com/5d8aa8,encycolorpedia
#00308f,Air Force blue (USAF),0,48,143,,https://encycolorpedia.com/00308f,encycolorpedia
#72a0c1,Air superiority blue,114,160,193,,https://encycolorpedia.com/72a0c1,encycolorpedia
#af002a,Alabama crimson,175,0,42,,https://encycolorpedia.com/af002a,encycolorpedia
#f2f0e6,Alabaster,242,240,230,,https://encycolorpedia.com/f2f0e6,encycolorpedia
#f0f8ff,Alice blue,240,248,255,,https://encycolorpedia.com/f0f8ff,encycolorpedia
#e32636,Alizarin crimson,227,38,54,,https://encycolorpedia.com/e32636,encycolorpedia
#c46210,Alloy orange,196,98,16,,https://encycolorpedia.com/c46210,encycolorpedia
#efdecd,Almond,239,222,205,,https://encycolorpedia.com/efdecd,encycolorpedia
#5a6457,Aloeswood brown (Tonocha),90,100,87,,https://encycolorpedia.com/5a6457,encycolorpedia
#6a432d,Aloewood-color (Kyara-iro),106,67,45,,https://encycolorpedia.com/6a432d,encycolorpedia
#d6d6d6,Aluminum,214,214,214,,https://encycolorpedia.com/d6d6d6,encycolorpedia
#d2d9db,Aluminum foil,210,217,219,,https://encycolorpedia.com/d2d9db,encycolorpedia
#e52b50,Amaranth,229,43,80,,https://encycolorpedia.com/e52b50,encycolorpedia
#9f2b68,Amaranth deep purple,159,43,104,,https://encycolorpedia.com/9f2b68,encycolorpedia
#f19cbb,Amaranth pink,241,156,187,,https://encycolorpedia.com/f19cbb,encycolorpedia
#ab274f,Amaranth purple,171,39,79,,https://encycolorpedia.com/ab274f,encycolorpedia
#d3212d,Amaranth red,211,33,45,,https://encycolorpedia.com/d3212d,encycolorpedia
#3b7a57,Amazon,59,122,87,,https://encycolorpedia.com/3b7a57,encycolorpedia
#ffbf00,Amber,255,191,0,,https://encycolorpedia.com/ffbf00,encycolorpedia
#ca6924,Amber (Kohaku-iro),202,105,36,,https://encycolorpedia.com/ca6924,encycolorpedia
#ff7e00,Amber (SAE/ECE),255,126,0,,https://encycolorpedia.com/ff7e00,encycolorpedia
#3b3b6d,American blue,59,59,109,,https://encycolorpedia.com/3b3b6d,encycolorpedia
#391802,American bronze,57,24,2,,https://encycolorpedia.com/391802,encycolorpedia
#804040,American brown,128,64,64,,https://encycolorpedia.com/804040,encycolorpedia
#d3af37,American gold,211,175,55,,https://encycolorpedia.com/d3af37,encycolorpedia
#34b334,American green,52,179,52,,https://encycolorpedia.com/34b334,encycolorpedia
#ff8b00,American orange,255,139,0,,https://encycolorpedia.com/ff8b00,encycolorpedia
