Hex,Name,Red,Green,Blue,Family,Link,Source
#000080,Navy,0,0,128,Blue,https://en.wikipedia.org/wiki/Navy_blue,web colors
#00008B,Dark Blue,0,0,139,Blue,https://en.wikipedia.org/wiki/Shades_of_blue#Dark_blue,web colors
#0000CD,Medium Blue,0,0,205,Blue,https://en.wikipedia.org/wiki/Shades_of_blue#Medium_blue,web colors
#0000FF,Blue,0,0,255,Blue,https://en.wikipedia.org/wiki/Blue,web colors
#00BFFF,Deep Sky Blue,0,191,255,Blue,https://en.wikipedia.org/wiki/Deep_sky_blue,web colors
#191970,Midnight Blue,25,25,112,Blue,https://en.wikipedia.org/wiki/Midnight_blue,web colors
#1E90FF,Dodger Blue,30,144,255,Blue,https://en.wikipedia.org/wiki/Dodger_blue,web colors
#4169e1,Royal Blue,65,105,225,Blue,https://en.wikipedia.org/wiki/Royal_blue,web colors
#4682B4,Steel Blue,70,130,180,Blue,https://en.wikipedia.org/wiki/Steel_blue,web colors
#6495ED,Cornflower Blue,100,149,237,Blue,https://en.wikipedia.org/wiki/Cornflower_blue,web colors
#87CEEB,Sky Blue,135,206,235,Blue,https://en.wikipedia.org/wiki/Sky_blue,web colors
#87CEFA,Light Sky Blue,135,206,250,Blue,https://en.wikipedia.org/wiki/Sky_blue#Light_sky_blue,web colors
#ADD8E6,Light Blue,173,216,230,Blue,https://en.wikipedia.org/wiki/Shades_of_blue#Light_blue,web colors
#B0C4DE,Light Steel Blue,176,196,222,Blue,https://en.wikipedia.org/wiki/Steel_blue#Light_steel_blue,web colors
#B0E0E6,Powder Blue,176,224,230,Blue,https://en.wikipedia.org/wiki/Powder_blue,web colors
#800000,Maroon,128,0,0,Brown,https://en.wikipedia.org/wiki/Maroon,web colors
#8B4513,Saddle Brown,139,69,19,Brown,https://en.wikipedia.org/wiki/Shades_of_brown#Saddle_Brown,web colors
#A0522D,Sienna,160,82,45,Brown,https://en.wikipedia.org/wiki/Sienna#Sienna_(X11_colour),web colors
#A52A2A,Brown,165,42,42,Brown,"https://en.wikipedia.org/wiki/Shades_of_brown#Red-brown_(web_color_""brown"")",web colors
#B8860B,Dark Goldenrod,184,134,11,Brown,https://en.wikipedia.org/wiki/Dark_goldenrod,web colors
#BC8F8F,Rosy Brown,188,143,143,Brown,https://en.wikipedia.org/wiki/Rose_(color)#Rosy_brown,web colors
#CD853F,Peru,205,133,63,Brown,https://en.wikipedia.org/wiki/Shades_of_brown#Peru,web colors
#D2691E,Chocolate,210,105,30,Brown,https://en.wikipedia.org/wiki/Chocolate_(color)#Variations_of_chocolate,web colors
#D2B48C,Tan,210,180,140,Brown,https://en.wikipedia.org/wiki/Tan_(color),web colors
#DAA520,Goldenrod,218,165,32,Brown,https://en.wikipedia.org/wiki/Goldenrod_(color),web colors
#DEB887,Burlywood,222,184,135,Brown,https://en.wikipedia.org/wiki/Burl,web colors
#F4A460,Sandy Brown,244,164,96,Brown,https://en.wikipedia.org/wiki/Shades_of_brown#Sandy_brown,web colors
#F5DEB3,Wheat,245,222,179,Brown,https://en.wikipedia.org/wiki/Wheat_(color),web colors
#FFDEAD,Navajo White,255,222,173,Brown,https://en.wikipedia.org/wiki/Navajo_white,web colors
#FFE4C4,Bisque,255,228,196,Brown,https://en.wikipedia.org/wiki/Bisque_(food),web colors
#FFEBCD,Blanched Almond,255,235,205,Brown,https://en.wikipedia.org/wiki/Almond_meal,web colors
#FFF8DC,Cornsilk,255,248,220,Brown,https://en.wikipedia.org/wiki/Shades_of_white#Cornsilk,web colors
#008080,Teal,0,128,128,Cyan,https://en.wikipedia.org/wiki/Teal,web colors
#008B8B,Dark Cyan,0,139,139,Cyan,https://en.wikipedia.org/wiki/Cyan#Dark_cyan,web colors
#00CED1,Dark Turquoise,0,206,209,Cyan,https://en.wikipedia.org/wiki/Turquoise_(color)#Dark_turquoise,web colors
#00FFFF,Aqua,0,255,255,Cyan,https://en.wikipedia.org/wiki/Aqua_(color),web colors
#00FFFF,Cyan,0,255,255,Cyan,https://en.wikipedia.org/wiki/Aqua_(color),web colors
#20B2AA,Light Sea Green,32,178,170,Cyan,https://en.wikipedia.org/wiki/Shades_of_cyan#Light_sea_green,web colors
#40E0D0,Turquoise,64,224,208,Cyan,https://en.wikipedia.org/wiki/Turquoise_(color),web colors
#48D1CC,Medium Turquoise,72,209,204,Cyan,https://en.wikipedia.org/wiki/Turquoise_(color)#Medium_turquoise,web colors
#5F9EA0,Cadet Blue,95,158,160,Cyan,https://en.wikipedia.org/wiki/Cadet_grey#Cadet_blue,web colors
#7FFFD4,Aquamarine,127,255,212,Cyan,https://en.wikipedia.org/wiki/Aquamarine_(color),web colors
#AFEEEE,Pale Turquoise,175,238,238,Cyan,https://en.wikipedia.org/wiki/Turquoise_(color)#Light_turquoise,web colors
#E0FFFF,Light Cyan,224,255,255,Cyan,https://en.wikipedia.org/wiki/Shades_of_cyan#Light_cyan,web colors
#000000,Black,0,0,0,Gray and black,https://en.wikipedia.org/wiki/Black,web colors
#2F4F4F,Dark Slate Gray,47,79,79,Gray and black,https://en.wikipedia.org/wiki/Slate_gray#Dark_slate_gray,web colors
#696969,Dim Gray,105,105,105,Gray and black,https://en.wikipedia.org/wiki/Shades_of_gray#Dim_gray,web colors
#708090,Slate Gray,112,128,144,Gray and black,https://en.wikipedia.org/wiki/Slate_grey,web colors
#778899,Light Slate Gray,119,136,153,Gray and black,https://en.wikipedia.org/wiki/Slate_gray#Light_slate_gray,web colors
#808080,Gray,128,128,128,Gray and black,https://en.wikipedia.org/wiki/Grey,web colors
#A9A9A9,Dark Gray,169,169,169,Gray and black,https://en.wikipedia.org/wiki/Grey#Web_colors,web colors
#C0C0C0,Silver,192,192,192,Gray and black,https://en.wikipedia.org/wiki/Silver_(color),web colors
#D3D3D3,Light Gray,211,211,211,Gray and black,https://en.wikipedia.org/wiki/Grey#Web_colors,web colors
#DCDCDC,Gainsboro,220,220,220,Gray and black,https://en.wikipedia.org/wiki/Shades_of_gray#Chart_of_computer_web_color_grays,web colors
#006400,Dark Green,0,100,0,Green,https://en.wikipedia.org/wiki/Shades_of_green#X11_green,web colors
#008000,Green,0,128,0,Green,https://en.wikipedia.org/wiki/Shades_of_green#Computer_web_color_greens,web colors
#00FA9A,Medium Spring Green,0,250,154,Green,https://en.wikipedia.org/wiki/Spring_green_(color)#Medium_spring_green,web colors
#00FF00,Lime,0,255,0,Green,https://en.wikipedia.org/wiki/Shades_of_green#Computer_web_color_greens,web colors
#00FF7F,Spring Green,0,255,127,Green,https://en.wikipedia.org/wiki/Spring_green_(color),web colors
#228B22,Forest Green,34,139,34,Green,https://en.wikipedia.org/wiki/Shades_of_green#Forest_green,web colors
#2E8B57,Sea Green,46,139,87,Green,https://en.wikipedia.org/wiki/Spring_green#Sea_green,web colors
#32CD32,Lime Green,50,205,50,Green,https://en.wikipedia.org/wiki/Lime_(color)#Lime_green,web colors
#3CB371,Medium Sea Green,60,179,113,Green,https://en.wikipedia.org/wiki/Spring_green_(color)#Medium_sea_green,web colors
#556B2F,Dark Olive Green,85,107,47,Green,https://en.wikipedia.org/wiki/Olive_(color)#Dark_olive_green,web colors
#66CDAA,Medium Aquamarine,102,205,170,Green,https://en.wikipedia.org/wiki/Aquamarine_(color)#Medium_aquamarine,web colors
#6B8E23,Olive Drab,107,142,35,Green,https://en.wikipedia.org/wiki/Olive_drab,web colors
#7CFC00,Lawn Green,124,252,0,Green,https://en.wikipedia.org/wiki/Chartreuse_(color)#Lawn_green,web colors
#7FFF00,Chartreuse,127,255,0,Green,https://en.wikipedia.org/wiki/Chartreuse_(color),web colors
#808000,Olive,128,128,0,Green,https://en.wikipedia.org/wiki/Olive_(color),web colors
#8FBC8F,Dark Sea Green,143,188,143,Green,https://en.wikipedia.org/wiki/Spring_green#Sea_green,web colors
#90EE90,Light Green,144,238,144,Green,https://en.wikipedia.org/wiki/Shades_of_green#Light_green,web colors
#98FB98,Pale Green,152,251,152,Green,https://en.wikipedia.org/wiki/Shades_of_green#Pale_green,web colors
#9ACD32,Yellow Green,154,205,50,Green,https://en.wikipedia.org/wiki/Yellow-green,web colors
#ADFF2F,Green Yellow,173,255,47,Green,https://en.wikipedia.org/wiki/Chartreuse_(color)#Green-yellow,web colors
#FF4500,Orange Red,255,69,0,Orange,https://en.wikipedia.org/wiki/Vermilion_(color)#Orange-red,web colors
#FF6347,Tomato,255,99,71,Orange,https://en.wikipedia.org/wiki/Tomato_(color),web colors
#FF7F50,Coral,255,127,80,Orange,https://en.wikipedia.org/wiki/Coral_(color),web colors
#FF8C00,Dark Orange,255,140,0,Orange,https://en.wikipedia.org/wiki/Dark_orange_(colour),web colors
#FFA500,Orange,255,165,0,Orange,https://en.wikipedia.org/wiki/Shades_of_orange#Orange_(web_color),web colors
#C71585,Medium Violet Red,199,21,133,Pink,https://en.wikipedia.org/wiki/Red-violet#Red-violet,web colors
#DB7093,Pale Violet Red,219,112,147,Pink,https://en.wikipedia.org/wiki/Pale_red-violet,web colors
#FF1493,Deep Pink,255,20,147,Pink,https://en.wikipedia.org/wiki/Shades_of_pink#Deep_pink,web colors
#FF69B4,Hot Pink,255,105,180,Pink,https://en.wikipedia.org/wiki/Hot_pink,web colors
#FFB6C1,Light Pink,255,182,193,Pink,https://en.wikipedia.org/wiki/Light_pink,web colors
#FFC0CB,Pink,255,192,203,Pink,https://en.wikipedia.org/wiki/Pink,web colors
#483D8B,Dark Slate Blue,72,61,139,"Purple, violet, and magenta",https://en.wikipedia.org/wiki/Slate_Blue_(color),web colors
#4B0082,Indigo,75,0,130,"Purple, violet, and magenta",https://en.wikipedia.org/wiki/Indigo,web colors
#6A5ACD,Slate Blue,106,90,205,"Purple, violet, and magenta",https://en.wikipedia.org/wiki/Slate_Blue_(color),web colors
#7B68EE,Medium Slate Blue,123,104,238,"Purple, violet, and magenta",https://en.wikipedia.org/wiki/Slate_Blue_(color),web colors
