Hex,Name,Red,Green,Blue,Family,Link,Source
#0048ba,Absolute Zero,0,0,0,,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Extreme_Twistables_colors,Wikipedia
#b0bf1a,Acid green,0,0,0,,https://en.wikipedia.org/wiki/Acid_green,Wikipedia
#7cb9e8,Aero,0,0,0,,https://en.wikipedia.org/wiki/Air_Force_blue#Aero,Wikipedia
#b284be,African violet,0,0,0,,https://en.wikipedia.org/wiki/African_violet_(color),Wikipedia
#72a0c1,Air superiority blue,0,0,0,,https://en.wikipedia.org/wiki/Air_Force_blue#Air_superiority_blue/PRU_blue,Wikipedia
#f0f8ff,Alice blue,0,0,0,,https://en.wikipedia.org/wiki/Alice_blue,Wikipedia
#db2d43,Alizarin,0,0,0,,https://en.wikipedia.org/wiki/Amaranth_(color)#Alizarin,Wikipedia
#c46210,Alloy orange,0,0,0,,https://en.wikipedia.org/wiki/Shades_of_orange#Alloy_orange,Wikipedia
#efdecd,Almond,0,0,0,,https://en.wikipedia.org/wiki/Almond_(color),Wikipedia
#9f2b68,Amaranth deep purple,0,0,0,,https://en.wikipedia.org/wiki/Amaranth_(color)#Amaranth_deep_purple,Wikipedia
#f19cbb,Amaranth pink,0,0,0,,https://en.wikipedia.org/wiki/Amaranth_(color)#Amaranth_pink,Wikipedia
#ab274f,Amaranth purple,0,0,0,,https://en.wikipedia.org/wiki/Amaranth_(color)#Amaranth_purple,Wikipedia
#3b7a57,Amazon,0,0,0,,https://en.wikipedia.org/wiki/Amazon_(color),Wikipedia
#ffbf00,Amber,0,0,0,,https://en.wikipedia.org/wiki/Amber_(color),Wikipedia
#9966cc,Amethyst,0,0,0,,https://en.wikipedia.org/wiki/Amethyst_(color),Wikipedia
#3ddc84,Android green,0,0,0,,https://en.wikipedia.org/wiki/Android_green,Wikipedia
#cd9575,Antique brass,0,0,0,,https://en.wikipedia.org/wiki/Antique_brass,Wikipedia
#665d1e,Antique bronze,0,0,0,,https://en.wikipedia.org/wiki/Antique_bronze,Wikipedia
#915c83,Antique fuchsia,0,0,0,,https://en.wikipedia.org/wiki/Fuchsia_(color)#Antique_fuchsia,Wikipedia
#841b2d,Antique ruby,0,0,0,,https://en.wikipedia.org/wiki/Ruby_(color)#Antique_ruby,Wikipedia
#faebd7,Antique white,0,0,0,,https://en.wikipedia.org/wiki/Shades_of_white#Antique_white,Wikipedia
#fbceb1,Apricot,0,0,0,,https://en.wikipedia.org/wiki/Apricot_(color),Wikipedia
#00ffff,Aqua,0,0,0,,https://en.wikipedia.org/wiki/Aqua_(color),Wikipedia
#7fffd4,Aquamarine,0,0,0,,https://en.wikipedia.org/wiki/Aquamarine_(color),Wikipedia
#d0ff14,Arctic lime,0,0,0,,https://en.wikipedia.org/wiki/Lime_(color)#Arctic_lime,Wikipedia
#4b6f44,Artichoke green,0,0,0,,https://en.wikipedia.org/wiki/Shades_of_green#Artichoke_green_(Pantone),Wikipedia
#e9d66b,Arylide yellow,0,0,0,,https://en.wikipedia.org/wiki/Arylide_yellow,Wikipedia
#b2beb5,Ash gray,0,0,0,,https://en.wikipedia.org/wiki/Shades_of_gray#Ash_gray,Wikipedia
#ff9966,Atomic tangerine,0,0,0,,https://en.wikipedia.org/wiki/Shades_of_orange#Atomic_tangerine,Wikipedia
#fdee00,Aureolin,0,0,0,,https://en.wikipedia.org/wiki/Aureolin,Wikipedia
#007fff,Azure,0,0,0,,https://en.wikipedia.org/wiki/Azure_(color),Wikipedia
#f0ffff,Azure (X11/web color),0,0,0,,https://en.wikipedia.org/wiki/Shades_of_azure#Azure_(web_color),Wikipedia
#89cff0,Baby blue,0,0,0,,https://en.wikipedia.org/wiki/Baby_blue,Wikipedia
#a1caf1,Baby blue eyes,0,0,0,,https://en.wikipedia.org/wiki/Baby_blue#Baby_blue_eyes,Wikipedia
#f4c2c2,Baby pink,0,0,0,,https://en.wikipedia.org/wiki/Shades_of_pink#Baby_pink,Wikipedia
#fefefa,Baby powder,0,0,0,,https://en.wikipedia.org/wiki/Shades_of_white#Baby_powder,Wikipedia
#ff91af,Baker-Miller pink,0,0,0,,https://en.wikipedia.org/wiki/Baker-Miller_pink,Wikipedia
#fae7b5,Banana Mania,0,0,0,,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Standard_colors,Wikipedia
#da1884,Barbie Pink,0,0,0,,https://en.wikipedia.org/wiki/Barbie_Pink,Wikipedia
#7c0a02,Barn red,0,0,0,,https://en.wikipedia.org/wiki/Shades_of_red#Barn_red,Wikipedia
#848482,Battleship grey,0,0,0,,https://en.wikipedia.org/wiki/Battleship_grey,Wikipedia
#bcd4e6,Beau blue,0,0,0,,https://en.wikipedia.org/wiki/Baby_blue#Beau_blue,Wikipedia
#9f8170,Beaver,0,0,0,,https://en.wikipedia.org/wiki/Shades_of_brown#Beaver,Wikipedia
#f5f5dc,Beige,0,0,0,,https://en.wikipedia.org/wiki/Beige,Wikipedia
#2e5894,B'dazzled blue,0,0,0,,https://en.wikipedia.org/wiki/Sapphire_(color)#B'dazzled_blue,Wikipedia
#9c2542,Big dip o’ruby,0,0,0,,https://en.wikipedia.org/wiki/Ruby_(color)#Big_dip_o'ruby,Wikipedia
#ffe4c4,Bisque,0,0,0,,https://en.wikipedia.org/wiki/X11_color_names#Color_name_charts,Wikipedia
#3d2b1f,Bistre,0,0,0,,https://en.wikipedia.org/wiki/Bistre,Wikipedia
#967117,Bistre brown,0,0,0,,https://en.wikipedia.org/wiki/Bistre#Bistre_brown,Wikipedia
#cae00d,Bitter lemon,0,0,0,,https://en.wikipedia.org/wiki/Lemon_(color)#Bitter_lemon,Wikipedia
#000000,Black,0,0,0,,https://en.wikipedia.org/wiki/Black,Wikipedia
#3d0c02,Black bean,0,0,0,,https://en.wikipedia.org/wiki/Shades_of_black#Black_bean,Wikipedia
#54626f,Black coral,0,0,0,,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Pearl_Brite,Wikipedia
#3b3c36,Black olive,0,0,0,,https://en.wikipedia.org/wiki/Olive_(color)#Black_olive,Wikipedia
#bfafb2,Black Shadows,0,0,0,,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Heads_'n_Tails,Wikipedia
#ffebcd,Blanched almond,0,0,0,,https://en.wikipedia.org/wiki/X11_color_names,Wikipedia
#a57164,Blast-off bronze,0,0,0,,https://en.wikipedia.org/wiki/Bronze_(color)#Blast-off_bronze,Wikipedia
#318ce7,Bleu de France,0,0,0,,https://en.wikipedia.org/wiki/Bleu_de_France_(colour),Wikipedia
#ace5ee,Blizzard blue,0,0,0,,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Fluorescent_crayons,Wikipedia
#660000,Blood red,0,0,0,,https://en.wikipedia.org/wiki/Blood_red,Wikipedia
#0000ff,Blue,0,0,0,,https://en.wikipedia.org/wiki/Blue,Wikipedia
#1f75fe,Blue (Crayola),0,0,0,,https://en.wikipedia.org/wiki/Shades_of_blue#Blue_(Crayola),Wikipedia
#0093af,Blue (Munsell),0,0,0,,https://en.wikipedia.org/wiki/Shades_of_blue#Blue_(Munsell),Wikipedia
#0087bd,Blue (NCS),0,0,0,,https://en.wikipedia.org/wiki/Shades_of_blue#Blue_(NCS)_(psychological_primary_blue),Wikipedia
#333399,Blue (pigment),0,0,0,,https://en.wikipedia.org/wiki/Shades_of_blue#Blue_(CMYK)_(pigment_blue),Wikipedia
#a2a2d0,Blue bell,0,0,0,,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Standard_colors,Wikipedia
#6699cc,Blue-gray (Crayola),0,0,0,,https://en.wikipedia.org/wiki/Blue-gray,Wikipedia
#5dadec,Blue jeans,0,0,0,,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Heads_'n_Tails,Wikipedia
#126180,Blue sapphire,0,0,0,,https://en.wikipedia.org/wiki/Sapphire_(color)#Blue_sapphire,Wikipedia
